Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Demonstratives\is{demonstrative|(,Basic forms and inflections,The basic forms,,,"The two most versatile basic forms, proximal wa and distal me, typically evoke participant-anchored spatial information. An illustration of each is given in~(\ref{exe:kewewa}).",exe:kewewa,Not found,,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Basic forms and inflections,The basic forms,,,"The far distal is typically used on a bigger scale, across landscape. An example is~(\ref{exe:yonder}). The far distal basic form owa is hardly found uninflected. In this example, it carries a demonstrative suffix -ne, which I comment upon below.",exe:yonder,"\gll lempuang temun=a \textbf{owa}-ne tumun-un=a wa | \gls island big=FOC FDIST-DEM child-3POSS=FOC PROX | \glt `The big island is yonder, the small one is here.'",,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Basic forms and inflections,The basic forms,,,"The elevational demonstratives refer to referents on a vertical axis: osa and yawe are used for referents which are located higher and lower, respectively, than the speaker or another point of reference. (\ref{exe:adisor}) and~(\ref{exe:yawee}) are adnominal uses.",exe:adisor,\gll adi sor \textbf{osa} [...] kabaruap | \gls DER fish UP {\ob}...{\cb} grouper | \glt `That fish up there {\ob}...{\cb} is a grouper.',exe:yawee,\gll ma tamatko ka bo minggalot-an \textbf{yawe} kome=te | \gls 3SG where 2SG go bedroom-1SG.POSS DOWN look=IMP | \glt `Where is it? You go look in my bedroom down there!',,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Basic forms and inflections,The basic forms,,,"The anaphoric demonstrative opa occurs with referents that in some respect represent knowledge already shared by the speaker and the addressee, typically those that are previously mentioned in discourse. The latter is the case with the referent dodon `clothing' in~(\ref{exe:dodonop}).",exe:dodonop,\gll dodon \textbf{opa} an masa | \gls clothing ANA 1SG dry_in_sun | \glt `I dried those clothes [that we talked about] in the sun.',,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,,,,"As an introduction, consider the following example. The two most versatile basic forms, the proximal wa and the distal me, typically evoke speaker-oriented spatial information. This is illustrated in~(\ref{exe:kewewaa}), repeated from §\ref{sec:basicdem}, where speaker A uses the proximal form for a picture that is on the table in front of him. Speaker B first uses the distal form, and then switches to the proximal form in combination with pointing, because speaker A has now picked up the picture so that B is closer to it.",exe:kewewaa,Not found,,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,,,,"These basic forms, as well as the far distal owa, have additional semantic and pragmatic properties other than the spatial ones. In the following sections, temporal, manner, anaphoric and other uses of the demonstratives are described. With such a plethora of forms and functions, it is not surprising that we find utterances like~(\ref{exe:pai}). Taken from an explanation about the use of plant medicine, it shows a nice combination of the pragmatic use of demonstratives (metko as a sequential marker and the expression ma he me, discussed in §\ref{sec:discdems}) and the spatial semantics of demonstratives (predicative watko `here' and pronominal wane `this').",exe:pai,Not found,,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,,,,"Figure~\ref{fig:wane} shows the video stills from the time of utterance of the three spatial demonstratives in~(\ref{exe:pai}), which are accompanied by pointing.",exe:pai,Not found,,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Proximal wa `\textsc{prox'\is{demonstrative!proximal,Spatial use\is{demonstrative!spatial,,"Proximal demonstrative wa is prototypically used adnominally, pronominally and identificationally to indicate referents that are close to the speaker. (\ref{exe:waratu}) illustrates an adnominal and~(\ref{exe:dempro}) a pronominal use of the proximal demonstrative, both in object position (hence the object form wat). The demonstrative in~(\ref{exe:waratu}) refers to a woman in a picture in front of the speaker, with the speaker pointing at her. The demonstrative in~(\ref{exe:dempro}) stands in for a fishing net the speaker is holding.",exe:waratu,\gll ma enem \textbf{wat}=a tu | \gls 3SG woman PROX.OBJ=FOC hit | \glt `He hits this woman.',exe:dempro,\gll ki \textbf{wat} napaki=kin ye ge | \gls 2PL PROX.OBJ use=VOL or not | \glt `Are you going to use this or not?',exe:waratu,\gll ma enem \textbf{wat}=a tu | \gls 3SG woman PROX.OBJ=FOC hit | \glt `He hits this woman.',exe:dempro,\gll ki \textbf{wat} napaki=kin ye ge | \gls 2PL PROX.OBJ use=VOL or not | \glt `Are you going to use this or not?',,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Proximal wa `\textsc{prox'\is{demonstrative!proximal,Spatial use\is{demonstrative!spatial,,"Two identificational examples are given in~(\ref{exe:namunawa}) and~(\ref{exe:dauanawa}). In~(\ref{exe:namunawa}), the speaker points at a picture with three people and identifies them one by one. (\ref{exe:dauanawa}) is from a story about a wedding, where the names of the bride's and groom's families are called out as a way of introducing the family members to couple. Note that an identificational demonstrative follows a \is{focus}focused noun, but precedes a \is{topic}topicalised noun.",exe:namunawa,"\gll namun=a \textbf{wa} kiun=a \textbf{wa} tumun-un=a \textbf{wa} | \gls husband.3POSS=FOC PROX wife-3POSS=FOC PROX child-3POSS=FOC PROX | \glt `This is the husband, this is the wife, this is their child.'",exe:dauanawa,"\gll supaya canam gonggin ma toni o \textbf{wa} me dauk-an=a \textbf{wa} ketan-an=a \textbf{wa} esa-an=a \textbf{wa} mama-an=a \textbf{wa} | \gls so_that man know 3SG say INT PROX TOP sibling_in_law-1SG.POSS=FOC PROX parent_in_law-1SG.POSS=FOC PROX uncle-1SG.POSS=FOC PROX uncle-1SG.POSS=FOC PROX | \glt `So that the man knows, he says: ``O, this is my sibling-in-law, this is my parent-in-law, this is my uncle, this is my uncle.'''",exe:namunawa,"\gll namun=a \textbf{wa} kiun=a \textbf{wa} tumun-un=a \textbf{wa} | \gls husband.3POSS=FOC PROX wife-3POSS=FOC PROX child-3POSS=FOC PROX | \glt `This is the husband, this is the wife, this is their child.'",exe:dauanawa,"\gll supaya canam gonggin ma toni o \textbf{wa} me dauk-an=a \textbf{wa} ketan-an=a \textbf{wa} esa-an=a \textbf{wa} mama-an=a \textbf{wa} | \gls so_that man know 3SG say INT PROX TOP sibling_in_law-1SG.POSS=FOC PROX parent_in_law-1SG.POSS=FOC PROX uncle-1SG.POSS=FOC PROX uncle-1SG.POSS=FOC PROX | \glt `So that the man knows, he says: ``O, this is my sibling-in-law, this is my parent-in-law, this is my uncle, this is my uncle.'''",,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Proximal wa `\textsc{prox'\is{demonstrative!proximal,Spatial use\is{demonstrative!spatial,,"The longer forms wane and yuwane are often used identificationally, typically when identifying the right-hand picture in a picture-matching task\is{picture-matching task} (example~\ref{exe:mawane}). They may also be pronominal (example~\ref{exe:wanet}) or adnominal (example~\ref{exe:konyuwane}).",exe:mawane,\gll ma \textbf{wane} | \gls 3SG PROX | \glt `This is it.',exe:wanet,"\gll mu toni ya \textbf{wanet} me rasa | \gls 3PL say yes PROX.OBJ TOP like | \glt `They said: ``Yes, this is good.'''",exe:konyuwane,"\gll neba kon=a yuwa sor tumun kon \textbf{yuwane} sor sair=ten | \gls what one=FOC PROX fish small one PROX fish bake=AT | \glt `What is this one here, this one small fish here, baking fish?'",,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Proximal wa `\textsc{prox'\is{demonstrative!proximal,Spatial use\is{demonstrative!spatial,,"The locative and lative proximal forms watko `here' and wangga `to/from here' are used for indicating the \is{location}location of referents close to the speaker. In~(\ref{exe:ramin}), the speaker uses watko to refer to her side of the fishing net, while the addressee is holding the other side a few metres away. In~(\ref{exe:hadiwat}), proximal watko refers to Mas village, which is where the speaker is when she utters the sentence.",exe:ramin,"\gll ka-mun mindi rami=in mena ma \textbf{watko} | \gls 2SG-PROH like_that pull=PROH otherwise 3SG PROX.LOC | \glt `Don't you pull like that, otherwise it will be here.'",exe:hadiwat,\gll Hadi me \textbf{watko} | \gls Hadi TOP PROX.LOC | \glt `Hadi was here.',,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Proximal wa `\textsc{prox'\is{demonstrative!proximal,Spatial use\is{demonstrative!spatial,,Watko can be used in combination with pointing. (\ref{exe:komana}) is uttered while the speaker points at the eye of a fish lure.,exe:komana,"\gll an kona \textbf{watko}=a komain=et kanggir-un=ko to | \gls 1SG think PROX.LOC=FOC puncture=IRR eye-3POSS=LOC right | \glt `I think you puncture it here, in its eye, right?'",,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,%Other,,,"%There are two instances of the proximal demonstrative post-predicately, which function I do not quite understand. They could have some kind of emphasising function. Alternatively, yuwa in example~\ref{exe:rekamda} is temporal use (`she is recording is at this very moment') and yuwa in example~\ref{exe:karayuwa} is spatial (`here are the fish I'm presenting you with').",exe:rekamda,Not found,exe:karayuwa,Not found,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,%Other,"Manner, quality, quantity and degree",,"The proximal demonstrative wandi expresses manner or quality, and usually modifies a verb. The verb can be left out when the speaker enacts the action they are referring to. The speaker in~(\ref{exe:wandirami}) explains to the addressee how to pull bait. First, she uses wandi `like this' without a verb, while enacting the movement and encouraging the addressee to look at her, and then repeats wandi followed by the verb rami `to pull'. Proximal wandi is typically used when the speaker is simultaneously imitating a movement or a situation with gestures.",exe:wandirami,Not found,,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,%Other,"Manner, quality, quantity and degree",,"Proximal wandi can also be used to refer to states, such as `being friends' in (\ref{exe:friends}) or a colour (in~\ref{exe:black}, the speaker points at the black microphone stand). Both examples use the long form yuwandi.",exe:friends,\gll taman-un kodaet me ka=bon an=bon \textbf{yuwandi} | \gls friend-3POSS one_more TOP 2SG=COM 1SG=COM like_this | \glt `He has a friend like you and me.',exe:black,\gll se bo kuskap=ten \textbf{yuwandi} | \gls IAM go black=TEN like_this | \glt `[The nutmegs] turn black like this.',,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,%Other,"Manner, quality, quantity and degree",,"Lastly, proximal wandi can be used to introduce quoted speech (as in \ref{exe:kadokca}, see also §\ref{sec:speech}) or as a stand-in for quoted speech, as in (\ref{exe:wandiwandi}).",exe:kadokca,"\gll an se \textbf{wandi} eh ema kadok-ca=at=a tama | \gls 1SG IAM like_this INT aunt cloth-2SG.POSS=OBJ=FOC where | \glt `I went like: ``Hey aunt, where is your cloth?'''",exe:wandiwandi,\gll ma toni \textbf{wandi} \textbf{wandi} | \gls 3SG say like_this like_this | \glt `He said such-and-such.',,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Distal me `\textsc{dist'\is{demonstrative!distal,Spatial use\is{demonstrative!spatial,,"Distal demonstrative me occurs adnominally, pronominally and identificationally, prototypically to indicate referents that are relatively far from the speaker. There are no adnominal examples in the naturalistic corpus that are clearly spatial, so an elicited example is given in~(\ref{exe:demadme}). It was elicited for a situation where the speaker points at one of the addressee's teeth (scene 2 from \citealt{wilkins1999}).",exe:demadme,Not found,,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Distal me `\textsc{dist'\is{demonstrative!distal,Spatial use\is{demonstrative!spatial,,"In object position, the distal demonstrative has the form met, as is illustrated for pronominal use in~(\ref{exe:demprome}). The distal demonstrative refers to betel nuts, which the referent of ma `she' went to look for in another house.",exe:demprome,Not found,,,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Distal me `\textsc{dist'\is{demonstrative!distal,Spatial use\is{demonstrative!spatial,,"Identificational examples are given in~(\ref{exe:demidme}) and~(\ref{exe:demidmeme}). Like for proximal forms, the distal demonstrative follows a \is{focus}focused noun and precedes a \is{topic}topic marker.",exe:demidme,Not found,exe:demidmeme,Not found,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Distal me `\textsc{dist'\is{demonstrative!distal,Spatial use\is{demonstrative!spatial,,"Distal metko `there' is used for indicating the \is{location}location of referents away from the speaker. In~(\ref{exe:maulma}), the distal location is first specified (the sea) and then referred to with metko. (\ref{exe:kasawari}) is from a story about a dog and a cassowary which chased each other into the sea and became rock formations.",exe:maulma,Not found,exe:kasawari,Not found,,,,,,,,,,,,,,,,
Demonstratives\is{demonstrative|(,Demonstrative function,Distal me `\textsc{dist'\is{demonstrative!distal,Spatial use\is{demonstrative!spatial,,"Metko, like other NPs carrying a locative postposition, can be used predicatively, essentially meaning `to be there'. Mengga, like other NPs carrying the lative postposition, must always be used in combination with other verbs. An example is given in~(\ref{exe:mengga1}). Complex source, goal and location constructions are described in §\ref{sec:mvcgoal}.",exe:mengga1,"\gll terus \textbf{mengga} koi Ibrahim tanbes=ko \textbf{mengga} koi Arepnengga bara | \gls further DIST.LAT then Ibrahim right=LOC from_there then Arepner.LAT descend | \glt `Further from there there's Ibrahim on the right, from there down to Arepner.'",,,,,,,,,,,,,,,,,,
