Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verbs,Verb classes,,,,"There are two major verb classes: regular and irregular verbs. Regular verbs take mood enclitics, negator =nin and predicate linker =i directly on the invariable root. Irregular verbs have a variable root in a vowel, -n or -t. The irregular verb class has two subclasses: transitive/intransitive pairs in -ma and -cie, and directional verbs. (\ref{exe:regnin}) and (\ref{exe:irregnin}) illustrate a regular and irregular verb, respectively. The a-examples show the uninflected verb, and the b-examples show the verb inflected with the negator =nin.",exe:regnin,Not found,exe:irregnin,Not found,,,,,,,,,,,,,,,,
Verbs,Verb classes,Irregular verbs\is{verb!irregular,,,"(\ref{exe:kieri}) and~(\ref{exe:koinani}) show ecien and yecie\footnote{The fact that the form with -n does not carry y- and vice versa may be related to them having different stress patterns: ˈyecie vs eˈcien. All ``uninflected'' verbs with -n carry stress on the last syllable, even if the verb without -n carries stress on the first (e.g. ˈpotma vs potˈman `to cut', ˈparuo vs paˈruon `to do', ˈosie vs oˈsien) but yecie is the only one with a difference in initial vowel. Syllable weight does not normally play a role in stress assignment in Kalamang (as described in~§\ref{sec:stress}).} in very similar environments: both describe the actions of a third person in a narrative, both follow the iamitive he, and both conclude a paragraph in the narrative where different actions were listed.",exe:kieri,"\gll kiet=i koyet ma se \textbf{ecien} | \gls defecate=PLNK finish 3SG IAM return | \glt `After defecating, he returned.'",exe:koinani,"\gll Tat owandi koi melelu nan=i koyet ma se \textbf{yecie} | \gls Tat like_over_there then sit consume=PLNK finish 3SG IAM return | \glt `After sitting and eating at a place like Tat over there, he returned.'",,,,,,,,,,,,,,,,
Verbs,Verb classes,Irregular verbs\is{verb!irregular,,,"The irregular verb bo `go' has only one uninflected form: bot. The form bo is reserved for complex predicates where bo `go' is the first verb. In an intransitive clause without another verb, bo cannot be used. The difference between a complex predicate with bo in the first position and bot in the last position is shown in~(\ref{exe:luisbon}) and~(\ref{exe:tamisenggabot}). (\ref{exe:hebot}) shows bot `go' in a clause without another verb.",exe:luisbon,Not found,exe:tamisenggabot,\gll mu ecien=i Tamisen=ka \textbf{bot} | \gls 3PL return=PLNK Tamisen=LAT go | \glt \glt `They returned to Tamisen (Antalisa).',exe:hebot,Not found,,,,,,,,,,,,,,
Verbs,Verb classes,Irregular verbs\is{verb!irregular,Directional verbs\is{verb!directional,,"Directional verbs are verbs that express movement in a specific direction, end in -a and are irregular. The subclass of directional verbs distinguishes itself from other verbs in several other ways. All verbs belonging to the class are given in Table~\ref{tab:dirall}. When combined with locative =ko, as in~(\ref{exe:dirko}), directional verbs precede the locative, whereas other verbs follow it. Of all verbs, only directional verbs can carry the \is{causative}causative proclitic di=, illustrated in~(\ref{exe:dirdi}). They also have a special imperative ending in -ei, in contrast to other verbs, which carry imperative =te (example~\ref{exe:dirimp}). Although they can stand on their own, directional verbs are commonly used in \is{predicate!complex}complex predicates; and of all Kalamang complex predicates the majority involve a directional verb (see Chapter~\ref{ch:svc}). Many of the directional verbs end in -ra, including the rather generic ra `to move (away)', suggesting these verbs are diachronically related and perhaps have been part of a paradigm involving the directional verb -ra. The way speakers use directional verbs when talking about travelling by sea from Karas island is described in §\ref{sec:elevdem}.",exe:dirko,\gll kariak \textbf{sara} nakal=ko | \gls blood ascend head=LOC | \glt `Blood goes up to the head.',exe:dirdi,"\gll mat bantu karajang=at \textbf{di=saran} alfukat=at payiem | \gls 3SG.OBJ help basket=OBJ CAUS=ascend avocado=OBJ fill | \glt `[They] help him, put up his basket, fill it with avocados.'",exe:dirimp,"\gll nene \textbf{mei} | \gls grandmother come.IMP | \glt `Grandmother, come!'",,,,,,,,,,,,,,
Verbs,Verb classes,Irregular verbs\is{verb!irregular,Directional verbs\is{verb!directional,,"Six of the seven verbs can be divided into opposite pairs: sara `to ascend' and bara `to descend', masara `to move towards land' and marua `to move towards sea', and mia `to come' and ra `to move away'. These pairs may occur together to indicate a back-and-forth movement. The verb pairs saran-baran, maran-maruan and ran-mian (note that they all carry final -n, although it is unclear why) are illustrated in~(\ref{exe:saranbaran}) to (\ref{exe:ranmian}). There is no dedicated opposite of era `to move uphill; to ascend diagonally'. Instead, bara `to descend' is the opposite of both sara `to ascend (vertically)' and era. However, era and bara are never used as an opposite pair in the same clause, whereas sara and bara are.",exe:saranbaran,Not found,exe:ranmian,\gll mu sontum=at kome \textbf{ran} \textbf{mian} | \gls 3PL person=OBJ look go come | \glt \glt `They looked at the people coming and going.',,,,,,,,,,,,,,,,
Verbs,Verb classes,Irregular verbs\is{verb!irregular,Directional verbs\is{verb!directional,,"The causative proclitic di= (§\ref{sec:di}), which indicates movement towards a goal, often occurs on directional verbs. It can usually be translated with `put' in combination with a directional verb, such as di=sara `put up' in~(\ref{exe:dirdi}). Di= is not found with era `to go up diagonally' or mia `to come'. With ra `to move (away), di= creates the specific meaning `to put up; to install'. This is illustrated in~(\ref{exe:salat}).",exe:dirdi,"\gll mat bantu karajang=at \textbf{di=saran} alfukat=at payiem | \gls 3SG.OBJ help basket=OBJ CAUS=ascend avocado=OBJ fill | \glt `[They] help him, put up his basket, fill it with avocados.'",exe:salat,"\gll lemat=at paruon=i koyet komangganggoup=et sal=at \textbf{di=ran} | \gls bamboo_string=OBJ make=PLNK finish put_on_roof=IRR roof_beam=OBJ CAUS=move | \glt `After making the bamboo string [we] put on the roof, install the roof beams.'",,,,,,,,,,,,,,,,
Verbs,Verb classes,Irregular verbs\is{verb!irregular,Directional verbs\is{verb!directional,,"However, di=ra can also more predictably mean `to put (away from the deictic centre)', as illustrated in~(\ref{exe:dira}), which also contains di=bara `to put down', in this case, put inside a container.",exe:dira,"\gll an kaling=at \textbf{di=ran} per=at di=baran | \gls 1SG frying_pan=OBJ CAUS=go_away frying_pan=OBJ CAUS=descend | \glt `I put the frying pan [on the fire], put in the water.'",,,,,,,,,,,,,,,,,,
Verbs,Verb derivation\is{verb derivation|(,Noun incorporation\is{compound\is{noun incorporation,,,"While there is one noun that cannot be the object of a verb but instead must be incorporated, don `thing', there are also restrictions on which elements can be incorporated. Pronouns, \is{demonstrative}demonstratives and modified nouns cannot be incorporated. As for the verbs, intransitive verbs cannot incorporate. Incorporation can take place on verbs that are part of a complex predicate\is{predicate!complex}. Both the first and the second verb in such a construction may incorporate, as (\ref{exe:jiena}) and (\ref{exe:bomuapruo}) illustrate.",exe:jiena,\gll in=a per-jie na | \gls 1PL.EXCL=FOC water-get drink | \glt `We got and drank the water.',exe:bomuapruo,\gll ma [...] bo amdir=ka bo \textbf{muap}-\textbf{ruo} | \gls 3SG {} go garden=LAT go food-dig | \glt `She goes to the garden to dig up food.',,,,,,,,,,,,,,,,
Verbs,Verb derivation\is{verb derivation|(,Noun incorporation\is{compound\is{noun incorporation,,,"It is unclear what the semantic or pragmatic difference is between incorporated and non-incorporated noun-verb pairs, and thus it remains for further research what guides the choice between incorporating or not incorporating. Some incorporations are more abstract expressions. Ter-na `tea-consume', for example, does not necessarily mean `drinking tea', but can also mean `having breakfast'. Incorporations with tree names and sara `to ascend' mean `to climb that tree in order to harvest'. However, we also find object + verb pairs with the same nouns and verbs which also have the more abstract meanings, suggesting that incorporation is not a requirement for the abstract reading. This is illustrated in~(\ref{exe:terincorp}). In~(\ref{exe:teratna}), the speaker first uses ter `tea' as the object and na `consume' as the verb. Two turns later, in~(\ref{exe:terna}), he incorporates ter into na with the same meaning, `to have breakfast'. (\ref{exe:ternatnin}) shows that negation does not play a role in the difference between~(\ref{exe:teratna}) and~(\ref{exe:terna}), and that ter may be incorporated in na also when the verb is negated.",exe:terincorp,Not found,exe:teratna,\gll Nur an=at gonggung=te tok \textbf{ter-na} | \gls Nur 1SG=OBJ call={\glte} first tea-consume | \glt `Nur calls me to have breakfast first.',exe:terna,Not found,exe:ternatnin,\gll mu muap ba mu \textbf{ter-nat=nin} | \gls 3SG eat but 3SG tea-consume=NEG | \glt `They ate but they didn't drink tea.',exe:teratna,\gll Nur an=at gonggung=te tok \textbf{ter-na} | \gls Nur 1SG=OBJ call={\glte} first tea-consume | \glt `Nur calls me to have breakfast first.',exe:terna,Not found,,,,,,,,
Verbs,Verb derivation\is{verb derivation|(,Noun incorporation\is{compound\is{noun incorporation,,,"This is not a question of referentiality (singling out a new referent by means of a non-incorporated noun), as on several occasions in the corpus the first mention of a referent is already incorporated. Other possible factors, such as whether or not the verb was inflected for mood or aspect, or the animacy or plurality of the referent, do not seem to have an effect on the choice of incorporation vs. no incorporation. From looking at the corpus examples, the only factor that was found to play a role in the choice between incorporation or no incorporation is \is{repetition}repetition in the same or adjacent turns. Whenever a speaker repeats themselves or the words of another speaker, there seems to be a heightened chance of repeating the previously used construction. But even after three repetitions of bir-na `beer-consume' in~(\ref{exe:birnana}), speaker A suddenly opts for a non-incorporated bir `beer'.",exe:birnana,Not found,,,,,,,,,,,,,,,,,,
