Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Information structure\is{information structure|(,Topic marker me\is{topic|(%\is{clause delimiter|(,,,,"Me can be used after a NP or PP to mark it as the topic in clauses with a verbal (see \ref{exe:metrans}, \ref{exe:mepron} and~\ref{exe:mestat}), nominal (see \ref{exe:menom}), \is{quantifier clause}quantifier (see \ref{exe:mequant}) or locative (see \ref{exe:meloc}) predicate, but is not obligatory in any of these contexts.",exe:metrans,"\gll [enem beladar-pas] \textbf{me} buok=at kuru bara pier=ki bes to | \gls woman Netherlands-woman TOP betel=OBJ bring descend 1DU.IN=BEN good right | \glt `The Dutchwoman brought down betel for us, good, right?' (Context: subject is given but not recently mentioned.)",exe:mepron,"\gll ki Tanggor=ka=ta rar [Tanggor] \textbf{me} mambon | \gls 2PL Tanggor=LAT=NFIN go.PL.IMP Tanggor TOP EXIST | \glt `You go to Tanggor, at Tanggor there are [fish].' (Context: Tanggor is given, in this very example.)",exe:mestat,Not found,exe:menom,\gll [pas me] \textbf{me} mungkin berupa jim | \gls woman DIST ME maybe be_a_form_of jinn | \glt `That woman is maybe a kind of jinn.' (Context: description of a video. The woman has been mentioned; this is a comment about her identity.),exe:mequant,"\gll [wa] \textbf{me} eir eh | \gls PROX TOP two TAG | \glt `These are two, right?' (Context: learning to weave a basket, pointing at strips of material in the teacher's hand.)",exe:meloc,\gll [tumtum eir] \textbf{me} kewe-un=ko | \gls children two ME house-3POSS=LOC | \glt `Two children are in their house.' (Context: frog story. Children have been mentioned; description of a new page in the book.),,,,,,,,
Information structure\is{information structure|(,Topic marker me\is{topic|(%\is{clause delimiter|(,,,,"The topic marker follows postpositions, as in~(\ref{exe:finbon}) and~(\ref{exe:komeneko}). Topicalised objects lack object postposition =at (example~\ref{exe:bobmun}). The topic marker is typically used following NPs or PPs that refer to given referents. It can also topicalise a time adverbial (example~\ref{exe:ambun}). Another way to mark topics, which may be combined with topic marker me, is fronting of the topicalised constituent (§\ref{sec:leftd}).",exe:finbon,\gll [Arifin=bon Mei=bon] \textbf{me} nat=nin | \gls Arifin=COM Mei=COM TOP consum=NEG | \glt `Arifin and Mei don't eat.',exe:komeneko,"\gll [watko] \textbf{me} lempuang-tumun wilak=ko me neko | \gls PROX.LOC TOP island-child sea=LOC TOP inside | \glt `Here, the small island inside the sea.'",exe:bobmun,Not found,exe:ambun,"\gll kier Luis=bon [\textbf{kasur}] \textbf{me} bo sor-sanggara | \gls 2DU Luis=COM tomorrow TOP go fish-search | \glt `(As for) tomorrow, you and Luis go fishing.'",,,,,,,,,,,,
Information structure\is{information structure|(,Topic marker me\is{topic|(%\is{clause delimiter|(,,,,"More seldomly, new participants are introduced with me. This is limited to unimportant participants. In~(\ref{exe:sikank}), the cat is introduced; it is not mentioned thereafter, and is only used in the story as a prop to create a slightly threatening atmosphere. In examples of the type in~(\ref{exe:wameta}), where properties of referents are described out of context, me is also used, often combined with a demonstrative.",exe:sikank,"\gll [sikan kon] \textbf{me} in=at tiri pareir | \gls cat one TOP 1PL.EXCL=OBJ run follow | \glt `A cat ran after us.' (Context: a story about going to someone's house, first mention of the cat.)",exe:wameta,"\gll [ror wa] \textbf{me} tabusik | \gls tree PROX TOP short | \glt `This tree is short.' (Context: no context, elicitation, transl. of Malay pohon ini pendek `this tree is short'.)",,,,,,,,,,,,,,,,
Information structure\is{information structure|(,Topic marker me\is{topic|(%\is{clause delimiter|(,,,,"In a few instances, me marks two referents in the same clause. In~(\ref{exe:anmed}), the second instance of me could alternately be analysed as a distal demonstrative (but would still be topicalised because it is fronted), but in~(\ref{exe:lekop}) the analysis seems untlikely to fit, as there is already a demonstrative modifying each noun. Analysing me as a definite marker also does not fit, as it does not appear consistently on anaphoric definites (referents that have been mentioned in the text).",exe:anmed,"\gll [an] \textbf{me} [don] \textbf{me} ka an ∅=nin | \gls 1SG TOP thing TOP 2SG 1SG give=NEG | \glt `As for me, and as for that thing, you didn't give [it] to me.'",exe:lekop,\gll [lek opa] \textbf{me} [afokat opa] \textbf{me} kona | \gls goat {\glopa} TOP avocado {\glopa} TOP see | \glt `That goat sees those avocados.',,,,,,,,,,,,,,,,
Information structure\is{information structure|(,Topic marker me\is{topic|(%\is{clause delimiter|(,,,,The combination of irrealis =et followed by me is also seen in pre-posed topic constructions as in~(\ref{exe:eiretme}). This is an unusual way to present a topic: it is much more common to do so without =et.,exe:eiretme,"\gll [siada eir=et] \textbf{me} ma se taraouk | \gls kind_of_fish two=IRR TOP 3SG IAM store | \glt `As for those two siadas, he had already stored [them].'",,,,,,,,,,,,,,,,,,
Information structure\is{information structure|(,Focus\is{focus|(,,,,The enclitic =a is a focus marker that typically attaches to the NP or PP.\is{postpositional phrase} Question words often carry this enclitic and are naturally focused. See~(\ref{exe:namana}) and~(\ref{exe:tamatkoa}).,exe:namana,\gll naman=\textbf{a} kiem-an yuwa=at kuet | \gls who=FOC basket-1SG.POSS PROX=OBJ bring | \glt `Who took my basket?',exe:tamatkoa,\gll mu tamatko=\textbf{a} kajie | \gls 3PL where=FOC pick | \glt `Where did they pick [chestnuts]?',,,,,,,,,,,,,,,,
Information structure\is{information structure|(,Focus\is{focus|(,,,,"It is also common for =a to occur on the object in a question-answer pair like~(\ref{exe:terques}), where obviously the piece of new information is that which the interlocutor is asking about, kapurui, the name of a dish.",exe:terques,Not found,,,,,,,,,,,,,,,,,,
Information structure\is{information structure|(,Focus\is{focus|(,,,,"We also encounter =a on manner adverbial \is{demonstrative!manner}demonstratives (Chapter~\ref{ch:dems}), where there is a natural focus on the part translating as `like this'. Consider~(\ref{exe:wandia}), where the demonstrative is also an answer to a question.",exe:wandia,Not found,,,,,,,,,,,,,,,,,,
Information structure\is{information structure|(,Focus\is{focus|(,,,,"(\ref{exe:kiafoc}) and~(\ref{exe:bonafoc}), together with~(\ref{exe:terques}) above, show that focus marker =a comes after postpositions\is{postposition}. %also after poss, but before kin?",exe:kiafoc,\gll emun se sap=ki=\textbf{a} mara∼mara | \gls mother.3POSS IAM stick=INS=FOC move_landwards∼PROG | \glt `His mother came walking with a stick.',exe:bonafoc,\gll mier pas kahen kon=bon=\textbf{a} min | \gls 3DU woman tall one=COM=FOC sleep | \glt `She and a tall woman are sleeping.',exe:terques,Not found,,,,,,,,,,,,,,
Information structure\is{information structure|(,Focus\is{focus|(,,,,"The clitic =ba is a secondary focus marker found only on demonstratives (example~\ref{exe:yuwaba}), proper names\is{names!personal names} (example~\ref{exe:tomib}), question word naman `who' and question word root tama (example~\ref{exe:puloro}). It is much rarer than =a. =ba is often, but not exclusively, used with questions.",exe:yuwaba,"\gll mungkin dodon-un yuwa=\textbf{ba} neba=ko pue to semen=ko | \gls maybe clothes-3POSS PROX=FOC PH=LOC hit right concrete=LOC | \glt `Maybe these clothes of his hit the whatsit, right, the concrete.'",exe:tomib,"\gll wat na=ten yuwa naman=a yuwa [...] Tomi=\textbf{ba} ye | \gls coconut consume=AT PROX who=FOC PROX {} Tomi=FOC or | \glt `[Someone] who is drinking coconut here, who is this, Tomi?'",exe:puloro,"\gll pulor opa ka tu=ta me tama=\textbf{ba}-kadok os-kadok | \gls betel_leaf DEM 2SG pound-TA TOP where=FOC-side beach-side | \glt `That betel leaf that you were pounding, on which side is it, on the beach-side?'",,,,,,,,,,,,,,
