Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Clausal syntax \label{cha:clausalsyntax,Constituent order\label{constitorder,,,,"The dominant word order in Komnzo is AUV (actor \isi{undergoer} verb). Recipients of ditransitives also precede the verb and follow the actor noun phrase, but there is no clear position with respect to the \isi{theme} argument. Evidence for basic word order comes from the use of the \isi{recognitional} \isi{demonstrative} ({\S}\ref{recognitional-pronoun-subsec}). In example (\ref{ex686}), the \isi{object} argument is expressed first by the \isi{recognitional} bäne `those' and then by the noun züm `centipedes'. The speaker uses the \isi{recognitional} in the absolutive case in the position where the constituent normally occurs. This is a tip-of-the-tongue situation, and therefore the speaker fills in the appropriate referent after the verb. Note that there is usually a break in the intonation contour if any constituent occurs after the verb.",ex686,\gsrc nzürna ŋaref \textbf{bäne} sasryoftha \textbf{züm}. | \gll nzürna ŋare=f bäne sa\stem{sryofth}a züm. | \gls nzürna woman=ERG.SG Recog.ABS SG:SBJ>TSG.MASC:IO:PST:PFV/send centipede. | \glt `The nzürna woman sent those ones after him ... the centipedes.',,,,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Constituent order\label{constitorder,,,,"Experiencer-object constructions ({\S}\ref{expobjconstr}) deviate from the basic word order. The \isi{experiencer} is placed almost always before the \isi{stimulus}, i.e. the \isi{undergoer} comes first and the actor follows (\ref{ex687}). This can be explained by the relative salience of the \isi{experiencer} in such constructions and the fact that it almost always ranks higher in terms of animacy.",expobjconstr,Not found,ex687,\gsrc ŋatha kawakawaf bthefaf. | \gll ŋatha kawakawa=f b=the\stem{faf}. | \gls dog madness=ERG MED=STSG:SBJ>STPL:OBJ:Rpst:PFV/hold. | \glt `The dogs went crazy there.' (lit. `Madness has grabbed the dogs.'),,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Constituent order\label{constitorder,,,,"AUV word order is only a tendency in Komnzo. In fact, most clauses lack overt \isi{noun phrase}s for the respective constituents. The flagging of \isi{noun phrase}s with \isi{case} allows for some flexibility in the arrangement of constituents. However, deviations from the basic word order are often pragmatically motivated. In example (\ref{ex716}),\footnote{Note that the stem fath- means `hold', but in a suppressed-object construction it means `marry' ({\S}\ref{suppressedobjectclause}).} the speaker replies to a question whether a particular individual is his brother-in-law. He says `really my brother-in-law' and then gives an explanation in the following clause, where the \isi{undergoer} appears before the actor. The reversal of constituents can be explained as a strategy to focus the \isi{undergoer} argument, that is mayawa emoth `Mayawa sister' is focussed by fronting.",ex716,\gsrc nzone ngom fof ... \textbf{mayawa emoth} naf zefafa fof. | \gll nzone ngom fof ... mayawa emoth naf ze\stem{faf}a fof. | \gls FSG.POSS brother.in.law EMPH ... mayawa girl TSG.ERG SG:SBJ:PST:PFV/marry EMPH. | \glt `My brother-in-law ... He married a Mayawa sister.',,,,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Constituent order\label{constitorder,,,,"In example (\ref{ex688}), both constituents follow the verb. The \isi{undergoer} comes first and after a short pause the actor follows. Examples like these are rare, but frequently one of the constituents follows the verb. This can occur because the speaker wants to clarify the state of affairs or because she wants to put emphasis on the referent. There is usually a break in the intonation contour after the verb form.",ex688,\gsrc keke thufnzrm ane karma kabe ... naf. | \gll keke thu\stem{fn}nzrm ane kar=ma kabe ... naf. | \gls NEG SG:SBJ>STPL:OBJ:PST:DUR/kill DEM village=CHAR man ... TSG.ERG. | \glt `She did not attack those village people.',,,,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Clause types\label{clause types,Non-verbal clauses\label{nonverbalclauses,,,"The TAM particles kwa {\Fut} and kma {\Pot} can stand alone when they are used as commands. For example, kma can mean `You have to!', and with the \isi{apprehensive} clitic =m attached, it can mean the opposite: kmam `You must not!'. In example (\ref{ex560}), the \isi{future} particle kwa is used in the sense of `Wait!'. The speaker describes poison-root fishing and how they have to hold back the children from jumping into the water too early.",ex560,"\gsrc katakatan kwa zöbthé thrängathinzth nima ``\textbf{kwa}! komnzo \textbf{kwa}! | \gll kata-katan kwa zöbthé thrän\stem{gathinz}th nima kwa komnzo kwa. | \gls REDUP-small FUT first STPL:SBJ>STPL:OBJ:IRR:PFV:VENIT/stop Quot wait only wait. | \glt `First, they will hold back the small ones and say: ``Wait! Just Wait!'''",,,,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Clause types\label{clause types,Non-verbal clauses\label{nonverbalclauses,,,"Another possible type of verbless \isi{clause} is with the property nouns miyo `desire' and miyatha `knowledge' and their antonyms miyomär `aversion, dislike' and miyamr `ignorance'. These words are usually used as \isi{nominal} predicates with light verbs or with the \isi{copula}. As a consequence, we find examples like ({\ref{ex561}}), where the last \isi{clause} nzä miyamr does not contain a verb. It is possible to insert the \isi{copula} in the appropriate inflection (worera \Fsg:\Sbj:\Pst:\Ipfv/be), but often it is left out. Apart from examples like these, there are no verbless clauses in Komnzo.",ex561,"\gsrc fi kafar mane erera näbi ane ofe ŋarerath. mobo erera? ... \textbf{nzä miyamr}} | \gll fi kafar mane e\stem{rä}ra näbi ane ofe ŋa\stem{rä}rath. mobo e\stem{rä}ra ... nzä miyamr. | \gls but big which STPL:SBJ:PST:IPFV/be one DEM disappearance STPL:SBJ:PST:IPFV/do where.All ... STPL:SBJ:PST:IPFV/be FSG.ABS ignorance. | \glt `As for the big dogs, they disappeared for good. Where did they go? ... I (do) not know.'",,,,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Clause types\label{clause types,Copula clauses\label{copclause,,,"The \isi{copula} takes a \isi{copula} \isi{subject} and a \isi{copula} \isi{complement}. Copula clauses may express identity between two NPs (\ref{ex611}). They are used in presentational constructions, usually with a \isi{clitic} \isi{demonstrative} (\ref{ex612}).",ex611,\gsrc ni fthé miyatha zäkorake ``babai zane bthan kabe yé.'' | \gll ni fthé miyatha zä\stem{kor}ake babai zane bthan kabe \stem{yé}. | \gls FNSG when knowledge FPL:SBJ:PST:PFV/become uncle DEM:PROX black.magic man TSG.MASC:SBJ:NONPAST:IPFV:COP. | \glt `That was when we realised ``The uncle is this sorcerer.''',ex612,\gsrc yorär ziyé ... zikogr. | \gll yorär z=\stem{yé} ... z=y\stem{kogr}. | \gls yorär PROX=TSG.MASC:SBJ:NONPAST:IPFV/be ... PROX=TSG.MASC:SBJ:NONPAST:STAT/stand. | \glt `Yorär is here. It stands here.',,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Clause types\label{clause types,Copula clauses\label{copclause,,,"The \isi{complement} may be marked with the \isi{proprietive} case (\S\ref{propcase}) or the \isi{privative} case (\S\ref{privcase}) to express the existence or non-existence of some entity in relation to the \isi{copula} \isi{subject}. The former is shown in (\ref{ex744}), where the speaker literally says `the village is with a name' to express that it has some reputation. The latter is shown in (\ref{ex745}), where the speaker tells how he was looking for a creek that carried water.",ex744,"\gsrc zane kar mane rä yfkarä rä. | \gll zane kar mane \stem{rä} yf=karä \stem{rä}. | \gls DEM:PROX village which TSG.F:SBJ:NONPAST:IPFV:COP name=PROP TSG.F:SBJ:NONPAST:IPFV:COP. | \glt `As for this village, it has a (good) reputation.'",ex745,"\gsrc buyak we ttfö ane zräbrmé nimame ... keke ... nomär rä. | \gll b=wi\stem{yak} we ttfö ane zrä\stem{brm}é nima=me ... keke ... no=mär \stem{rä}. | \gls MED=FSG:SBJ:NONPAST:IPFV/walk also creek DEM FSG:SBJ:IRR:PFV/follow like.this=INS ... NEG ... water=PRIV TSG.F:SBJ:NONPAST:IPFV:COP. | \glt `I walked there, I followed another creek like this ... No ... (The creek) had no water.'",,,,,,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Clause types\label{clause types,Copula clauses\label{copclause,,,"Adjectives and property nouns may also be \isi{copula} complements, as shown in (\ref{ex746}) and (\ref{ex747}), respectively. In (\ref{ex746}), the speaker reports how his fathers were comparing their yam harvest. In example (\ref{ex747}), the speaker talks about how as a teenager she was afraid of the anthropologist Mary Ayres when she first visited Rouku.",ex746,\gsrc katakatanwä thfrä! nzenme kafar erä! | \gll kata-katan=wä thf\stem{rä} nzenme kafar e\stem{rä}. | \gls REDUP-small=EMPH TPL:SBJ:Rpst:IPFV:COP FNSG:POSS big TPL:SBJ:NONPAST:IPFV:COP. | \glt `Their (yams) were a bit small! Our (yams) are big!',ex747,\gsrc nzä wwtri kwarärm ... markaianema ... nafanema fof. | \gll nzä w-wtri kwa\stem{rä}rm ... markai=ane=ma ... nafane=ma fof. | \gls FSG.ABS REDUP-fear FSG:SBJ:PST:DUR:COP ... outsider=POSS.SG=CHAR ... TSG.POSS=CHAR EMPH. | \glt `I was a bit afraid ... of the white woman ... really (afraid) of her.',ex746,\gsrc katakatanwä thfrä! nzenme kafar erä! | \gll kata-katan=wä thf\stem{rä} nzenme kafar e\stem{rä}. | \gls REDUP-small=EMPH TPL:SBJ:Rpst:IPFV:COP FNSG:POSS big TPL:SBJ:NONPAST:IPFV:COP. | \glt `Their (yams) were a bit small! Our (yams) are big!',ex747,\gsrc nzä wwtri kwarärm ... markaianema ... nafanema fof. | \gll nzä w-wtri kwa\stem{rä}rm ... markai=ane=ma ... nafane=ma fof. | \gls FSG.ABS REDUP-fear FSG:SBJ:PST:DUR:COP ... outsider=POSS.SG=CHAR ... TSG.POSS=CHAR EMPH. | \glt `I was a bit afraid ... of the white woman ... really (afraid) of her.',,,,,,,,,,,,
Clausal syntax \label{cha:clausalsyntax,Clause types\label{clause types,Intransitive clauses\label{intransitiveclauses,,,"In terms of \isi{verb} morphology, \isi{intransitive} clauses have been described in {\S}\ref{morphologicaltemplates}. The verb inflection employs the prefixing or the \isi{middle} template. Their single argument is always in the \isi{absolutive} \isi{case}. Two examples are given in (\ref{ex562}) and (\ref{ex563}).",ex562,\gsrc ŋarsenzo \textbf{swanyakm} ... karr \textbf{swanrenzrm}. | \gll ŋars=en=nzo swan\stem{yak}m ... kar=r swan\stem{re}nzrm. | \gls river=LOC=ONLY TSG.MASC:SBJ:PST:DUR:VENIT/walk ... village=PURP TSG.MASC:SBJ:PST:DUR:VENIT/look.around. | \glt `He was coming along the river ... he was looking for a place to settle.',ex563,\gsrc nzä boba fthé kanathrfa \textbf{zänbrima}. | \gll nzä boba fthé kanathr=fa zän\stem{brim}a. | \gls FSG.ABS MED.ABL when kanathr=ABL SG:SBJ:PST:PFV:VENIT/return. | \glt `That was when I returned from Kanathr.',,,,,,,,,,,,,,,,
