Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"The basic constituent order in Mauwake clauses is quite rigid \textstyleAcronymallcaps{sov}, even if the verb morphology cross-references the syntactic roles to some extent. Although only a fraction of the clauses in the text corpus -- less than 10% -- have an overt subject and object \textstyleAcronymallcaps{np} it is possible to establish the dominant order. About nine out of ten of those clauses that do have an overt subject and object \textstyleAcronymallcaps{np} manifest \textstyleAcronymallcaps{sov} order.\footnote{SOV: 210 clauses, OSV: 22 clauses} They are also pragmatically neutral \REF{ex:5:x896}, whereas the other possible order, \textstyleAcronymallcaps{osv}, only occurs when the object is fronted as a theme \REF{ex:5:x897}.",ex:5:x896,\gll Owow mua\textsubscript{S} kau kuisow\textsubscript{O} aaw-e-mik. | \gls village man cow one get-PA-1/3p | \glt  `The village men got one cow.',ex:5:x897,\gll Yena aamun\textsubscript{O} ariwa=ke\textsubscript{S} aaw-o-k. | \gls 1s.POSS 1s/p.younger.sibling arrow=CF get-PA-3s | \glt  `My younger brother was killed by an arrow.',,,,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"There are two object positions\footnote{The two objects are discussed further in the next sections \sectref{sec:5.2} and \sectref{sec:5.3}} and three X-positions for adverbial phrases. Depending on the grammatical model, the adverbial phrases may be called peripherals, obliques, satellites or adjuncts. I call them peripherals and reserve the term adjunct for the non-verb part of an adjunct plus verb construction. If a clause has only one object, it occupies the O\textsubscript{2} position immediately preceding the verb regardless of whether the semantic function is that of a patient, a recipient or a beneficiary. When there are two objects, their position is dictated mainly by their relative topicality. A [+human] argument tends to be more topical than a [\nobreakdash-human] one, so an object that is semantically a recipient \REF{ex:5:x928}, \REF{ex:5:x933}, or a beneficiary \REF{ex:5:x916}, typically occupies the first object position, and the other object, typically a [\nobreakdash-human] patient, fills the second object position.",ex:5:x928,\gll Muuka\textsubscript{O1} sira\textsubscript{O2} iw-i-mik. | \gls son custom give.him-Np-PR.1/3p | \glt  `They teach the right behaviour to the son.',ex:5:x933,\gll Sarak=ke wi takira\textsubscript{O1} inglis\textsubscript{O2} wia\textsubscript{O1} ofakow-i-ya.{\upshape\footnotemark} | \gls Sarak=CF 3p.UNM child English 3p.ACC teach-Np-PR.3s | \glt  `Sarak teaches the children English.',ex:5:x916,\gll Ni auwa\textsubscript{O1} maa\textsubscript{O2} p-ikiw-om-aka. | \gls 2p.UNM 1s/p.father food BPX-go-BEN-BNFY2.IMP.2p | \glt  `Take food to/for father.',,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"If a [-human] patient object is more topical than a [+human] object, it can occupy the first object position. A more topical [+human] object in \REF{ex:5:x917} would have an unmarked third person plural pronoun before the [-human] object.\footnote{More examples of can be found in \sectref{sec:5.3.2}.}",ex:5:x917,\gll Onak=ke aaya\textsubscript{O1} wia\textsubscript{O2} aaw-om-aya enim-or-om-ik-e-mik. | \gls 3s/p.mother sugarcane 3p.ACC get-BEN-BNFY2.2/3s eat-descend-SS.SIM-be-PA-1/3p | \glt  `Their mother got sugarcane for them and they went down eating it.',,,,,,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"If both the objects are [-human], the one that is more clearly the patient, i.e. more profoundly affected by the action, occupies the O\textsubscript{2} position \REF{ex:5:x927}. Usually the object in O\textsubscript{1} position has a more locative-type meaning \REF{ex:5:x934}.",ex:5:x927,\gll Epira\textsubscript{O1} lolom\textsubscript{O2} if-e-mik. | \gls plate mud smear-PA-1/3p | \glt  `They smeared the plate with mud' or: `They smeared mud on the plate.',ex:5:x934,\gll Wut makena nain\textsubscript{O1} ona\textsubscript{O2} puuk-a-m. | \gls Derris.root.tree seed that1 hole cut-PA-1s | \glt  `I cut a hole in the seed of a derris root tree.',,,,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"The normal position of the peripherals is between the subject and the object \textstyleAcronymallcaps{np}, if any \REF{ex:5:x895}, or between the first and second object \REF{ex:5:x913}.",ex:5:x895,Not found,ex:5:x913,"\gll Wiipa nain\textsubscript{O1} \textbf{samapora} \textbf{iinan=pa}\textsubscript{AdvP} epia\textsubscript{O2} ururum-om-ap{\dots} | \gls daughter that floor top=LOC fire light-BEN-BNFY2.SS.SEQ | \glt  `They lighted a fire for the daughter on top of the floor, and ...'",,,,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,A locative adverbial can also come between an object \textstyleAcronymallcaps{np} and a verb. A deictic locative phrase \REF{ex:5:x914} or another short locative phrase \REF{ex:5:x931} is common in this position.,ex:5:x914,\gll Emer en-ow(a) mua=ko emeria\textsubscript{O} \textbf{fan}\textsubscript{AdvP} aaw-o-k. | \gls sago eat-NMZ man=NF woman here get-PA-3s | \glt  `A Sepik man got a wife here.',ex:5:x931,\gll Yo maa unowa\textsubscript{O} \textbf{koora=pa}\textsubscript{AdvP} wu-a-m. | \gls 1s.UNM thing many house=LOC put-PA-1s | \glt  `I put (the) many things in the house.',,,,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"The position immediately before the verb is also the only possible place for a [+human] locative adverbial, manifested by a dative pronoun (\sectref{sec:3.5.5}). In both \REF{ex:5:x854} and \REF{ex:5:x855} there are two locative adverbials, a [-human] and a [+human] one. The [+human] locative adverbial refers to the people of the location. If it is left out, the other locative refers to the location but not the people.",ex:5:x854,Not found,ex:5:x855,\gll I amirk=iw Gawar\textsubscript{AdvP} \textbf{wiar}\textsubscript{AdvP} urup-e-mik. | \gls 1p.UNM day=INST Gawar 3.DAT ascend-PA-1/3p | \glt  `During the day we went to Gawar.',,,,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"If there are more adverbial phrases than one, a temporal phrase normally precedes any others \REF{ex:5:x915}. The relative order of the other adverbial phrases is syntactically quite free and depends on their relative topicality \REF{ex:5:x915}, \REF{ex:5:x918}.",ex:5:x915,\gll I \textbf{amirika} \textbf{owowa} \textbf{ewur} me ekap-em-ik-e-mik. | \gls 1p.UNM day village quickly not come-SS.SIM-be-PA-1/3p | \glt  `In the daytime we didn't come quickly to the village.',ex:5:x915,\gll I \textbf{amirika} \textbf{owowa} \textbf{ewur} me ekap-em-ik-e-mik. | \gls 1p.UNM day village quickly not come-SS.SIM-be-PA-1/3p | \glt  `In the daytime we didn't come quickly to the village.',ex:5:x918,\gll Niena \textbf{ikoka} \textbf{oram} \textbf{neeke} ika-i-non. | \gls 2s/p.mother later for.nothing there.CF be-Np-FU.3s | \glt  `Your mother will later just be there (without you).',,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"Both transitive \REF{ex:5:x981} and intransitive clauses \REF{ex:5:x1057} are negated with the verbal negator \textstyleStyleVernacularWordsItalic{me} `not' placed immediately before the verb phrase.\footnote{For the placement of me as a constituent negator, see \sectref{sec:6.2.2}.}",ex:5:x981,\gll I \textbf{me} wia amukar-e-mik. | \gls 1p.UNM not 3.ACC scold-PA-1/3p | \glt  `We didn't scold them.',ex:5:x1057,\gll Nain yo \textbf{me} baurar-em-ik-e-m. | \gls but 1s.UNM not run.away-SS.SIM-be-PA-1s | \glt  `But I didn't keep running away.',,,,,,,,,,,,,,,,
Clause \label{chap:5,Order of constituents \label{sec:5.1,,,,"As was mentioned above, pragmatic factors influence the constituent order. A constituent that is fronted as a theme to the beginning of the clause is still part of the constituent structure of the clause \REF{ex:5:x930} (for theme, see \sectref{sec:9.1}).\footnote{In Amele the pre-verbal position is a focus position \citep[142]{Roberts1987}, but in Mauwake this does not seem to be the case. Focus is indicated by a heavier stress and sometimes by focus markers.}",ex:5:x930,\gll \textbf{Oposia} \textbf{gelemuta}\textsubscript{O1} wiam erup fain wia\textsubscript{O2} wu-om-a-m. | \gls meat little 3p.REFL two this 3p.ACC put-BEN-BNFY2.PA-1s | \glt  `A bit of the meat I put (aside) for these two.',,,,,,,,,,,,,,,,,,
