Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Oblique stem\label{oblique-stem,,,,Example (\ref{ex:3:2}) illustrates the process (see more in \citealt{moroz2019}):,ex:3:2,Not found,,,,,,,,,,,,,,,,,,
,Nominal inflection system,,,,Example (\ref{ex:3:3}) illustrates how the locative markers function:,ex:3:3,Not found,,,,,,,,,,,,,,,,,,
,Nominal inflection system,Dative\label{dative,,,in (\ref{ex:3:18}). The two types of transmission are encoded by the dative vs.,ex:3:18,\gll nuša-jni qali b-aq'-ib-i rasuj-s.} | \gls we-ERG house N-do:PFV-AOR-ATR Rasul.OBL-DAT | \glt `We built a house for Rasul.',,,,,,,,,,,,,,,,,,
,Nominal inflection system,Dative\label{dative,,,"are not transmitted, as in (\ref{ex:3:19}), the recipient is marked with",ex:3:19,\gll rasuj-ni gi-b muħammadi-ze dis.} | \gls Rasul.OBL-ERG give:PFV-AOR Muhammad-INTER(LAT) knife | \glt `Rasul lent a knife to Muhammad.',,,,,,,,,,,,,,,,,,
,Nominal inflection system,Causal\label{causal,,,that the case no longer exists in Mehweb. Examples (\ref{ex:3:25}) and (\ref{ex:3:26}) are,ex:3:25,\gll ?se-li-čible ħu tusnaq' w-aq'-ib-i?} | \gls what-OBL-CAUSAL you.sg arrest M-do:PFV-AOR-ATR | \glt `Why did you get arrested?',ex:3:26,\gll ?di-la χuligan-deši-čible nu tusnaq' w-aq'-ib.} | \gls I.OBL-GEN hooligan-NMLZ-CAUSAL I arrest M-do:PFV-AOR | \glt `I got arrested because of my hooliganism.',,,,,,,,,,,,,,,,
,Nominal inflection system,The locative marker -če-\label{the-locative-marker-ce,,,but the rules are difficult to formulate. Examples (\ref{ex:3:30}) and (\ref{ex:3:31}) show,ex:3:30,Not found,ex:3:31,Not found,,,,,,,,,,,,,,,,
,Nominal inflection system,The locative morpheme -ħe-,,,"In (\ref{ex:3:38}), the morpheme -ħe- causes vowel assimilation (i → e) in",ex:3:38,\gll ħarši k'unk'ur-le-ħe-r le-r.} | \gls soup pot-OBL-IN-NPL(ESS) be-NPL | \glt `The soup is in the pot.',,,,,,,,,,,,,,,,,,
,Nominal inflection system,The locative morpheme -ze-,,,intransitive (labile in \ref{ex:3:42}) verbs and thus is a means of introducing an,ex:3:42,Not found,,,,,,,,,,,,,,,,,,
,Nominal inflection system,The locative morpheme -ʡeˤ-,,,"It thus becomes semantically similar to -ħe-; in (\ref{ex:3:53}),",ex:3:53,\gll škaf unza-le-ħe-di b-aˤq'-un.} | \gls wardrobe door-OBL-IN-TRANS N-go:PFV-AOR | \glt `The wardrobe went through the door.',,,,,,,,,,,,,,,,,,
,Nominal inflection system,The locative morpheme -ʡeˤ-,,,i → e in the oblique stem marker (cf.\ \ref{ex:3:52} and \ref{ex:3:53}).,ex:3:52,\gll škaf unza-le-ʡeˤ-di b-aˤq'-un.} | \gls wardrobe door-OBL-APUD-TRANS N-go:PFV-AOR | \glt `The wardrobe went through the door.',ex:3:53,\gll škaf unza-le-ħe-di b-aˤq'-un.} | \gls wardrobe door-OBL-IN-TRANS N-go:PFV-AOR | \glt `The wardrobe went through the door.',,,,,,,,,,,,,,,,
