Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Polarity\label{polarity,,,,"As (\ref{ex:4:13}c) also shows, the process of stem copy (see below) applies before assimilation in nasality takes place.",ex:4:13,Not found,,,,,,,,,,,,,,,,,,
,Polarity\label{polarity,,,,standard negation involving stem copies; cf.\ (\ref{ex:4:15}) and (\ref{ex:4:16}):,ex:4:15,Not found,ex:4:16,Not found,,,,,,,,,,,,,,,,
,Polarity\label{polarity,,,,"by other material, especially by the discourse particle, as in (\ref{ex:4:17}) and",ex:4:17,Not found,,,,,,,,,,,,,,,,,,
,Polarity\label{polarity,,,,"(\ref{ex:4:18}), where it forms a separate wordform.",ex:4:18,Not found,,,,,,,,,,,,,,,,,,
,Transitivity\label{transitivity,,,,"compositional meaning of double causation (\ref{ex:4:27}), but sometimes",ex:4:27,Not found,,,,,,,,,,,,,,,,,,
,Transitivity\label{transitivity,,,,consultants interpret them as single causatives (\ref{ex:4:28}). Double causatives,ex:4:28,Not found,,,,,,,,,,,,,,,,,,
,Transitivity\label{transitivity,,,,"The semantic contrast between double\is{causative, double} causatives in (\ref{ex:4:28}) and the respective",ex:4:28,Not found,,,,,,,,,,,,,,,,,,
,Transitivity\label{transitivity,,,,"exists at all. Except (\ref{ex:4:28}c), all verbs in (\ref{ex:4:27}) and (\ref{ex:4:28}) are",ex:4:28,Not found,ex:4:27,Not found,ex:4:28,Not found,,,,,,,,,,,,,,
,Transitivity\label{transitivity,,,,form in (\ref{ex:4:27}e) is thus `caused someone\textsubscript{i} to cause,ex:4:27,Not found,,,,,,,,,,,,,,,,,,
,Transitivity\label{transitivity,,,,labile in Mehweb (e.g.\ (\ref{ex:4:27}d). This provides a tentative explanation of,ex:4:27,Not found,,,,,,,,,,,,,,,,,,
,Transitivity\label{transitivity,,,,"In (\ref{ex:4:42}), the agent is truly absent. In (\ref{ex:4:43}), it is omitted in the converb clause (`having locked the door') under co-reference to the subject of the main clause (`mother went to bed').",ex:4:42,Not found,ex:4:43,Not found,,,,,,,,,,,,,,,,
,Complex verbs\label{complex-verbs,,,,"In (\ref{ex:4:65}) and (\ref{ex:4:66}), the (a) appears before the negative prefix,",ex:4:65,Not found,ex:4:66,Not found,,,,,,,,,,,,,,,,
,Complex verbs\label{complex-verbs,,,,"and is otherwise lost before the vowel of the stem. The verb in (\ref{ex:4:67}) has a negative form ʡajk'-ħa-jk'-an `does not (usually) lock', which suggests an underlying structure of the positive forms looking something like ʡajk'-k'\(ib\), with the two occurrences of k' merging in one.",ex:4:67,Not found,,,,,,,,,,,,,,,,,,
