Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Periphrastic causativization\label{Periphrastic-causativization,,,,Compare the two causative constructions in (\ref{ex:6:2}). Ex.~(\ref{ex:6:2}a),ex:6:2,Not found,ex:6:2,Not found,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,,,,illustrates the synthetic causative expression. (\ref{ex:6:2}b) conveys the,ex:6:2,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The structure of the periphrastic construction,,,"infinitives, either perfective or imperfective (see (\ref{ex:6:5}a–b)). Other",ex:6:5,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The structure of the periphrastic construction,,,"examples (\ref{ex:6:5}c–e) with the aorist, imperfective past and perfective",ex:6:5,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The structure of the periphrastic construction,,,"by an additional phrase, e.g.\ by a temporal adverb (see (\ref{ex:6:6}c);",ex:6:6,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The structure of the periphrastic construction,,,"In (\ref{ex:6:7}), even though the cause predicate has perfective aspect,",ex:6:7,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The use of aʔas `drive',,,carries the absolutive. Consider examples (\ref{ex:6:8}–\ref{ex:6:10}):,ex:6:8,\gll pat'imat-ini anwar uˤq'-es aʔ-ib. | \gls Patimat-ERG Anwar M.go:PFV-INF drive:PFV-AOR | \glt `Patimat made Anwar go away.',ex:6:10,Not found,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The use of aʔas `drive',,,"In (\ref{ex:6:13}a) the snow appears as a human causer, not a natural force. In a",ex:6:13,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The use of aʔas `drive',,,"mountains, the sentence would be as in (\ref{ex:6:13}b).",ex:6:13,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,The use of aʔas `drive',,,"applies to the causee. In particular, in example (\ref{ex:6:11}), the illness is",ex:6:11,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Permissive causative with \textsc{cl-aqas `leave',,,Consider some examples with different effect predicates (\ref{ex:6:15}–\ref{ex:6:17}):,ex:6:15,\gll sovet-ini direktur uškul q'-aˤbʡ-es w-aq-ib. | \gls administration-ERG principal school PV-close:PFV-INF M-leave:PFV-AOR | \glt `Administration let the principal close the school.',ex:6:17,\gll pat'imat-ini anwar w-aq-ib umma d-aq'-as. | \gls Patimat-ERG Anwar M-leave:PFV-AOR kiss NPL-do:PFV-INF | \glt `Patimat let Anwar kiss her.',,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Permissive causative with \textsc{cl-aqas `leave',,,"request. For instance, in (\ref{ex:6:17}), it is entailed that, before kissing",ex:6:17,\gll pat'imat-ini anwar w-aq-ib umma d-aq'-as. | \gls Patimat-ERG Anwar M-leave:PFV-AOR kiss NPL-do:PFV-INF | \glt `Patimat let Anwar kiss her.',,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Permissive causative with \textsc{cl-aqas `leave',,,Examples like (\ref{ex:6:18}) and (\ref{ex:6:19}) can be described in terms of a physical,ex:6:18,Not found,ex:6:19,Not found,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Permissive causative with \textsc{cl-aqas `leave',,,"object (\ref{ex:6:18}–\ref{ex:6:21}). In cases where the causee is a person (\ref{ex:6:17}), the",ex:6:18,Not found,ex:6:21,Not found,ex:6:17,\gll pat'imat-ini anwar w-aq-ib umma d-aq'-as. | \gls Patimat-ERG Anwar M-leave:PFV-AOR kiss NPL-do:PFV-INF | \glt `Patimat let Anwar kiss her.',,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Agreement in permissive causative construction\label{Agreement-in-permissive-causative-construction,,,"prevails, with the causee retaining the absolutive case (\ref{ex:6:22}a). Note that",ex:6:22,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Agreement in permissive causative construction\label{Agreement-in-permissive-causative-construction,,,argument of the dependent clause. Consultants translate both (\ref{ex:6:22}a) and,ex:6:22,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Agreement in permissive causative construction\label{Agreement-in-permissive-causative-construction,,,(\ref{ex:6:22}b) in the same way.,ex:6:22,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Agreement in permissive causative construction\label{Agreement-in-permissive-causative-construction,,,"In (\ref{ex:6:23}), the causative verb shows plural agreement with the absolutive",ex:6:23,\gll pat'imat-ini urši-li-ze \textbf{d-aq-ib} d-ix-es heš-di karawatu-ne caj-li quli. | \gls Patimat-ERG boy-OBL-INTER(LAT) NPL-leave:PFV-AOR NPL-put:PFV-INF \textsc(prox)-PL bed-PL one-OBL room.IN(LAT) | \glt `Patimat let the boy carry these beds to another room.',,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Adjectival causative\label{Adjectival-causative,,,"\textsc{cl}-aq'as `do' (\ref{ex:6:24}b). In Mehweb, this is one of the rare",ex:6:24,Not found,,,,,,,,,,,,,,,,,,
,Periphrastic causativization\label{Periphrastic-causativization,Adjectival causative\label{Adjectival-causative,,,(cf.\ \ref{ex:6:24}b and \ref{ex:6:24}c).,ex:6:24,Not found,ex:6:24,Not found,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Biclausality,,,clause is headed by an infinitive (\ref{ex:6:25}).,ex:6:25,\gll anwal-li-ni rasul abaj-ze b-arx-le b-urh-es {aʔ-ib}. | \gls Anwar-OBL-ERG Rasul mother.OBL-INTER(LAT) N-be.right-CVB N-tell:PFV-INF drive:PFV-AOR | \glt `Anwar made Rasul tell mother the truth.',,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Biclausality,,,"the case of the \isi{causee}. In (\ref{ex:6:26}), two agentive participants are present.",ex:6:26,Not found,,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Biclausality,,,"absolutive argument. In (\ref{ex:6:27}), the predicate of cause agrees with the",ex:6:27,Not found,,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Types of predicates of effect,A-intransitive verbs and Р-intransitive verbs,,`run' in (\ref{ex:6:28}).,ex:6:28,Not found,,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Types of predicates of effect,A-intransitive verbs and Р-intransitive verbs,,cf.\ (\ref{ex:6:29}):,ex:6:29,Not found,,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Types of predicates of effect,Experiential verbs,,"the inter-lative case (\ref{ex:6:30}a), or with a dative with the verb",ex:6:30,Not found,,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Types of predicates of effect,Experiential verbs,,is ungrammatical (see \ref{ex:6:30}b).,ex:6:30,Not found,,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Types of predicates of effect,Transitive verbs,,the absolutive slot to the causee (\ref{ex:6:32}b). Having two ergative arguments,ex:6:32,Not found,,,,,,,,,,,,,,,,,,
,The syntax of causatives\label{The-syntax-of-causatives,Types of predicates of effect,Transitive verbs,,in one utterance is not allowed (\ref{ex:6:32}c).,ex:6:32,Not found,,,,,,,,,,,,,,,,,,
