Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"In (\ref{ex:7:2}), the DP ʡali `Ali (a man's name)' is in its unmarked form",ex:7:2,\gll ʡali w-ak'-ib. | \gls Ali(ABS) M-come:PF-AOR | \glt `Ali came.',,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"bak'es `come'. In (\ref{ex:7:3}), the same form is used to express the",ex:7:3,\gll sinka-ni ʡali uc-ib. | \gls bear-ERG Ali(ABS) (M)catch:PF-AOR | \glt `A bear seized Ali.',,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"seize'. In (\ref{ex:7:4}), however, the DP functions as the subject of the",ex:7:4,\gll ʡali-ini sinka b-aˤbʡ-ib. | \gls Ali-ERG bear(ABS) N-kill:PF-AOR | \glt `Ali killed a bear.',,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"wh-pronouns), cf.\ (\ref{ex:7:5}b).",ex:7:5,Not found,,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"% The ungrammaticality of (b) examples in (\ref{ex:7:5}), (\ref{ex:7:7}), (\ref{ex:7:8}) also attests to",ex:7:5,Not found,ex:7:7,Not found,ex:7:8,Not found,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,Example (\ref{ex:7:5}) shows the intransitive verb \emph{ħule \textup{\textsc{cl}}-izes} `look' with an,ex:7:5,Not found,,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"effects in reflexive binding, as shown in example (\ref{ex:7:5}c).",ex:7:5,Not found,,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,verbs are listed in (\ref{ex:7:6}).,ex:7:6,Not found,,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"in (\ref{ex:7:1}) above, depending on the particular case of the highest argument,",ex:7:1,Not found,,,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,as in (\ref{ex:7:7}a-\ref{ex:7:8}a). The reverse binding of the ergative reflexive by an,ex:7:7,Not found,ex:7:8,Not found,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"oblique or absolutive argument is impossible, as shown in (\ref{ex:7:7}b) and (\ref{ex:7:8}b).",ex:7:7,Not found,ex:7:8,Not found,,,,,,,,,,,,,,,,
,Case marking and structural prominence\label{Case-marking-and-structural-prominence,,,,"In (\ref{ex:7:14}), the plural gender marking on the verb reflects the plurality of",ex:7:14,\gll ʡali-ni unza-li-ze d-aʔ-aq-ib. | \gls Ali-ERG door-OBL-INTER(LAT) NPL-hit-LV:PF-AOR | \glt `Ali hit the door (with his fists).',,,,,,,,,,,,,,,,,,
,Verbal gender agreement\label{Verbal-gender-agreement,,,,"perfective stem, as shown in (\ref{ex:7:37}a), but lacks any such slot in its",ex:7:37,Not found,,,,,,,,,,,,,,,,,,
,Verbal gender agreement\label{Verbal-gender-agreement,,,,"imperfective stem, as in (\ref{ex:7:37}b). If a stem features gender agreement, it",ex:7:37,Not found,,,,,,,,,,,,,,,,,,
,Verbal gender agreement\label{Verbal-gender-agreement,,,,"with the default (singular neuter) marker b-, as in examples (\ref{ex:7:35})",ex:7:35,\gll rasuj-ze-la ajz-es ħa-b-urh-an. | \gls Rasul+OBL-INTER-EL (M)rise:PF-INF NEG-N-manage:IPF-HAB | \glt `Rasul cannot stand up.',,,,,,,,,,,,,,,,,,
,Verbal gender agreement\label{Verbal-gender-agreement,,,,and (\ref{ex:7:36}) above.,ex:7:36,\gll rasuj-ze-la ħa-b-uh-ub ʁarʁa aq b-aq'-as. | \gls Rasul+OBL-INTER-EL NEG-N-manage:PF-AOR stone(ABS) up N-do:PF-INF | \glt `Rasul did not manage to lift the stone.',,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,"Intransitive, transitive, and locative subject verbs in synthetic indicative forms\label{intransitive-transitive-and-locative-subject-verbs-in-synthetic-indicative-forms",,,Example (\ref{ex:7-44}) shows that second person subjects in interrogatives and,ex:7-44,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,"Intransitive, transitive, and locative subject verbs in synthetic indicative forms\label{intransitive-transitive-and-locative-subject-verbs-in-synthetic-indicative-forms",,,example (\ref{ex:7-45}) demonstrates. (For discussion of one notable exception,ex:7-45,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,"Intransitive, transitive, and locative subject verbs in synthetic indicative forms\label{intransitive-transitive-and-locative-subject-verbs-in-synthetic-indicative-forms",,,"In (\ref{ex:7-56}a), the presence of the agreement marker on the verb indicates",ex:7-56,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,"Intransitive, transitive, and locative subject verbs in synthetic indicative forms\label{intransitive-transitive-and-locative-subject-verbs-in-synthetic-indicative-forms",,,use of the labile verb. The absence of agreement in (\ref{ex:7-56}b) can only,ex:7-56,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Dative subject verbs\label{dative-subject-verbs,,,"trigger person agreement either, as shown in examples (\ref{ex:7-64}) to (\ref{ex:7-67}).",ex:7-64,Not found,ex:7-67,Not found,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Dative subject verbs\label{dative-subject-verbs,,,"``illusionary seeing'', as in dreams or hallucinations, as in (\ref{ex:7-69}).",ex:7-69,\gll rasuj-s tamaša-l si-k'al-t haraq'e d-ik'-uwe le-r. | \gls Rasul+OBL-DAT surprising-ATR what-INDEF-PL forward NPL-come:IPF-CVB.IPFV AUX-NPL | \glt `Rasul sees something bizarre.' (lit.\ `Something bizarre is coming,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Agreement in the Present Progressive\label{agreement-in-the-present-progressive,,,"transitive clauses with third person direct objects, such as (\ref{ex:7-73}a),",ex:7-73,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Agreement in the Present Progressive\label{agreement-in-the-present-progressive,,,"agreement in examples like (\ref{ex:7-73}a), tend to rephrase the ergative",ex:7-73,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Agreement in the Present Progressive\label{agreement-in-the-present-progressive,,,construction of (\ref{ex:7-73}a) into the corresponding biabsolutive,ex:7-73,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Agreement in the Present Progressive\label{agreement-in-the-present-progressive,,,"definitely rejected by all speakers, see (\ref{ex:7-74}a).}",ex:7-74,Not found,,,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Agreement in the Present Progressive\label{agreement-in-the-present-progressive,,,Examples (\ref{ex:7-73}a) and (\ref{ex:7-74}a) show that agreement with first person subjects,ex:7-73,Not found,ex:7-74,Not found,,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Matrix infinitival questions\label{matrix-infinitival-questions,,,"Examples like (\ref{ex:7-77}) and (\ref{ex:7-78}) are remarkable in two respects. First, they",ex:7-77,\gll nu-ni ħad sija g-iša? | \gls I-ERG you.sg(DAT) what(ABS) give:PF-FUT.EGO+Q | \glt `What should I give you?' (not: `What will I give you?'),ex:7-78,\gll nu uˤq'-iša? | \gls I(ABS) (M)go:PF-FUT.EGO+Q | \glt `Should I go?' (not: `Will I go?'),,,,,,,,,,,,,,,,
,Verbal person agreement\label{Verbal-person-agreement,Matrix infinitival questions\label{matrix-infinitival-questions,,,"Second, the modal interpretation of the questions in (\ref{ex:7-77}) and (\ref{ex:7-78}) only",ex:7-77,\gll nu-ni ħad sija g-iša? | \gls I-ERG you.sg(DAT) what(ABS) give:PF-FUT.EGO+Q | \glt `What should I give you?' (not: `What will I give you?'),ex:7-78,\gll nu uˤq'-iša? | \gls I(ABS) (M)go:PF-FUT.EGO+Q | \glt `Should I go?' (not: `Will I go?'),,,,,,,,,,,,,,,,
