Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Defining the terms\label{defining-the-terms,Converb,,,"valencies''. In an example of a canonical converb provided by Nedjalkov (\ref{ex:8:1}), the",ex:8:1,Not found,,,,,,,,,,,,,,,,,,
,Defining the terms\label{defining-the-terms,Specialized converbs\label{specialized-converbs,,,matrix and converbal clauses. The Lezgian sentences (\ref{ex:8:2}) and (\ref{ex:8:3}) taken,ex:8:2,"\gll am ajwandi-k gazet k'el-iz aq̃waz-nawa.} | \gls he:ABS balcony-SBESS [newspaper read-CVB] stand-PRF | \glt `He is standing on the balcony, reading a newspaper.'",ex:8:3,\gll dide annidi ǧülü-z fi-daldi muallimwil-e k'walax-na.} | \gls mother Anni(ERG) [husband-DAT go-PSTR] teachership-INESS work-AOR | \glt `My mother Anni worked as a teacher until she got married.',,,,,,,,,,,,,,,,
,Defining the terms\label{defining-the-terms,Problems in defining specialized converbs\label{problems-in-defining-specialized-converbs,,,"clauses, such as wak'ibičela in example (\ref{ex:8:4}), to be",ex:8:4,"\gll ʡaˤχul w-ak'-ib-i-če-la ur-uwe le-r.} | \gls guest M-come:PFV-AOR-PTCP-SUPER-EL rain:IPFV-CVB.IPFV AUX-NPL | \glt `From the moment the guest arrived, it was raining.'",,,,,,,,,,,,,,,,,,
,Defining the terms\label{defining-the-terms,Problems in defining specialized converbs\label{problems-in-defining-specialized-converbs,,,"berχʷrilizela in example (\ref{ex:8:5}), as specialized converbs.",ex:8:5,"\gll šahal-li-če b-uħna b-erχʷ-ri-li-ze-la d-iq'-es d-aʔ-ib zab.} | \gls town-OBL-SUPER(LAT) HPL-inside(LAT) HPL-enter:PFV-NMLZ-OBL-INTER-EL NPL-do:IPFV-INF NPL-begin:PFV-AOR rain | \glt `As soon as they entered the town, it started raining.'",,,,,,,,,,,,,,,,,,
,Specialized converbs in Mehweb\label{specialized-converbs-in-mehweb,Temporal converbs,Simultaneous converb,,Note however that not all speakers accepted (\ref{ex:8:16}).,ex:8:16,"\gll predloženije b-elč'-un-ijadal, perewod b-aq'-ib.} | \gls sentence N-read:PFV-AOR-SMLT translation N-do:PFV-AOR | \glt `As soon as (s)he read the sentence, (s)he translated it.'",,,,,,,,,,,,,,,,,,
,Specialized converbs in Mehweb\label{specialized-converbs-in-mehweb,Temporal converbs,Posterior converb,,"either a, as in (\ref{ex:8:19})\pagebreak[3] or e, as in (\ref{ex:8:17}), (\ref{ex:8:18}) and (\ref{ex:8:20}).",ex:8:19,\gll iχ-di šahal-li-ze b-ak'-ače iχ-di-li-ze hun-ħe-di d-aq-il si-k'al gu-b} | \gls this-PL town-OBL-INTER(LAT) HPL-come:PFV-PSTR this-PL-OBL-INTER(LAT) road-IN-TRANS NPL-much-ATR what-PTCL see-AOR | \glt `They saw a lot before they entered the town.',ex:8:17,"\gll zab, iχ-di šahal-li-ħe b-erχʷ-eče, d-aʔ-ib d-iq'-es} | \gls rain this-PL town-OBL-IN(LAT) HPL-enter:PFV-PSTR NPL-begin:PFV-AOR NPL-do:IPFV-INF | \glt `It started raining before they entered the town'",ex:8:18,\gll iχ-di-li-ni karawat b-aq'-ib hil-b-ix-eče} | \gls this-PL-OBL-ERG bed HPL-do:PFV-AOR PV-HPL-lie.down:PFV-PSTR | \glt `They made the bed before going to bed',ex:8:20,"\gll luk'-eče, nuša-jni deč' b-aq'-i-ra} | \gls write:IPFV-PSTR we-ERG song N-do:PFV-AOR-EGO | \glt `Before writing, we sang a song.'",,,,,,,,,,,,
,Specialized converbs in Mehweb\label{specialized-converbs-in-mehweb,Conditional and counterfactual converbs,Hypothetical conditional converb,,"In example (\ref{ex:8:23}), the main clause and the converb clause share",ex:8:23,"\gll anwar} {w-ak'-i-le} {w-arg-a-k'a,} {abaj-šu} {uˤq'-es-i}. | \gls Anwar M-come:PFV-AOR-CVB M-find:PFV-IRR-COND mother-AD(LAT) M.go:PFV-INF-ATR | \glt `If Anwar comes, he will go to his mother.' \citep{dobrushina2019}",,,,,,,,,,,,,,,,,,
,Specialized converbs in Mehweb\label{specialized-converbs-in-mehweb,Conditional and counterfactual converbs,Hypothetical conditional converb,,This conditional use of `find' in (\ref{ex:8:23}) is discussed in \citet{maisak-daniel2018}.,ex:8:23,"\gll anwar} {w-ak'-i-le} {w-arg-a-k'a,} {abaj-šu} {uˤq'-es-i}. | \gls Anwar M-come:PFV-AOR-CVB M-find:PFV-IRR-COND mother-AD(LAT) M.go:PFV-INF-ATR | \glt `If Anwar comes, he will go to his mother.' \citep{dobrushina2019}",,,,,,,,,,,,,,,,,,
,Specialized converbs in Mehweb\label{specialized-converbs-in-mehweb,Conditional and counterfactual converbs,Hypothetical conditional converb,,Example (\ref{ex:8:24}) shows the same converb formed from the,ex:8:24,"\gll d-aq-il} {kung-ane} {luč'-a-k'a,} {d-aq-il} {si-k'al} {nuša-ze} {d-alh-ul}. | \gls NPL-much-ATR book-PL read:IPFV-IRR-COND NPL-much-ATR what-INDEF we-INTER(LAT) NPL-know:IPFV-PTCP | \glt `If we read many books, we will know many things\textbf{.'}",,,,,,,,,,,,,,,,,,
,Specialized converbs in Mehweb\label{specialized-converbs-in-mehweb,Conditional and counterfactual converbs,Counterfactual converb,,"happen). It attaches to the perfective stem (\ref{ex:8:25}, 26) or to the imperfective",ex:8:25,Not found,,,,,,,,,,,,,,,,,,
