Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Perfective and imperfective converbs: background information\label{perfective-and-imperfective-converbs,,,,"In sentence (\ref{ex:9:1}), a perfective converb is combined with a finite verb in",ex:9:1,"\gll deč'꞊ra b-aq'-i-le musa w-aˤq'-un quli.} | \gls song꞊ADD N-do:PFV-AOR-CVB Musa M-go:PFV-AOR house(LAT) | \glt `Having sung a song, Musa went home.'",,,,,,,,,,,,,,,,,,
,Perfective and imperfective converbs: background information\label{perfective-and-imperfective-converbs,,,,"the aorist, in (\ref{ex:9:2}) an imperfective converb is combined with a verb in",ex:9:2,"\gll deč'꞊ra b-iq'-uwe musa w-aˤq'-un quli.} | \gls song꞊ADD N-do:IPFV-CVB.IPFV Musa M-go:PFV-AOR house(LAT) | \glt `Singing a song, Musa went home.'",,,,,,,,,,,,,,,,,,
,Perfective and imperfective converbs: background information\label{perfective-and-imperfective-converbs,,,,"the aorist, in (\ref{ex:9:3}) a perfective converb is combined with a verb in the present",ex:9:3,"\gll deč'꞊ra b-aq'-i-le musa ʡaˤr-q'-uwe le-w quli.} | \gls song꞊ADD N-do:PFV-AOR-CVB Musa away-go:IPFV-CVB.IPFV AUX-M house(LAT) | \glt `Having sung a song, Musa is going home.'",,,,,,,,,,,,,,,,,,
,Perfective and imperfective converbs: background information\label{perfective-and-imperfective-converbs,,,,"tense, and in (\ref{ex:9:4}) an imperfective converb is combined with a verb in the",ex:9:4,"\gll deč'꞊ra b-iq'-uwe musa ʡaˤr-q'-uwe le-w quli.} | \gls song꞊ADD N-do:IPFV-CVB.IPFV Musa away-go:IPFV-CVB.IPFV AUX-M house(LAT) | \glt `Singing a song, Musa is going home.'",,,,,,,,,,,,,,,,,,
,Periphrastic converbs\label{periphrastic-converbs,,,,"Speakers also allow sentences like (\ref{ex:9:7}) and (\ref{ex:9:8}), where the copula in",ex:9:7,"\gll jaˤbu b-ic-es le-b-le maˤʜmud-ini χʷe as-ib.} | \gls horse N-sell:PFV-INF AUX-N-CVB mahmud-ERG dog take:PFV-AOR | \glt `Going to sell a horse, Mahmud bought a dog.'",ex:9:8,"\gll jaˤbu b-ilc-es le-b-le maˤʜmud le-w w-is-uwe.} | \gls horse N-sell:IPFV-INF AUX-N-CVB mahmud AUX-M M-weep-CVB | \glt `Going to sell a horse, Mahmud is crying.'",,,,,,,,,,,,,,,,
,Independent use\label{independent-use,,,,"semantics, as in (\ref{ex:9:9}).",ex:9:9,Not found,,,,,,,,,,,,,,,,,,
,Independent use\label{independent-use,,,,i.e.\ sentences (\ref{ex:9:10}) and (\ref{ex:9:11}) have the same meaning.,ex:9:10,\gll urši-ni diʔ b-uk-uwe.} | \gls boy-ERG meat N-eat:IPFV-CVB.IPFV | \glt `A boy eats meat.',ex:9:11,\gll urši-ni diʔ b-uk-an.} | \gls boy-ERG meat N-eat:IPFV-HAB | \glt `A boy eats meat.',,,,,,,,,,,,,,,,
,Argument sharing\label{argument-sharing,,,,"expressed (the main or the converb clause), are interpretable, cf.\ (\ref{ex:9:12}) and~(\ref{ex:9:13}).",ex:9:12,"\gll musa w-ak'-i-le rasuj-če b-aˤq-ib.} | \gls Musa M-come:PFV-AOR-CVB Rasul-SUPER(LAT) N-hit:PFV-AOR | \glt `When Musa came, (he) hit Rasul.'~\footnote{The verb ꞊aqˤas",ex:9:13,"\gll dag χʷe har-b-uq-uwe išbari ʡaˤš-b-aˤq-ib.} | \gls yesterday dog PV-N-flee:PFV-AOR.CVB today back-N-come:PFV-AOR | \glt `Yesterday the dog ran away, today (it) returned.' (Two intransitive",,,,,,,,,,,,,,,,
,Argument sharing\label{argument-sharing,,,,"In example (\ref{ex:9:12}), the fact that the shared argument is expressed in the",ex:9:12,"\gll musa w-ak'-i-le rasuj-če b-aˤq-ib.} | \gls Musa M-come:PFV-AOR-CVB Rasul-SUPER(LAT) N-hit:PFV-AOR | \glt `When Musa came, (he) hit Rasul.'~\footnote{The verb ꞊aqˤas",,,,,,,,,,,,,,,,,,
,Argument sharing\label{argument-sharing,,,,"As for (\ref{ex:9:13}), the same fact can be established on the basis of word order.",ex:9:13,"\gll dag χʷe har-b-uq-uwe išbari ʡaˤš-b-aˤq-ib.} | \gls yesterday dog PV-N-flee:PFV-AOR.CVB today back-N-come:PFV-AOR | \glt `Yesterday the dog ran away, today (it) returned.' (Two intransitive",,,,,,,,,,,,,,,,,,
