Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,"position of P as in (\ref{ex:10:3}) and (\ref{ex:10:6}), the indirect object position as in (\ref{ex:10:4}),",ex:10:3,\gll rasuj-ni sa‹w›i-jal w-it-ib. | \gls Rasul.OBL-ERG ‹M›self-EMPH M-beat:PFV-AOR | \glt `Rasul\textsubscript{i} beat himself\textsubscript{i}.',ex:10:6,\gll rasuj-ze sa‹w›i-jal daˤʜmic'aj-ħe-w gu-b. | \gls Rasul.OBL-INTER(LAT) ‹M›self-EMPH mirror-IN-M(ESS) see:PFV-AOR | \glt `Rasul\textsubscript{i} saw himself\textsubscript{i} in the mirror.',ex:10:4,\gll rasul sune-če-l ħule w-iz-ur. | \gls Rasul self.OBL-SUPER(LAT)-EMPH look M-LV:PFV-AOR | \glt `Rasul\textsubscript{i} looked at himself\textsubscript{i}.',,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,"or it can fulfill the role of adjunct (\ref{ex:10:5}). The antecedent, however, has",ex:10:5,\gll rasul sune-če-w-al duč'i-rq'-uwe le-w. | \gls Rasul self.OBL-SUPER-M(ESS)-EMPH laugh-LV:IPFV-CVB.IPFV AUX-M | \glt `Rasul\textsubscript{i} laughed at himself\textsubscript{i}.',,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,to be the subject (cf. infelicitous (\ref{ex:10:7})). This means it requires,ex:10:7,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,"predicates (cf. examples (\ref{ex:10:3}), (\ref{ex:10:4}) and (\ref{ex:10:6})). Within the local domain, the",ex:10:3,\gll rasuj-ni sa‹w›i-jal w-it-ib. | \gls Rasul.OBL-ERG ‹M›self-EMPH M-beat:PFV-AOR | \glt `Rasul\textsubscript{i} beat himself\textsubscript{i}.',ex:10:4,\gll rasul sune-če-l ħule w-iz-ur. | \gls Rasul self.OBL-SUPER(LAT)-EMPH look M-LV:PFV-AOR | \glt `Rasul\textsubscript{i} looked at himself\textsubscript{i}.',ex:10:6,\gll rasuj-ze sa‹w›i-jal daˤʜmic'aj-ħe-w gu-b. | \gls Rasul.OBL-INTER(LAT) ‹M›self-EMPH mirror-IN-M(ESS) see:PFV-AOR | \glt `Rasul\textsubscript{i} saw himself\textsubscript{i} in the mirror.',,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,as having logophoric meaning (compare (\ref{ex:10:3}) and (\ref{ex:10:8})).,ex:10:3,\gll rasuj-ni sa‹w›i-jal w-it-ib. | \gls Rasul.OBL-ERG ‹M›self-EMPH M-beat:PFV-AOR | \glt `Rasul\textsubscript{i} beat himself\textsubscript{i}.',ex:10:8,Not found,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,(\ref{ex:10:9}).,ex:10:9,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,"pronoun cannot be bound within the subordinate clause (\ref{ex:10:11}), while the",ex:10:11,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,complex pronoun has to be bound within it (\ref{ex:10:12}).,ex:10:12,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,In example (\ref{ex:10:12}) the antecedent of the reflexive is within the local,ex:10:12,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Local domain,,,"domain, whereas in (\ref{ex:10:11}) it is located in the distant domain (the latter",ex:10:11,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Possessive domain\label{possessive-domain,,,in (\ref{ex:10:13}).,ex:10:13,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Possessive domain\label{possessive-domain,,,Examples (\ref{ex:10:14}) to (\ref{ex:10:17}) prove that in natural texts the bare pronoun is,ex:10:14,\gll sune-la xunul quli-r r-aq'-a. | \gls self.OBL-GEN woman house-F(ESS) F-leave:PFV-IMP | \glt `Leave your wife at home.',ex:10:17,\gll habala-habal sune-la-l ħalmic'ir-t d-aχ-un. | \gls start-start self.OBL-GEN-EMPH animal-PL NPL-feed:PFV-AOR | \glt `First he\textsubscript{i} fed all his\textsubscript{i} animals.',,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Possessive domain\label{possessive-domain,,,genitive. The majority consider (\ref{ex:10:13}a) and (\ref{ex:10:13}b) to have the same meaning,ex:10:13,Not found,ex:10:13,Not found,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Possessive domain\label{possessive-domain,,,"discussion see \sectref{discourse-usage}), i.e.\ (\ref{ex:10:13}a) can be translated as `He is living",ex:10:13,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Distant domain\label{distant-domain,,,domain requires using the bare pronoun (see (\ref{ex:10:18})).,ex:10:18,Not found,,,,,,,,,,,,,,,,,,
,Logophoric and reflexive contexts\label{logophoric-and-reflexive-contexts,Distant domain\label{distant-domain,Finite subordinate clauses,,contexts such as (\ref{ex:10:20}) as semi-direct speech. In semi-direct speech ``quoted,ex:10:20,\gll adaj-ni ib sune-ze žanawar gu-b-ra (ile). | \gls father-ERG say:PFV.AOR self.OBL-INTER(LAT) wolf see:PFV-AOR-EGO say:PFV.CVB | \glt `Father\textsubscript{i} said he\textsubscript{i} saw a wolf.',,,,,,,,,,,,,,,,,,
