Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,East Caucasian relative clauses\label{east-caucasian-relative-clauses,,,,(\ref{ex:11:3}):\footnote{The presence of the \isi{attributive suffix} on the predicate of,ex:11:3,Not found,,,,,,,,,,,,,,,,,,
,East Caucasian relative clauses\label{east-caucasian-relative-clauses,,,,"the relative clause in (\ref{ex:11:3}), which at first glance makes it different",ex:11:3,Not found,,,,,,,,,,,,,,,,,,
,East Caucasian relative clauses\label{east-caucasian-relative-clauses,,,,It is impossible to describe (\ref{ex:11:3}) as a result of any syntactic operation,ex:11:3,Not found,,,,,,,,,,,,,,,,,,
,East Caucasian relative clauses\label{east-caucasian-relative-clauses,,,,"expressed within a relative clause by a \isi{reflexive pronoun}, as in (\ref{ex:11:4}).",ex:11:4,\gll du \textup(sun-ni-šːu\textup) qʼʷ-aˤn-se qali | \gls I self-OBL-AD(LAT) go:IPFV-PRS-ATR house | \glt `the house where I am going',,,,,,,,,,,,,,,,,,
,East Caucasian relative clauses\label{east-caucasian-relative-clauses,,,,"NPAH, such as those of the intransitive subject (\ref{ex:11:5}), transitive actor",ex:11:5,\gll \(sa‹r›i\) dam-šːu r-ačʼ-ib rursːi | \gls self‹F› I.OBL-AD(LAT) F-come:PFV-AOR girl | \glt `the girl that came to me',,,,,,,,,,,,,,,,,,
,East Caucasian relative clauses\label{east-caucasian-relative-clauses,,,,(\ref{ex:11:6}) and transitive undergoer (\ref{ex:11:7}). Cf.\ the following \ili{Tanti Dargwa},ex:11:6,\gll \(sun-ni\) čutːu b-erkː-un umra | \gls self-ERG chudu N-eat:PFV-AOR neighbour | \glt `the neighbour who ate chudu',ex:11:7,\gll \(sa‹b›i\) umra-li b-erkː-un čutːu | \gls self‹N› neighbour-ERG N-eat:PFV-AOR chudu | \glt `the chudu (a kind of pie) that the neigbor ate',,,,,,,,,,,,,,,,
,East Caucasian relative clauses\label{east-caucasian-relative-clauses,,,,markedness of such uses as (\ref{ex:11:5}–\ref{ex:11:7}) in East Caucasian languages.},ex:11:5,\gll \(sa‹r›i\) dam-šːu r-ačʼ-ib rursːi | \gls self‹F› I.OBL-AD(LAT) F-come:PFV-AOR girl | \glt `the girl that came to me',ex:11:7,\gll \(sa‹b›i\) umra-li b-erkː-un čutːu | \gls self‹N› neighbour-ERG N-eat:PFV-AOR chudu | \glt `the chudu (a kind of pie) that the neigbor ate',,,,,,,,,,,,,,,,
,Relatives in Mehweb: first glance\label{relatives-in-mehweb,,,,examples of RCCs are given in (\ref{ex:11:8}–\ref{ex:11:9}):,ex:11:8,\gll naˤʁ iz-u-l insan | \gls hand hurt:IPFV-PRS-ATR person | \glt `a person whose hand hurts',ex:11:9,\gll nu q'-oˤwe d-uʔ-ub-i huni | \gls I go:IPFV-CVB.IPFV F1-be:PFV-AOR-ATR road | \glt `the road I was going with',,,,,,,,,,,,,,,,
,Relatives in Mehweb: first glance\label{relatives-in-mehweb,,,,"have RCCs where the attributive suffix is added to the \isi{copula}/existential verb, as in (\ref{ex:11:10}–\ref{ex:11:11}):",ex:11:10,\gll kʷiha b-erh-u-we le-w-i adami-li-ze nu g-ub. | \gls ram N-slaughter:PFV-PRS-CVB AUX-M-ATR man-OBL-INTER(LAT) I see:PFV-AOR | \glt `The man who had slaughtered a ram saw me.'\footnote{The example is,ex:11:11,\gll qali le-b-i dursi d-ak'-ib. | \gls house {be}-N-ATR girl F1-come:PFV-AOR | \glt `The girl who has her own house came.',,,,,,,,,,,,,,,,
,Relatives in Mehweb: first glance\label{relatives-in-mehweb,,,,resumptive\is{resumptive pronoun} are given below. In (\ref{ex:11:13}) it appears in the indirect object,ex:11:13,\gll nu-ni ču-s kung gib-i ule b-aˤq'-un uškuj-ħe. | \gls I-ERG self.PL.OBL-DAT book give:PFV-ATR child.PL HPL-go:PFV-AOR school.OBL-IN(LAT) | \glt `The children to whom I gave a book went to school.',,,,,,,,,,,,,,,,,,
,Relatives in Mehweb: first glance\label{relatives-in-mehweb,,,,"position, in (\ref{ex:11:14}) it serves as the possessor of the intransitive",ex:11:14,\gll sune-la kʷač' b-oˤrʡ-aq-ib-i gatu. | \gls self.OBL-GEN leg N-break:PFV-CAUS-AOR-ATR cat | \glt `the cat whose leg broke',,,,,,,,,,,,,,,,,,
,Relatives in Mehweb: first glance\label{relatives-in-mehweb,,,,"subject, and in (\ref{ex:11:15}) it refers to the experiencer with the experiential",ex:11:15,\gll šejtan ču-ze g-ub-i buk'unu-me uruχ b-aˤq-ib. | \gls demon self.PL.OBL-INTER(LAT) see:PFV-AOR-ATR shepherd-PL be.afraid HPL-LV:PFV-AOR | \glt `The shepherds who saw a demon were scared.',,,,,,,,,,,,,,,,,,
,Syntactic orientedness\label{syntactic-orientedness,Resumptives at the top of NPAH,,,of the resumptive in (\ref{ex:11:16}) infelicitous allows the pronoun followed by,ex:11:16,Not found,,,,,,,,,,,,,,,,,,
,Syntactic orientedness\label{syntactic-orientedness,Resumptives at the top of NPAH,,,the intransitive subject (\ref{ex:11:18}) and transitive actor (\ref{ex:11:19}):,ex:11:18,\gll sa‹b›i dupi-če-b b-urh-u-we b-uʔ-ub-i ule quli ʡaˤr-b-aˤq'-un. | \gls self‹HPL› ball-SUPER-HPL(ESS) HPL-play:IPFV-PRS-CVB HPL-be:PFV-AOR-ATR child.PL home.IN(LAT) away-HPL-go:PFV-AOR | \glt `The children who played with the ball went home.',ex:11:19,\gll ʜaˤnči ču-ni b-aq'-ib-i xuhe ʡaˤr-b-aˤq'-un quli. | \gls work self.OBL.PL-ERG N-do:PFV-AOR-ATR woman.PL away-HPL-go:PFV-AOR house.IN(LAT) | \glt `The women who did all their work went home.',,,,,,,,,,,,,,,,
,Syntactic orientedness\label{syntactic-orientedness,Coordinate structure constraint,,,"constraints, namely the coordinate structure constraint. (\ref{ex:11:20}a)",ex:11:20,Not found,,,,,,,,,,,,,,,,,,
,Syntactic orientedness\label{syntactic-orientedness,Coordinate structure constraint,,,clitic ꞊ra. (\ref{ex:11:20}b) demonstrates an unsuccessful attempt at,ex:11:20,Not found,,,,,,,,,,,,,,,,,,
,Syntactic orientedness\label{syntactic-orientedness,Coordinate structure constraint,,,"constraint does not apply (cf.\ (\ref{ex:11:2}) above), and again suggests that",ex:11:2,Not found,,,,,,,,,,,,,,,,,,
