Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Introduction,,,,clause (\ref{ex:12:1}) and in an equative clause (\ref{ex:12:2}):,ex:12:1,\gll ʔudidi-li ħark'ʷ-li ar-χ-uwe \textbf{gʷa}! | \gls under.EL-ATR river-ERG away-bring:IPFV-CVB.IPFV ASRT | \glt `The river carries away the one who is downstream!' (Molla Rasbaddin,ex:12:2,\gll hel čudu \textbf{gʷa} di-la. | \gls this chudu ASRT I.OBL-GEN | \glt `This chudu (a kind of pie) is mine.',,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,꞊jan in a non-verbal predication (\ref{ex:12:3}) and in verbal predications,ex:12:3,\gll jan꞊al tːe χalg-aun mand-i χalg꞊\textbf{jan}. | \gls we꞊ADD that nation-ABL remain-AOR(PTCP) nation꞊1PL | \glt `We are the nation that continues (lit.\ remains from) that nation.',,,,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,(\ref{ex:12:4}–\ref{ex:12:5}):\footnote{The Udi examples are from the corpus of text in the,ex:12:4,\gll me äš-urχo lap mat mand-e꞊\textbf{jan}. | \gls this affair-PL(DAT) very surprised remain-PRF꞊1PL | \glt `We really remained surprised at these facts.',ex:12:5,"\gll pajiz-e dirij-a꞊\textbf{jan} kašˤ-e. | \gls autumn-DAT vegetable.garden-DAT꞊1PL dig-LV:PRS | \glt `In autumn, we dig in the vegetable garden.'",,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,Note that predicative markers attach not only to the lexical predicate (\ref{ex:12:4}),ex:12:4,\gll me äš-urχo lap mat mand-e꞊\textbf{jan}. | \gls this affair-PL(DAT) very surprised remain-PRF꞊1PL | \glt `We really remained surprised at these facts.',,,,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,but also to the focused\is{focus} element (\ref{ex:12:5}). This can be viewed as a kind of,ex:12:5,"\gll pajiz-e dirij-a꞊\textbf{jan} kašˤ-e. | \gls autumn-DAT vegetable.garden-DAT꞊1PL dig-LV:PRS | \glt `In autumn, we dig in the vegetable garden.'",,,,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,"predications is shown in (\ref{ex:12:6}–\ref{ex:12:7}), while its use in verbal predications",ex:12:6,"\gll ʁača ħa-la aħin, di-la \textbf{le-b}. | \gls calf you.sg.OBL-GEN {be}:NEG I.OBL-GEN {be}-N | \glt `The calf is not yours, (it) is mine.' (A blind judge: 1.11)",ex:12:7,"\gll arci-ze-b \textbf{le-b-re} ħa-la daˤʜ-la surat. | \gls money-INTER-N(ESS) {be}-N-PST you.sg.OBL-GEN face-GEN picture | \glt `On the coin (lit., money), there was a picture of your face.' (The",,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,is illustrated in (\ref{ex:12:8}–\ref{ex:12:9}).,ex:12:8,\gll xunuj-s ruzi ħa-d-ig-es d-aʔ-i-le \textbf{le-r}. | \gls wife.OBL-DAT sister NEG-F1-love:IPFV-INF F1-start:PFV-AOR-CVB \rlap{AUX-F} | \glt `The wife disliked (her husband's) sister.' (A brother and sister: 1.6),ex:12:9,"\gll wallahi, k'as \textbf{le-b} q'-oˤwe | \gls Allah big.fish AUX-N go:IPFV-CVB.IPFV | \glt `My God, a whale is going (here).' (Two sons: 1.65)",,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,clauses that contain finite verb forms (\ref{ex:12:10}):,ex:12:10,Not found,,,,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,"Second, the assertive marker cannot combine with a copula (\ref{ex:12:11}a–b),",ex:12:11,Not found,,,,,,,,,,,,,,,,,,
,The assertive marker as a copula\label{the-assertive-marker-as-a-copula,,,,"unless the latter does not appear in a non-finite form, as in (\ref{ex:12:11}c). If",ex:12:11,Not found,,,,,,,,,,,,,,,,,,
