Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Complement clauses\label{sec:12.1,Dependent and nominalised verb complement clauses\label{sec:12.1.1,,,"with constructions that represent a finished, accomplished event,\footnote{The situation refers to something that occurred in the past with ongoing effects to the point of reference.} e.g., the nominalised form is found as a complement of ndav ‘finish,’ (\ref{ex:12:1}, see \sectref{sec:7.6}). In contrast, the dependent form is found in constructions that refer to an event that is incomplete or unachieved at the time of the matrix situation, e.g., the dependent form is found as a complement of the verb of inception %%\is{Tense, mood, and aspect!Inception}",ex:12:1,\gsrc [Nəndavalay [\textbf{məwəce}]]. | \gll [nə-ndav=alaj [Ø \textbf{mu-wutʃ-ɛ}]] | \gls oneS-finish=away {  NOM-write-CL | \glt ‘I finish writing.’,,,,,,,,,,,,,,,,,,
,Complement clauses\label{sec:12.1,Dependent and nominalised verb complement clauses\label{sec:12.1.1,,,"zlan ‘begin’ as in (\ref{ex:12:7}) (see also \sectref{sec:7.7}). In the examples, the subject of the complement clause is indicated by Ø when it is the same as the subject of the matrix clause. The clauses are delimited by square brackets and the verb is bolded.",ex:12:7,Not found,,,,,,,,,,,,,,,,,,
,Complement clauses\label{sec:12.1,Dependent and nominalised verb complement clauses\label{sec:12.1.1,,,In \REF{ex:12:1} the nominalised form is the direct object of the matrix verb ndav ‘finish.’,ex:12:1,\gsrc [Nəndavalay [\textbf{məwəce}]]. | \gll [nə-ndav=alaj [Ø \textbf{mu-wutʃ-ɛ}]] | \gls oneS-finish=away {  NOM-write-CL | \glt ‘I finish writing.’,,,,,,,,,,,,,,,,,,
,Complement clauses\label{sec:12.1,Dependent and nominalised verb complement clauses\label{sec:12.1.1,,,"A clause with the nominalised form can function as an argument of another verb. It is the subject in \REF{ex:12:2} and the direct object in (\ref{ex:12:3}--\ref{ex:12:6}). In each case, the nominalised form indicates that the event expressed by the verb is completed.",ex:12:2,"\gsrc [[\textbf{M}ə\textbf{mbəɗe} ahan na], asaw]. | \gll [[\textbf{mɪ-mbɪɗ-ɛ}=ahaŋ na] a-s=aw] | \gls NOM-remain-CL=3S.POSS PSP 3S-please=oneS.IO | \glt ‘I want the leftovers.’ (lit. its remains pleases me)",ex:12:3,\gsrc [Bahay amakay [\textbf{məzəme} sese]]. | \gll [bahaj à-mak-aj [Ø \textbf{mɪ-ʒʊm-ɛ} ʃɛʃɛ]] | \gls chief 3S+PFV-leave-CL {  NOM-eat-CL meat | \glt ‘The chief stopped eating meat.’ (lit. the chief left the eating of meat),ex:12:6,Not found,,,,,,,,,,,,,,
,Complement clauses\label{sec:12.1,Dependent and nominalised verb complement clauses\label{sec:12.1.1,,,"In contrast, the dependent form is found in clauses where the event is incomplete or unachieved idea at the time of the matrix situation, e.g., the verb of inception zlan ‘begin’ (\ref{ex:12:7} and \ref{ex:12:8}) (see also \sectref{sec:7.7}) and sark habitually (\ref{ex:12:9}--\ref{ex:12:10}). The writing hasn’t started in \REF{ex:12:7}; the referent isn’t necessarily eating at the moment of \REF{ex:12:9}; the fight was just beginning at the time of \REF{ex:12:8}. In each case, the dependent form is the direct object of the matrix clause.",ex:12:7,Not found,ex:12:8,Not found,ex:12:9,Not found,ex:12:10,Not found,ex:12:7,Not found,ex:12:9,Not found,ex:12:8,Not found,,,,,,
,Complement clauses\label{sec:12.1,Dependent and nominalised verb complement clauses\label{sec:12.1.1,,,"Dependent clauses are also found in complement clauses for verbs of desire. For example, the complement clause for the verb s ‘please’ in (\ref{ex:12:11}--\ref{ex:12:13}) expresses the unrealised object of the desire. Note that the subject of the complement clause (Ø) has the same referent as the indirect object of the matrix clause (=aw ‘to me’) in (\ref{ex:12:11}).\footnote{Compare with \REF{ex:12:22} in \sectref{sec:12.1.2} where the subject of the complement clause is different and must be specified in the clause.}",ex:12:11,Not found,ex:12:13,Not found,ex:12:11,Not found,ex:12:22,"\gsrc Asaw na, [bahay \textbf{mapaɗay} sese]. | \gll a-s=aw na [bahaj \textbf{mà-paɗ-aj} ʃɛʃɛ] | \gls 3S-please=oneS.IO PSP chief 3S+HOR-crunch-CL meat | \glt ‘I want the chief to eat meat.’ (lit. that the chief should eat meat pleases me).",,,,,,,,,,,,
,Complement clauses\label{sec:12.1,Finite complement clauses\label{sec:12.1.2,,,"Finite complement clauses are used with verbs that express propositional attitude, with verbs of speech, and with verbs of desire. The complement clause is the direct object of verbs expressing propositional attitude: ‘know’ \REF{ex:12:14}, ‘think’ \REF{ex:12:15}, ‘believe’ \REF{ex:12:16}, ‘doubt’ \REF{ex:12:17}, ‘forget’ \REF{ex:12:18}, and ‘worry’ \REF{ex:12:19}. Many of the examples in this section are elicited and therefore the first clause is followed by the presupposition marker na (\sectref{sec:11.1}). This marker indicates that the first clause contains presupposed (mutually known) information (in this case, the presupposition was established by the elicitation question).",ex:12:14,Not found,ex:12:15,"\gsrc [Nəɗəgalay na, [bahay \textbf{apaɗəva} sese]]. | \gll [nə-ɗəgal-aj na [bahaj \textbf{à-paɗə}\textbf{=va} ʃɛʃɛ]] | \gls oneS-think-CL PSP chief 3S+PFV-crunch=PRF meat | \glt ‘I think [that] the chief ate meat.’",ex:12:16,"\gsrc [Nafaɗ na, [bahay \textbf{apaɗəva} sese]]. | \gll [na-faɗ na [bahaj \textbf{à-paɗə}\textbf{=va} ʃɛʃɛ]] | \gls oneS-place PSP chief 3S+PFV-crunch=PRF meat | \glt ‘I believe [that] the chief ate meat.’ (lit. I place, the chief already ate meat)",ex:12:17,"\gsrc [Nəkaɗ waya na, [bahay \textbf{apaɗəva} sese]]. | \gll [nə-kaɗ waja na [bahaj \textbf{à-paɗə}\textbf{=va} ʃɛʃɛ]] | \gls oneS-kill because PSP chief 3S+PFV-crunch=PRF meat | \glt ‘I doubt [that] the chief ate meat.’ (lit. I counsel that)",ex:12:18,\gsrc [Acəkəzlaw a har ava [bahay \textbf{apaɗəva} sese]]. | \gll [a-tʃəkəɮ=aw a har ava [bahaj \textbf{à-paɗə}\textbf{=va} ʃɛʃɛ]] | \gls 3S-forget=oneS.IO at body in chief 3S+PFV-crunch=PRF meat | \glt ‘I forgot [that] the chief ate meat.’,ex:12:19,"\gsrc [Nazlaway na, [bahay \textbf{apaɗəva} sese]]. | \gll [na-ɮaw-aj na [bahaj \textbf{à-paɗə}\textbf{=va} ʃɛʃɛ]] | \gls oneS-fear-CL PSP chief 3S+PFV-crunch=PRF meat | \glt ‘I am afraid [that] the chief ate meat.’",,,,,,,,
,Complement clauses\label{sec:12.1,Finite complement clauses\label{sec:12.1.2,,,Indirect speech is often expressed using a complement clause with a finite verb (\ref{ex:12:20}--\ref{ex:12:21}).,ex:12:20,\gsrc [Ne awəy [bahay \textbf{apaɗəva} sese]]. | \gll [nɛ awij [bahaj \textbf{à-paɗə}\textbf{=va} ʃɛʃɛ]] | \gls oneS said chief 3S+PFV-crunch=PRF meat | \glt ‘I said [that] the chief ate meat.’,ex:12:21,"\gsrc [Məloko ahay baba ahay tawəy na, | \gll [Mʊlɔkʷɔ=ahaj baba=ahaj tawij na | \gls Moloko=Pl father=Pl 3P+said PSP | \glt ‘The Moloko fathers say [that]’",,,,,,,,,,,,,,,,
,Complement clauses\label{sec:12.1,Finite complement clauses\label{sec:12.1.2,,,"Complement clauses with irrealis verbs\is{Tense, mood, and aspect!Irrealis mood} are embedded under matrix verbs of will and desire (‘wish,’ ‘want,’ ‘hope’). \REF{ex:12:22} shows a complement of the verb asaw ‘it pleases me.’ The complement shows the object of the desire expressed in the matrix clause. The complement has a different subject than the {\LOC} of the desire in the matrix clause. The verb is finite and its subject is made explicit.\footnote{Compare with \REF{ex:12:11} from \sectref{sec:12.1.1} which shows a complement with the same subject as the location of the desire in the matrix clause.}",ex:12:22,"\gsrc Asaw na, [bahay \textbf{mapaɗay} sese]. | \gll a-s=aw na [bahaj \textbf{mà-paɗ-aj} ʃɛʃɛ] | \gls 3S-please=oneS.IO PSP chief 3S+HOR-crunch-CL meat | \glt ‘I want the chief to eat meat.’ (lit. that the chief should eat meat pleases me).",ex:12:11,Not found,,,,,,,,,,,,,,,,
,Complement clauses\label{sec:12.1,Finite complement clauses\label{sec:12.1.2,,,"In \REF{ex:12:22} above, the complement clause is the subject of the main verb; in \REF{ex:12:23}, it is the indirect object.\footnote{In Moloko, the indirect object uniformly expresses the semantic {\LOC} (e.g., recipient or beneficiary, see \chapref{chap:9}). In this case, the metaphorical location of the imploring is its purpose -- where the speaker wants to go with his actions towards the chief. The semantic Theme (the chief) is being persuaded to the {\LOC} (eating meat).}",ex:12:22,"\gsrc Asaw na, [bahay \textbf{mapaɗay} sese]. | \gll a-s=aw na [bahaj \textbf{mà-paɗ-aj} ʃɛʃɛ] | \gls 3S-please=oneS.IO PSP chief 3S+HOR-crunch-CL meat | \glt ‘I want the chief to eat meat.’ (lit. that the chief should eat meat pleases me).",ex:12:23,\gsrc Nədəbakay bahay na ana [\textbf{mazom} sese]. | \gll nə-dəbak-aj bahaj na ana [\textbf{mà-zɔm} ʃɛʃɛ] | \gls oneS-implore-CL chief PSP DAT 3S+HOR-eat meat | \glt ‘I persuaded the chief to eat meat.’ (lit. I implored the chief to he should eat meat),,,,,,,,,,,,,,,,
