Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Nouns,The noun and its properties,,,,"Distributionally (i.e., syntactically) the noun functions as the head of a~noun phrase argument. Within the noun phrase, the head is placed finally, as in `man' in example (\ref{ex:4-1}), and preceding modifiers agree with the head in gender, number and case (for further details, see \chapref{chap:10}).",ex:4-1,\gll aní dúu dhríɡ-a \textbf{míiš-a} | \gls PROX two tall-MPL man-PL | \glt `these two tall men',,,,,,,,,,,,,,,,,,
Nouns,The noun and its properties,,,,"On the clause level, such a~phrase, where a~noun is the head, can serve as a~subject, as in (\ref{ex:4-2}), or a~direct object, as in (\ref{ex:4-3}).",ex:4-2,\gll \textbf{se} \textbf{kúṛi} búd-i ki anú míi bharíiw na | \gls DEF woman understand.PFV-F COMPL PROX.MSG.NOM 1SG.GEN husband NEG | \glt `The woman understood that this wasn't her husband.',ex:4-3,"\gll teeṇíi čúti-m de \textbf{baṭ} uc̣h-áan-u | \gls REFL paw-PL give.CV stone pick.up-PRS""=MSG | \glt `It [the leopard] picked up a~stone with his paws.'",,,,,,,,,,,,,,,,
Nouns,The noun and its properties,,,,"It can also be the head of a postpositionally marked noun phrase, as in (\ref{ex:4-4}), a noun phrase expressing location, as in (\ref{ex:4-5}), or a nominal predicate, as in (\ref{ex:4-5b}).",ex:4-4,\gll \textbf{áa} \textbf{baṭ-á} ǰhulí dhreéɡ de | \gls IDEF stone-OBL on stretched.out be.PST | \glt `She stretched out on top of a~stone.',ex:4-5,"\gll \textbf{hasé} \textbf{díiš-a} hateeṇ-ú ɣam bhíl-u | \gls REM village-OBL such-MSG grief become.PFV""=MSG | \glt `There was such grief in the village.'",ex:4-5b,\gll \textbf{lhoók-u} \textbf{díiš} de | \gls small-MSG village be.PST | \glt `It was a~small village.',,,,,,,,,,,,,,
Nouns,Gender,,,,"A feature associated with, or assigned to, each noun is its grammatical gender. The language has two grammatical genders; each noun is either masculine, see examples in (\ref{ex:4-m}), or feminine, see examples in (\ref{ex:4-f}), following the general tradition in describing IA languages.",ex:4-m,Not found,ex:4-f,Not found,,,,,,,,,,,,,,,,
Nouns,Gender,,,,"While gender is an~inherent and classificatory property of the noun lexeme itself, it is essentially established through morphological agreement with adjectives/demonstratives (\ref{ex:4-6}) and verbs (\ref{ex:4-7}), for which it is a~variable property.",ex:4-6,\gll hasó bidráaɡ-u kuṇaák | \gls \textbf{REM.MSG.NOM} sick-\textbf{MSG} child[\textbf{M}] | \glt `that sick child',ex:4-7,\gll phaí na yhéel-i | \gls girl[\textbf{F}] not come.PFV-\TEXTBF{\TEXTSC{F}} | \glt `The girl didn't come.',,,,,,,,,,,,,,,,
Nouns,Gender,Gender assignment,,,"There are plenty of semantic and formal clues to gender assignment in Palula. Looking again at the examples in (\ref{ex:4-m}) and (\ref{ex:4-f}), we do not have a~problem making intelligent guesses as to the gender of the words for `boy' and `older sister', respectively, if we assume that there is a~connection between biological gender or sex and this particular grammatical two""=gender differentiation between feminine nouns and masculine nouns \citep[102]{dahl2000}. Those nouns, as is the case for other nouns denoting humans and higher animates, are indeed assigned gender according to meaning~-- masculine gender if male, and feminine if female, a~phenomenon we refer to as semantic gender assignment \citep[7--32]{corbett1991}. For the word `horse, stallion', we can similarly draw the conclusion that it is a~masculine noun (especially if we are told that another word is used to refer to a~mare). The other three words, referring to either lower animates, inanimate objects or phenomena, have also~-- some way or another~-- been assigned to one of the two genders: hiimaál and phúti are feminine nouns and ɡhoóṣṭ is a~masculine noun. We cannot, however, see any obvious semantic reason for this to be so, and we will therefore have to look at other assigning criteria.",ex:4-m,Not found,ex:4-f,Not found,,,,,,,,,,,,,,,,
Nouns,Gender,Gender assignment,,,"Now we will turn to formal properties that may stand in relation to gender association. First, a~comparison of a~large number of nouns reveals that particular phonological properties really seem to be related to either of the two genders. A word""=final u is for instance a~formal feature of a~major group of masculine nouns, as are á and oó for smaller groups of nouns that are all masculine (\ref{ex:4-m2}).",ex:4-m2,Not found,,,,,,,,,,,,,,,,,,
Nouns,Gender,Gender assignment,,,"A word""=final unaccented i is in the same way a~feature of a~very large group of feminine nouns, and ái for a~smaller group of them (\ref{ex:4-f2}).",ex:4-f2,Not found,,,,,,,,,,,,,,,,,,
Nouns,Number,"Non""=count nouns",,,"Such nouns are usually quantified by adjectives with the meaning `much', `some', `a little', a~measuring unit or a~noun referring to some sort of container or a~quantifiable part of the whole, as in (\ref{ex:4-8}) and (\ref{ex:4-9}).",ex:4-8,\gll máa=the tuúš \textbf{c̣hiír} da | \gls 1SG.NOM=to some milk give.IMP.SG | \glt `Give me some milk!',ex:4-9,\gll máa=the dúu ɡileesí \textbf{c̣hiír} da | \gls 1SG.NOM=to two glass.PL milk give.IMP.SG | \glt `Give me two glasses of milk!',,,,,,,,,,,,,,,,
Nouns,Number,"Non""=count nouns",,,"Only exceptionally, when speaking of more than one variety of a~substance, for instance, may a~mass noun be pluralised. Some mass nouns may also occur in a~plural form, as `blood' (\ref{ex:4-11}), as well as in a~singular form (\ref{ex:4-10}), while still being regarded as a~substance, sometimes with the connotation of large volumes or weights somehow divided up into several separate chunks or volumes. It would, however, still be ungrammatical to quantify such a~noun directly with a~numeral, whether in its singular or its plural form.",ex:4-11,"\gll tasíi múṭii \textbf{rat-á} nikháat-a | \gls 3SG.GEN arm.GEN blood-PL appear.PFV""=MPL | \glt `Blood came from [many places of] his arm.'",ex:4-10,Not found,,,,,,,,,,,,,,,,
Nouns,Number,Collective nouns,,,"While the nouns dealt with above as non""=count nouns, often referring to substances or abstract concepts, are largely limited to the singular, a~few nouns (\ref{ex:4-coll}) have a~collective meaning and occur in a~plural form only, or almost exclusively so.",ex:4-coll,Not found,,,,,,,,,,,,,,,,,,
Nouns,Number,Proper names,,,"A structural property typical of proper names is that they do not normally pluralise, as they are seen as having a~unique reference, tied to one person or to one place. There is, however, no such restriction on case inflection. As proper names can take on any function in the clause, they also inflect like other nouns for case, as can be seen in (\ref{ex:4-12}).",ex:4-12,"\gll \textbf{fazelnuur-á} díi ba panǰ putr-á bhíl-a | \gls Fazal.Noor-\textbf{OBL} from TOP five son-PL become.PFV""=MPL | \glt `Fazal Noor had five sons.'",,,,,,,,,,,,,,,,,,
