Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Adjectives and quantifiers,The adjective and its properties,,,,"Before dealing in more depth with semantic (\sectref{sec:6-2}) and morphological (\sectref{sec:6-3}) properties of adjectives, something will be said about their distribution and phonological structure. Normally adjectives do the job of modifying nouns, as in example (\ref{ex:6-1}), or that of descriptive predication, as in (\ref{ex:6-2}).",ex:6-1,\gll líi bíiḍ-i \textbf{ɡéeḍ-i} rusóx léed-i | \gls 3SG.DIST.OBL very-F big-F power find.PFV-F | \glt `He gained very much power.',ex:6-2,\gll pirsaahíb \textbf{ǰáand-u} de | \gls Pir.Sahib alive-MSG was | \glt `Pir Sahib [a pious man] was [still] alive.',,,,,,,,,,,,,,,,
Adjectives and quantifiers,The adjective and its properties,,,,"Structurally, inflected adjectives have a~lot in common with nouns and some of the most common finite verb forms (those historically based on participles). Compare, for instance, the words highlighted in examples (\ref{ex:6-3}) and (\ref{ex:6-4}) (the first an~adjective, the second a~noun and the third a~verb), all with an~ending segment éeli (which illustrates the partial alliterative agreement found in Palula, see \citealt[87--88]{corbett2006}). However, while gender is an~inherent property of nouns, gender marking of adjectives and verbs is only in the form of agreement with the gender of a~noun.",ex:6-3,\gll aní kuḍ \textbf{čéel-i} | \gls PROX wall[FSG] thick-F | \glt `This wall is thick.',ex:6-4,\gll íṇc̣-a \textbf{čhéeli} \textbf{khéel-i} thaní | \gls bear-OBL goat[FSG] eat.PFV-F QUOT | \glt `The bear has eaten the goat.',,,,,,,,,,,,,,,,
Adjectives and quantifiers,Morphological properties of adjectives,Substantivisation,,,"An adjective can occur on its own as the head of a~noun phrase when substantivised, i.e., an~adjective like ɡáaḍu `grown, big, important' thus being used as in (\ref{ex:6-5}) in the sense `the big one, the adult'. Apart from a~slight semantic shift, being substantivised also means that case forms otherwise only applied to nouns have to be used (when applicable). This is also the realm where the otherwise rare feminine plural forms with -im, as in (\ref{ex:6-6}), are non""=optional.",ex:6-5,"\gll so \textbf{ɡáaḍ-am} díi náqal th-áan-u | \gls 3MSG.NOM big-MPL.OBL from copying do-PRS""=MSG | \glt `He is imitating the adults [the grown up men].'",ex:6-6,"\gll se \textbf{éeḍ-im} bhíilam khonḍíl-im | \gls DEF half-FPL fearfully speak.PFV""=FPL | \glt `The rest [the other half] of them spoke fearfully.'",,,,,,,,,,,,,,,,
Adjectives and quantifiers,Morphological properties of adjectives,Comparison of degree,,,"As we saw above, there are some traces of an~earlier inflection for comparison, and \citet[17]{morgenstierne1941} also points out some remains of the OIA superlative degree, but in the modern language these degrees are exclusively expressed periphrastically. The comparative is expressed by a~standard of comparison in oblique case and the postposition díi `from', as illustrated in (\ref{ex:6-7}) and (\ref{ex:6-8}), preceding the adjective functioning as the parameter of comparison, literally translatable as `X is large from Y'.",ex:6-7,\gll bhiúuṛi \textbf{dhamareet-á} \textbf{díi} \textbf{ɡáaḍ-u} déeš | \gls Biori Dhamaret-OBL from large-MSG village | \glt `Biori is a~larger village than Dhamaret.',ex:6-8,\gll \textbf{kúuk-a} \textbf{díi} kúuk-e putr \textbf{hušiaár} | \gls crow-OBL from crow-GEN son wise | \glt `The son of a~crow is wiser than the crow [himself].',,,,,,,,,,,,,,,,
Adjectives and quantifiers,Morphological properties of adjectives,Comparison of degree,,,"A construction having a~function close to the superlative of many European languages similarly uses the oblique form of the indefinite pronoun buṭheé `all' and díi, see example (\ref{ex:6-9}), literally meaning something like `X is more powerful than all'.",ex:6-9,"\gll \textbf{buṭhimeém} \textbf{díi} \textbf{taaqatwár} hín-u insaán | \gls all.OBL from powerful be.PRS""=MSG human | \glt `Man is the most powerful [creature].'",,,,,,,,,,,,,,,,,,
Adjectives and quantifiers,Quantifiers,Cardinal numerals,,,"The numbers between 20, 40, and 60 etc. are formed by coordination, whereby a~coordinating element (compare with \sectref{subsec:13-2-1}) is attached to 20 and then followed by one of the numerals 1--19, as exemplified in (\ref{ex:6-10}) and (\ref{ex:6-11}). Phonologically, the complex is one word with one main accent. Note that the order is the reverse in some other languages in the region (compare with Kohistani Gawri, described by \citealt[57]{baart1999a}).",ex:6-10,\gll bhiš=ee=ṣó | \gls twenty=and=six | \glt `26',ex:6-11,\gll dubhiš=ee=ṣoṛíiš | \gls two.twenty=and=sixteen | \glt `56',,,,,,,,,,,,,,,,
Adjectives and quantifiers,Quantifiers,Cardinal numerals,,,"Reduplication, as in (\ref{ex:6-12}), is used to form distributive numerals.",ex:6-12,\gll tus \textbf{aak-áak} looṛíi-a aṭ-óoi | \gls 2PL.NOM RED-one bowl-PL bring-IMP.PL | \glt `Go and get a~bowl each [all of you]!',,,,,,,,,,,,,,,,,,
Adjectives and quantifiers,Quantifiers,Cardinal numerals,,,"Emphasis or exclusiveness can be added to a~numeral with a~particle eé (compare with emphasised pronouns, \sectref{sec:5-1}), as in (\ref{ex:6-13}), giving the meaning `only ten, etc.'",ex:6-13,\gll eesé waxt-íi \textbf{dáaš} \textbf{eé} kušúni de | \gls REM time-GEN ten AMPL household be.PST | \glt `In those days there were only ten households.',,,,,,,,,,,,,,,,,,
Adjectives and quantifiers,Quantifiers,Cardinal numerals,,,"For inclusiveness, on the other hand, i.e., to give the meaning `all ten, etc.', a~form of the numeral with an~accented ending eé and the numeral stem deaccented (compare with the ordinal numerals, \sectref{subsec:6-4-3}) is used, as can be seen in (\ref{ex:6-14}).",ex:6-14,"\gll šíin""=ii \textbf{čureé} šeenbóo-a phooṭíl-a | \gls bed-GEN four.INCL leg.of.bed-PL break.PFV""=MPL | \glt `All four legs of the bed broke.'",,,,,,,,,,,,,,,,,,
Adjectives and quantifiers,Quantifiers,Substantivised numerals,,,"Apart from being used attributively, cardinal numbers, at least the lower ones, can also be used independently as heads of noun phrases (like many adjectives and demonstratives). Used this way they are inflected for case, see (\ref{ex:6-15})--(\ref{ex:6-16}).",ex:6-15,Not found,ex:6-16,\gll eesé \textbf{dašúm} maǰí dúu bhraawú de | \gls REM ten.OBL among two brother.PL be.PST | \glt `Among these ten were two brothers.',,,,,,,,,,,,,,,,
