Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,,,,,"Papuan Malay is spoken in West Papua,\footnote{Formerly, West Papua was known as ``Irian Jaya'' or ``West Irian''.} which covers the western part of the island of New Guinea. The language is a nonstandard variety of Malay, belonging to the \ili{Malayic} branch within the \ili{Austronesian} language family.\footnote{The \ili{Malayic} branch also includes other \ili{eastern Malay varieties} as well as Standard Malay and Indonesian {(\citealt{Blust.2013}: xxiv–xl)}. (See §\ref{Para_1.2} for more details on the genetic affiliations of Papuan Malay.)}",Para_1.2,Not found,,,,,,,,,,,,,,,,,,
,,,,,"This chapter provides an introduction to Papuan Malay. The first section gives a brief introduction to the larger geographical setting of Papuan Malay (§\ref{Para_1.1}). The genetic affiliations and the \isi{dialect situation} of the language are discussed in §\ref{Para_1.2} and §\ref{Para_1.3}, respectively. The \isi{linguistic setting} of Papuan Malay is examined in §\ref{Para_1.4}, followed in §\ref{Para_1.5} by a description of its \isi{sociolinguistic profile} and in §\ref{Para_1.6} of its \isi{typological profile}. Pertinent \isi{demographic information} is given in §\ref{Para_1.7}, and an overview of the history of Papuan Malay is presented in §\ref{Para_1.8}. Previous research on the language is summarized in §\ref{Para_1.9}, followed in §\ref{Para_1.10} by a brief overview of available materials in Papuan Malay. Finally, in §\ref{Para_1.11}, methodological aspects of the present study are described.",Para_1.1,Not found,Para_1.2,Not found,Para_1.3,Not found,Para_1.4,Not found,Para_1.5,Not found,Para_1.6,Not found,Para_1.7,Not found,Para_1.8,Not found,Para_1.9,Not found,Para_1.10,Not found
,Geographical setting\label{Para_1.1,,,,"``West Papua'', the term adopted in this book, denotes the western part of the island of New Guinea. More precisely, the term describes the entire area west of the Papua New Guinea border up to the western coast of the Bird’s Head, as shown in \figref{Figure_0.1} (p. \pageref{Figure_0.1}; see also §\ref{Para_1.11.2} regarding the larger setting of the \isi{research location}).\footnote{The term ‘West Papua’ is also used in the literature, as for instance in \citet{King.2004}, \cite{Kingsbury.2002}, and \citet{Tebay.2005}. More recently, \citet{Gil.2014} has proposed the Malay term Tanah Papua ‘Land of Papua’ for the western part of the island of New Guinea.}",Para_1.11.2,Not found,,,,,,,,,,,,,,,,,,
,Genetic affiliations\label{Para_1.2,,,,"As a Malay language, Papuan Malay belongs to the \ili{Malayic} sub-branch within the \ili{Mala\-yo-Polynesian} branch of the \ili{Austronesian} language family. A review of the literature suggests, however, that the exact classification of Papuan Malay is difficult for three reasons. First, as discussed in §\ref{Para_1.2.1}, the internal classification of the \ili{Malayo-Polynesian} subgroup is problematic. Moreover, there is a debate in the literature over the classification of the \ili{Malayic} languages within Western-\ili{Malayo-Polynesian}. Secondly, as discussed in §\ref{Para_1.2.2}, there is disagreement among scholars regarding the status of the \ili{eastern Malay varieties}, including Papuan Malay, as to whether they are non-\ili{creole} descendants of Low Malay or \ili{Malay-based creoles}. Thirdly, there is an ongoing debate over the legitimacy of Papuan Malay as a distinct language, as discussed in §\ref{Para_1.2.3}.",Para_1.2.1,Not found,Para_1.2.2,Not found,Para_1.2.3,Not found,,,,,,,,,,,,,,
,Genetic affiliations\label{Para_1.2,"Papuan Malay, a non-{creole descendant of low Malay\label{Para_1.2.2",,,"Three factors contribute to this discussion: (1) the ``simple structure'' of Papuan Malay and the other \ili{eastern Malay varieties}, with their lack of inflectional \isi{morphology} and limited derivational processes (see §\ref{Para_1.6.1.2}), (2) the influence from non-\ili{Austronesian} languages which these languages, including Papuan Malay, show (see §\ref{Para_1.6.2}), and (3) the history of Malay as a trade language (see §\ref{Para_1.8}). These pertinent characteristics of the \ili{eastern Malay varieties} receive different interpretations.",Para_1.6.1.2,Not found,Para_1.6.2,Not found,Para_1.8,Not found,,,,,,,,,,,,,,
,Genetic affiliations\label{Para_1.2,"Papuan Malay, a non-{creole descendant of low Malay\label{Para_1.2.2",,,"In concluding this discussion about the \ili{creole} versus non-\ili{creole} status of Papuan Malay, the author agrees with those scholars who challenge the view that the \ili{eastern Malay varieties} are creolized languages. Moreover, the author agrees with \citet[35, 43]{Bisang.2009}, who argues that complexity is not limited to the \isi{morphology} or syntax of a language. Instead, complexity may instead be found in the pragmatic inferential system as applied to utterances in their discourse setting. Such ``hidden complexity'' is certainly a pertinent trait of Papuan Malay, as shown throughout this book. Two examples of hidden complexity are presented in (\ref{Example_1.1}) and (\ref{Example_1.2}). Due to the lack of morphosyntactic marking in Papuan Malay, a given construction can receive different readings, as illustrated in (\ref{Example_1.1}). Depending on the context, the \textitbf{kalo {\ldots} suda} ‘when/if {\ldots} already’ construction can receive a temporal or a counterfactual reading.\footnote{One anonymous reviewer suggests an alternative analysis for the example in (\ref{Example_1.1}). Rather than being ambiguous and exemplifying a case of ``hidden complexity'', the \textitbf{kalo {\ldots} suda} `when/if {\ldots} already' construction expresses an unspecified reason-consequence relation, with the context supplying the information on whether the reason has place.} Example (\ref{Example_1.2}) illustrates the pervasive use of \isi{elision} in Papuan Malay. Verbs allow but do not require core arguments. Therefore, core arguments are readily elided when they are understood from the context ( ``Ø'' represents the omitted arguments).",Example_1.1,Not found,Example_1.2,"\gll ... karna de tida bisa bicara bahasa, maka \textbf{Ø} pake bahasa orang bisu, ... baru \textbf{Ø} \textbf{Ø} foto, foto, a, \textbf{Ø} snang, prempuang bawa babi, \textbf{Ø} kasi \textbf{Ø} \textbf{Ø} | \gls ... because 3SG NEG be.able speak language therefore ... use language person be.mute ... and.then ... ... photograph photographah! ... feel.happy (.about) woman bring pig ... give ... ... | \glt [First outside contact between a Papuan group living in the jungle and a group of pastors:] `[but they can’t speak Indonesian,] because she can’t speak Indonesian, therefore (\textbf{she}) uses sign language ... (\textbf{the pastor is taking}) pictures, pictures, ah, (\textbf{the women} are) happy, the women bring a pig, (\textbf{they}) give (\textbf{it to the pastors})’",Example_1.1,Not found,Example_1.1,Not found,Example_1.2,"\gll ... karna de tida bisa bicara bahasa, maka \textbf{Ø} pake bahasa orang bisu, ... baru \textbf{Ø} \textbf{Ø} foto, foto, a, \textbf{Ø} snang, prempuang bawa babi, \textbf{Ø} kasi \textbf{Ø} \textbf{Ø} | \gls ... because 3SG NEG be.able speak language therefore ... use language person be.mute ... and.then ... ... photograph photographah! ... feel.happy (.about) woman bring pig ... give ... ... | \glt [First outside contact between a Papuan group living in the jungle and a group of pastors:] `[but they can’t speak Indonesian,] because she can’t speak Indonesian, therefore (\textbf{she}) uses sign language ... (\textbf{the pastor is taking}) pictures, pictures, ah, (\textbf{the women} are) happy, the women bring a pig, (\textbf{they}) give (\textbf{it to the pastors})’",,,,,,,,,,
,Genetic affiliations\label{Para_1.2,"Papuan Malay, a distinct language within the Malay continuum\label{Para_1.2.3",,,"Third, shared ethnolinguistic identity with other Malay varieties: ethnolinguistically, Papuans typically identify with their respective indigenous vernacular languages, regardless as to whether or not they are still active speakers of that language. Beyond this local identity, they have a well-established, distinct identity as Papuans, especially vis-à-vis Indonesians from the western parts of Indonesia. This has largely to do with the ongoing Indonesian occupation (since 1963) and the negative attitudes that the Indonesian government and Indonesian institutions express toward Papuans and ``Papuaness'' and also toward Papuan Malay (for more details on language attitudes see §\ref{Para_1.5.2}). Vice versa, Papuan attitudes towards Indonesia and ``Indonesianess'' are also rather negative. (See for instance \citealt{Chauvel.2002}; \citealt{King.2004}.) Papuans summarize their distinct identity as follows: \textitbf{suku beda, bahasa beda, agama beda, adat beda} ‘(our) ethnicity is different, (our) language(s) is/are different, (our) religion is different, (and our) customs are different’. This statement was made to the author on numerous occasions during her stays in West Papua. This distinct ethnolinguistic identity vis-à-vis Papuan Malay is also evidenced by the names which Papuans use to refer to their language, names such as \textitbf{logat Papua} ‘Papuan speech variety’ or \textitbf{bahasa tanah} ‘home language’. Indonesian, by contrast, is always \textitbf{bahasa Indonesia} ‘Indonesian language’. These names for Papuan Malay not only indicate a strong, indigenous identification with their language. They also imply that Papuans are able to distinguish between their language and Indonesian \citep[19]{Scott.2008}. (See also the discussion on language awareness in §\ref{Para_1.5.2} ‘Language attitudes’.)",Para_1.5.2,Not found,Para_1.5.2,Not found,,,,,,,,,,,,,,,,
,Dialect situation\label{Para_1.3,,,,"To explore how many distinct varieties of Papuan Malay exist, a linguistic and sociolinguistic survey of the language was conducted in 2007 across West Papua \citep{Scott.2008}. The survey was carried out in and around seven coastal urban areas, namely Fakfak, Jayapura, Manokwari, Merauke, Timika, Serui, and Sorong (for details see §\ref{Para_1.9.2} and §\ref{Para_1.9.3}; see also \figref{Figure_0.2} on p. \pageref{Figure_0.2}). In these locations different Papuan and \ili{Austronesian} languages are spoken and second-language Papuan Malay speakers come from different linguistic backgrounds (see also §\ref{Para_1.4}).",Para_1.9.2,Not found,Para_1.9.3,Not found,Para_1.4,Not found,,,,,,,,,,,,,,
,Dialect situation\label{Para_1.3,,,,"With respect to the \isi{phonology}, \citet[24–44]{Scott.2008} mention the following regional features: (1) word-final voiceless plosives seem to be present in the eastern but not in the western parts West Papua; (2) the word-final lateral seems to fluctuate freely with the flap in the eastern part of West Papua, while the word-final lateral seems to be missing in the western part; (3) nasal \isi{assimilation} seems to occur in the western but not in the eastern parts of West Papua; (4) vowel harmony of [ə] to a vowel in another segment possibly occurs in the western but not in the eastern parts; and (5) the glottal fricative may be missing in the urban areas of Merauke. Overall, however, these differences are minor. At most, they possibly support an Eastern and Western Papuan Malay divide with Timika ``sometimes following the Western regions of Fakfak and Sorong and sometimes following the Eastern regions of Jayapura and Merauke'' \citep[43]{Scott.2008}. This ``possible East-West divide'', however, requires further research (\citeyear*[44]{Scott.2008}). Some of {\citegen{Scott.2008}} findings are modified by the current study (see \chapref{Para_2}): As for the word-final lateral, the corpus data does not show any fluctuation with the flap;\footnote{The word-final rhotic trill, however, may be devoiced if it occurs before a pause or in utterance-final position (§\ref{Para_2.3.1.3}).} nasal \isi{assimilation} does occur (§\ref{Para_2.2.1}). As far as the lexicon is concerned, regional differences also appear to be minor \citep[46, 96, 99]{Scott.2008}. Regional differences with respect to the grammar were not observed.",Para_2.3.1.3,Not found,Para_2.2.1,Not found,,,,,,,,,,,,,,,,
,Linguistic setting\label{Para_1.4,,,,"West Papua is the home of 274 languages, according to \citet{Lewis.2016}. Of these, 216 are non-\ili{Austronesian}, or Papuan, languages (79%).\footnote{For a discussion of the term ‘\ili{Papuan languages}’ see Footnote \ref{Footnote_1.24} in §\ref{Para_1.6.2} (p. \pageref{Footnote_1.24}).}",Footnote_1.24,Not found,Para_1.6.2,Not found,,,,,,,,,,,,,,,,
