Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"Polynesian languages are known to be very flexible in use of nouns and verbs: many words seem to be used both as nouns and verbs. This is also true for Rapa Nui. In \REF{ex:3.1} below, poki ‘child’ occurs in a noun phrase (preceded by the article te) which is subject of the clause; in \REF{ex:3.2}, it occurs in a verb phrase (preceded by the imperfective marker\is{Aspect marker} e) which is the clause predicate:",ex:3.1,\gll He pōrekoreko \textbf{te} \textbf{ŋā} \textbf{poki} \ꞌi Tāhai. | \gls NTR born:RED ART PL child at Tahai | \glt ‘Children were born in Tahai.’,ex:3.2,\gll Mai te hora era ō\ꞌoku \textbf{e} \textbf{poki} nō \ꞌana... | \gls from ART time DIST POSS.3SG.O IPFV child just CONT | \glt ‘From the time when I was a child...’,,,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"Nevertheless, I will argue that there are good reasons to maintain a lexical distinction between noun and verbs. That is, words are defined as noun or verb in the lexicon. This does not mean that all occurrences of these words are completely and unambiguously nominal and/or verbal. Lexical verbs very commonly enter into constructions which have certain nominal features; less frequently, lexical nouns are used in constructions with certain verbal features (as in \REF{ex:3.2} above). Moreover, many words are specified as both noun and verb in the lexicon, as \textit{\mbox{{\ꞌ}a{\ꞌ}amu}} in (\ref{ex:3.3}–\ref{ex:3.4}) above.",ex:3.2,\gll Mai te hora era ō\ꞌoku \textbf{e} \textbf{poki} nō \ꞌana... | \gls from ART time DIST POSS.3SG.O IPFV child just CONT | \glt ‘From the time when I was a child...’,ex:3.3,\gll ¿He parauti\ꞌa \textbf{te} \textbf{\ꞌa\ꞌamu} nei? | \gls ~PRED truth ART story PROX | \glt ‘Is this story true?’,ex:3.4,\gll \textbf{He} \textbf{\ꞌa\ꞌamu} ia e mātou i te \ꞌati ta\ꞌato\ꞌa nei o tātou o Rapa Nui. | \gls NTR tell then AG 1PL.EXCL ACC ART problem all PROX of 1PL.INCL of Rapa Nui | \glt ‘We told about all the problems we have on Rapa Nui.’,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"Firstly: despite the flexibility in the use of nouns and verbs, the large majority of noun phrases have a nucleus denoting an entity, while an overwhelming majority of verb phrases have a nucleus denoting an event. While all action words can be used in nominal phrases, many entity words are never used in verb phrases, or only in very specific, uncommon contexts. For example, the word oho ‘go’ is very often preceded by the imperfective marker e, but the word taŋata ‘man’ is never preceded by this particle in the text corpus. Other words, like \textit{\mbox{{\ꞌ}a{\ꞌ}amu}} in (\ref{ex:3.3}–\ref{ex:3.4}) above, are commonly used both as noun and as verb, but with a different sense. Somehow generalisations like these should be accounted for in the grammar. To assume one large class of words, which can be indiscriminately slotted into noun or verb phrases, does not do justice to actual usage.",ex:3.3,\gll ¿He parauti\ꞌa \textbf{te} \textbf{\ꞌa\ꞌamu} nei? | \gls ~PRED truth ART story PROX | \glt ‘Is this story true?’,ex:3.4,\gll \textbf{He} \textbf{\ꞌa\ꞌamu} ia e mātou i te \ꞌati ta\ꞌato\ꞌa nei o tātou o Rapa Nui. | \gls NTR tell then AG 1PL.EXCL ACC ART problem all PROX of 1PL.INCL of Rapa Nui | \glt ‘We told about all the problems we have on Rapa Nui.’,,,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"A third argument that the apparent freedom of use does not imply the absence of lexical categories, comes from a rare phenomenon: very occasionally, words from other (minor) word classes are used as a noun or a verb. For example, a pronoun may occur in the nucleus of a verb phrase as in \REF{ex:3.5}; demonstrative particles may be the nucleus of a verb phrase, as in \REF{ex:3.6}:\footnote{\label{fn:91}Postverbal era\is{era (distal)!postverbal} \textit{{\ꞌ}ā} indicates a finished action (sometimes equivalent to a perfect or pluperfect).}",ex:3.5,\gll ¿Ko \ꞌite \ꞌā kōrua he aha i \textbf{mātou} ai? | \gls ~PRF know CONT 2PL PRED what PFV 1PL.EXCL PVP | \glt ‘Do you know what we did?’,ex:3.6,\gll —¿Ku oti \ꞌā? —¡\textbf{Ko} \textbf{era} \textbf{\ꞌā} ta\ꞌa me\ꞌe. | \gls ~~~~~PRF finish CONT ~~~~PRF DIST CONT POSS.2SG.A thing | \glt ‘—Is it finished? —I’m done (lit. something like ‘there is your thing’).’,,,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"Syntactic: the presence of a determiner does not necessarily mean that the phrase is entirely nominal. The nucleus of such a phrase may control verbal arguments:\footnote{\label{fn:93}\citet{Waite1994}, working in a generative framework, captures this insight by proposing that D (=determiner) in \ili{Māori} can take not only NP complements, but VP and AdjP as well. This means that a verb may occur in a nominal context (DP) while retaining its verbal character.} in \REF{ex:3.7} below, the subject of vānaŋa has the agent marker e; in \REF{ex:3.8}, runurunu is followed by a direct object marked with the accusative marker\is{i (accusative marker)} i.",ex:3.7,\gll I oti era \textbf{te} \textbf{vānaŋa} e te vi\ꞌe... | \gls PFV finish DIST ART speak AG ART woman | \glt ‘When the woman had finished speaking...’,ex:3.8,"\gll He turu mai ia ki te hare hāpī koia ko \textbf{te} \textbf{runurunu} mai i te rāua tūava. | \gls NTR go_down hither then to ART house learn COM PROM ART gather:RED hither ACC ART 3PL guava | \glt ‘They went down to school, while picking (lit. with the picking) guavas.’",,,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"The phrase may also contain other VP elements like directionals\is{Directional}, such as mai in \REF{ex:3.8}. These elements do not appear in ordinary noun phrases, i.e. phrases headed by entity words like taŋata ‘man’ or hare ‘house’. In conclusion, a phrase introduced by a determiner may still have certain VP characteristics.",ex:3.8,"\gll He turu mai ia ki te hare hāpī koia ko \textbf{te} \textbf{runurunu} mai i te rāua tūava. | \gls NTR go_down hither then to ART house learn COM PROM ART gather:RED hither ACC ART 3PL guava | \glt ‘They went down to school, while picking (lit. with the picking) guavas.’",,,,,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"Semantic: despite the presence of a determiner, the nucleus may have a verbal sense, referring to an event rather than an entity. Even though it is preceded by a determiner, the verb may therefore have a different meaning from a real noun with the same form.\footnote{\label{fn:94}The same point is made by \citet[511]{Besnier2000} for \ili{Tuvaluan}.} This can be illustrated with the word vānaŋa, which may denote an action ‘to talk’, or an entity ‘word, spoken utterance’. In \REF{ex:3.9} vānaŋa denotes an event and occurs in a verb phrase (preceded by the aspect marker e); in \REF{ex:3.10} it denotes an entity and occurs in a noun phrase (preceded by the article te):",ex:3.9,\gll \textbf{E} \textbf{vānaŋa} \textbf{rō} \textbf{mai} \textbf{\ꞌā} paurō te mahana ki a au. | \gls IPFV speak EMPH hither CONT every ART day to PROP 1SG | \glt ‘Every day he speaks to me.’,ex:3.10,"\gll Ka tai\ꞌo pūai \textbf{te} \textbf{ŋā} \textbf{vānaŋa} \textbf{nei}: raŋi, rano, rapu. | \gls IMP read strong ART PL word PROX raŋi rano rapu | \glt ‘Read the following words aloud: raŋi, rano, rapu.’",,,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"Clearly, in \REF{ex:3.9} vānaŋa is a verb, while in \REF{ex:3.10} it is a noun. So far, so good. In \REF{ex:3.7} above however, vānaŋa denotes an event, even though it is preceded by a determiner. It serves as the complement of oti, a verb which commonly takes a nominalised event word as complement. Thus, te vānaŋa in \REF{ex:3.7} is not nominal in the same way as te ŋā vānaŋa nei in \REF{ex:3.10}. Notice that this semantic difference correlates with certain syntactic differences: in \REF{ex:3.10}, vānaŋa is preceded by the plural marker ŋā, a noun phrase element; in \REF{ex:3.7} it is followed by a subject marked with the agentive e, something to be expected of a verb.",ex:3.9,\gll \textbf{E} \textbf{vānaŋa} \textbf{rō} \textbf{mai} \textbf{\ꞌā} paurō te mahana ki a au. | \gls IPFV speak EMPH hither CONT every ART day to PROP 1SG | \glt ‘Every day he speaks to me.’,ex:3.10,"\gll Ka tai\ꞌo pūai \textbf{te} \textbf{ŋā} \textbf{vānaŋa} \textbf{nei}: raŋi, rano, rapu. | \gls IMP read strong ART PL word PROX raŋi rano rapu | \glt ‘Read the following words aloud: raŋi, rano, rapu.’",ex:3.7,\gll I oti era \textbf{te} \textbf{vānaŋa} e te vi\ꞌe... | \gls PFV finish DIST ART speak AG ART woman | \glt ‘When the woman had finished speaking...’,ex:3.7,\gll I oti era \textbf{te} \textbf{vānaŋa} e te vi\ꞌe... | \gls PFV finish DIST ART speak AG ART woman | \glt ‘When the woman had finished speaking...’,ex:3.10,"\gll Ka tai\ꞌo pūai \textbf{te} \textbf{ŋā} \textbf{vānaŋa} \textbf{nei}: raŋi, rano, rapu. | \gls IMP read strong ART PL word PROX raŋi rano rapu | \glt ‘Read the following words aloud: raŋi, rano, rapu.’",ex:3.10,"\gll Ka tai\ꞌo pūai \textbf{te} \textbf{ŋā} \textbf{vānaŋa} \textbf{nei}: raŋi, rano, rapu. | \gls IMP read strong ART PL word PROX raŋi rano rapu | \glt ‘Read the following words aloud: raŋi, rano, rapu.’",ex:3.7,\gll I oti era \textbf{te} \textbf{vānaŋa} e te vi\ꞌe... | \gls PFV finish DIST ART speak AG ART woman | \glt ‘When the woman had finished speaking...’,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"Constructions such as \REF{ex:3.11} are only found with event words, not with entity words. If the underlined phrases were regarded as noun phrases because of the presence of the article, they would be undistinguishable from “normal” noun phrases, which never enter into this construction.",ex:3.11,\gll \ꞌĀ\ꞌana \textbf{te} \textbf{haka} \textbf{tere} i te henua. | \gls POSS.3SG.A ART CAUS run ACC ART land | \glt ‘He (was the one who) governed the country.’,,,,,,,,,,,,,,,,,,
,Nouns and verbs\label{sec:3.2,The noun/verb distinction\label{sec:3.2.1,,,"We may conclude that it would be unsatisfactory to consider a word as noun whenever it is preceded by a determiner. Event words preceded by determiners may have either a nominal sense and nominal function, or a verbal sense and verbal function (possibly with verbal syntactic trappings). This suggests that we should make a distinction between \textsc{lexical nominalisation}\is{Nominalisation!lexical}, which turns a verb into a true noun, and \textsc{syntactic nominalisation}\is{Nominalisation!syntactic}, in which a verb is used as nucleus of a noun phrase, while retaining its verbal meaning and other verbal characteristics, such as the possibility to take verbal arguments. The examples above show that both occur in Rapa Nui: \REF{ex:3.10} is an example of lexical nominalisation\is{Nominalisation!lexical}, while \REF{ex:3.7} is an example of syntactic nominalisation\is{Nominalisation!syntactic}. These processes will be discussed in sections \sectref{sec:3.2.2} and \sectref{sec:3.2.3}, respectively.",ex:3.10,"\gll Ka tai\ꞌo pūai \textbf{te} \textbf{ŋā} \textbf{vānaŋa} \textbf{nei}: raŋi, rano, rapu. | \gls IMP read strong ART PL word PROX raŋi rano rapu | \glt ‘Read the following words aloud: raŋi, rano, rapu.’",ex:3.7,\gll I oti era \textbf{te} \textbf{vānaŋa} e te vi\ꞌe... | \gls PFV finish DIST ART speak AG ART woman | \glt ‘When the woman had finished speaking...’,,,,,,,,,,,,,,,,
