Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,The collective marker kuā\label{sec:5.2,,,,"Kuā\is{kua (collective)@kuā (collective)} (etymology unknown; there is also a less common variant koā\is{koa (collective)@koā (collective)}, which does not occur in older texts) indicates a human collectivity, a group of people belonging together. With a singular noun, as in examples \REF{ex:5.8} and \REF{ex:5.9} below, it has an associative sense \citep[50]{Dixon2012}: kuā N means ‘N and the ones around him/her, N and the others’. When the noun itself has plural reference, as in (\ref{ex:5.10}–\ref{ex:5.13}) below, kuā refers to ‘the group of N’.",ex:5.8,\gll Pē ira a \textbf{kuā} \textbf{Tiare} i iri ai ki \ꞌuta e tahi mahana. | \gls like ANA PROP COLL Tiare PFV ascend PVP to inland NUM one day | \glt ‘Thus Tiare and the others went to the countryside one day.’,ex:5.9,\gll He nonoho \textbf{a} \textbf{kuā} \textbf{koro} he kakai. | \gls NTR PL:sit PROP COLL Dad NTR PL:eat | \glt ‘Dad and the others sat down and ate.’,ex:5.10,"\gll E Tiare, e hāpa\ꞌo rivariva koe i a \textbf{kuā} \textbf{māhaki}. | \gls VOC flower EXH care_for good:RED 2SG ACC PROP COLL companion | \glt ‘Tiare, take good care of the little ones.’",ex:5.13,\gll Ko \textbf{kuā} \textbf{tō\ꞌoku} ŋā poki taina rikiriki era ko tō\ꞌoku pāpārū\ꞌau era. | \gls PROM COLL POSS.1SG.O PL child sibling small:PL:RED DIST PROM POSS.1SG.O grandfather DIST | \glt ‘We were with my little brothers and my grandfather.’,,,,,,,,,,,,
,The collective marker kuā\label{sec:5.2,,,,"In short, kuā occurs before the same words which can also be preceded by the proper article\is{a (proper article)} a, i.e. proper nouns (\sectref{sec:3.3.2}). This may have led \citet[474]{DuFeu1987} to classify kuā as a proper article\is{a (proper article)} as well. However, kuā is different from the proper article\is{a (proper article)}. As examples \REF{ex:5.8}, \REF{ex:5.9} and \REF{ex:5.10} show, kuā can co-occur with the proper article\is{a (proper article)}. This indicates that the two do not belong to the same class of particles, but occupy different slots in the noun phrase.",ex:5.8,\gll Pē ira a \textbf{kuā} \textbf{Tiare} i iri ai ki \ꞌuta e tahi mahana. | \gls like ANA PROP COLL Tiare PFV ascend PVP to inland NUM one day | \glt ‘Thus Tiare and the others went to the countryside one day.’,ex:5.9,\gll He nonoho \textbf{a} \textbf{kuā} \textbf{koro} he kakai. | \gls NTR PL:sit PROP COLL Dad NTR PL:eat | \glt ‘Dad and the others sat down and ate.’,ex:5.10,"\gll E Tiare, e hāpa\ꞌo rivariva koe i a \textbf{kuā} \textbf{māhaki}. | \gls VOC flower EXH care_for good:RED 2SG ACC PROP COLL companion | \glt ‘Tiare, take good care of the little ones.’",,,,,,,,,,,,,,
,The collective marker kuā\label{sec:5.2,,,,"Secondly, unlike the proper article a, kuā occurs after the preposition o, as in \REF{ex:5.11} above.",ex:5.11,\gll ¿O \textbf{kuā} \textbf{kōrua} i aŋa? | \gls ~of COLL 2PL PFV make | \glt ‘Did you (pl.) make it together?’,,,,,,,,,,,,,,,,,,
,The collective marker kuā\label{sec:5.2,,,,"In the fourth place, unlike the proper article, kuā can be followed by the plural marker ŋā\is{nza (plural marker)@ŋā (plural marker)}, as in \REF{ex:5.13} above.",ex:5.13,\gll Ko \textbf{kuā} \textbf{tō\ꞌoku} ŋā poki taina rikiriki era ko tō\ꞌoku pāpārū\ꞌau era. | \gls PROM COLL POSS.1SG.O PL child sibling small:PL:RED DIST PROM POSS.1SG.O grandfather DIST | \glt ‘We were with my little brothers and my grandfather.’,,,,,,,,,,,,,,,,,,
,The collective marker kuā\label{sec:5.2,,,,"Finally, kuā occurs in the vocative\is{Vocative}, as in \REF{ex:5.12} above, something which is not possible with a.",ex:5.12,"\gll Ka oho mai, e \textbf{kuā} \textbf{repa} ē. | \gls IMP go hither VOC COLL young_man VOC | \glt ‘Come, my friends.’",,,,,,,,,,,,,,,,,,
,Determiners\label{sec:5.3,The syntax of t{-determiners\label{sec:5.3.2,Obligatory t-determiners\label{sec:5.3.2.1,,"The quantifier \textit{me{\ꞌ}e rahi} ‘many/much’ (\sectref{sec:4.4.7.1}) excludes the use of a determiner; this means it cannot occur at all in noun phrases preceded by a preposition. (In this case, speakers may resort to using the adjective rahi ‘many/much’ as an alternative strategy, see \REF{ex:4.102} on p.~\pageref{ex:4.102}.)",ex:4.102,\gll He ha\ꞌere mo haka ora \ꞌi te rohirohi o tū \textbf{aŋa} \textbf{rahi} era. | \gls NTR walk for CAUS live at ART tired:RED of DEM work many/much DIST | \glt ‘He went to rest from the fatigue of those many works.’,,,,,,,,,,,,,,,,,,
,Determiners\label{sec:5.3,The syntax of t{-determiners\label{sec:5.3.2,Contexts in which determiners are excluded\label{sec:5.3.2.2,,"In these cases the noun phrase does not refer to any house in particular: hare era in \REF{ex:5.20} does not refer to a certain house, but to houses in general. In other words, the noun phrase is non-referential\is{Referentiality}. If the article were used (ki te hare era), the noun phrase would refer to a \is{Specific reference}specific house.",ex:5.20,\gll He e\ꞌa rā matu\ꞌa Iporito \textbf{ki} \textbf{hare} \textbf{era} \textbf{ki} \textbf{hare} \textbf{era}. | \gls NTR go_out DIST parent Hippolyte to house DIST to house DIST | \glt ‘Father Hippolyte went here and there (lit. to that house to that house).’,,,,,,,,,,,,,,,,,,
,Determiners\label{sec:5.3,The syntax of t{-determiners\label{sec:5.3.2,Contexts in which t{-determiners are optional\label{sec:5.3.2.3,,"Sometimes the determiner is omitted in sentence-initial noun phrases which contain a postnominal demonstrative\is{Demonstrative!postnominal} (nei, ena or era). The noun phrase may be the subject of a verbal \REF{ex:5.23} or nominal clause\is{Clause!nominal} \REF{ex:5.24}, or a left-dislocated\is{Dislocation!left} constituent \REF{ex:5.25}:",ex:5.23,\gll \textbf{Nu\ꞌu} \textbf{nei} ko hoki mai \ꞌā mai Tahiti ki Rapa Nui. | \gls people PROX PRF return hither CONT from Tahiti to Rapa Nui | \glt ‘These people had returned from Tahiti to Rapa Nui.’,ex:5.24,"\gll \textbf{Kai} \textbf{ena} i a kōrua, kai rivariva. | \gls food MED at PROP 2PL food good:RED | \glt ‘That food you have is good food.’",ex:5.25,"\gll \textbf{Taŋata} \textbf{nei} ko Pāpu\ꞌe, \ꞌi Mā\ꞌea Makohe tō\ꞌona hare. | \gls man PROX PROM Papu’e at Ma’ea Makohe POSS.3SG.O house | \glt ‘This man Papu’e, his house was in Ma’ea Makohe.’",,,,,,,,,,,,,,
,Determiners\label{sec:5.3,The function of the article te\label{sec:5.3.3,,,"Te can be used with count nouns as in \REF{ex:5.28}, mass nouns as in \REF{ex:5.29}, and abstract concepts as in \REF{ex:5.30}:",ex:5.28,"\gll He tu\ꞌu mai \textbf{te} taŋata, \textbf{te} vi\ꞌe, he popo mai ki roto ki \textbf{te} hare. | \gls NTR arrive hither ART man ART woman NTR pack hither to inside to ART house | \glt ‘Men and women arrived and crowded into the house.’",ex:5.29,\gll Ko mate atu \ꞌana ki \textbf{te} \textbf{vai} mo unu. | \gls PRF die away CONT to ART water for drink | \glt ‘I’m dying for water to drink.’,ex:5.30,\gll \textbf{Te} \textbf{haŋa} rahi pa he manu era he paloma... | \gls ART love much like PRED bird DIST PRED dove | \glt ‘Great love is like a dove...’,,,,,,,,,,,,,,
,Determiners\label{sec:5.3,The function of the article te\label{sec:5.3.3,,,"A noun phrase is also non-specific\is{Specific reference!non-specific reference} when its referent is hypothetical. This happens for example when the item is desired or sought as in (\ref{ex:5.34}–\ref{ex:5.35}), denied as in \REF{ex:5.36}, or its existence is questioned as in \REF{ex:5.37}. In all these examples, the referent has not been mentioned in the preceding context, but even so, te is used:",ex:5.34,\gll ...mo ai o te moni mo ho\ꞌo mai i \textbf{te} \textbf{haraoa}. | \gls ~~~for exist of ART money for trade hither ACC ART bread | \glt ‘(He sells food) in order to have money to buy bread.’,ex:5.35,\gll He kī ō\ꞌoku ki tō\ꞌoku ŋā poki taina era mo oho o mātou mo kimi i \textbf{te} \textbf{pipi}. | \gls NTR say POSS.1SG.O to POSS.1SG.O PL child sibling DIST for go of 1PL.EXCL for search ACC ART shell | \glt ‘I told my brothers and sisters that we would go to look for shells.’,ex:5.36,\gll \ꞌIna ko kai i \textbf{te} \textbf{kai} mata. | \gls NEG NEG.IPFV eat ACC ART food raw | \glt ‘Don’t eat raw food.’,ex:5.37,\gll —¿E ai rō \ꞌā \textbf{te} \textbf{ika} o roto? —\ꞌIna e tahi. | \gls ~~~~IPFV exist EMPH CONT ART fish of inside ~~~NEG~ NUM one | \glt ‘—Are there any fish inside? —Not one.’,,,,,,,,,,,,
,Determiners\label{sec:5.3,The function of the article te\label{sec:5.3.3,,,when the noun itself is questioned by the interrogative adjective hē ‘which’: see example \REF{ex:5.18} in \sectref{sec:5.3.2.2}.,ex:5.18,\gll ¿\ꞌI \textbf{kona} \textbf{hē} te māmoe nei? | \gls ~at place CQ ART sheep PROX | \glt ‘Where is this sheep?’,,,,,,,,,,,,,,,,,,
,Determiners\label{sec:5.3,The function of the article te\label{sec:5.3.3,,,"when the noun phrase occurs immediately after the negator \textit{{\ꞌ}ina} (\sectref{sec:10.5.1}, esp. (\ref{ex:10.94}–\ref{ex:10.96})):\footnote{Notice that the use of he\is{he (nominal predicate marker)} rather than te in this example cannot be explained as an existential construction. This sentence is not a negation of ‘there was an old woman who went down to Hanga Roa’, but refers to a definite woman, as the demonstrative nei indicates. Even so, the negation triggers the use of the predicate marker instead of the referential article.}",ex:10.94,\gll \ꞌIna \textbf{he} \textbf{rū\ꞌau} \textbf{nei} he turu mai ki Haŋa Roa. | \gls NEG PRED old_woman PROX NTR go_down hither to Hanga Roa | \glt ‘This old women did not go down to Hanga Roa.’,ex:10.96,"\gll ¿\ꞌIna \ꞌō \textbf{he} \textbf{mata} o Hotu \ꞌIti he taŋitaŋi ki te Tūpāhotu? | \gls ~~NEG really PRED tribe of Hotu Iti PRED cry:RED to ART Tupahotu | \glt ‘The tribe of Hotu Iti doesn’t mourn for the Tupahotu, does it?’",,,,,,,,,,,,,,,,
,Determiners\label{sec:5.3,The predicate marker he\label{sec:5.3.4,He is a determiner\label{sec:5.3.4.2,,"Likewise, he it is excluded when the noun phrase contains a prenominal numeral. Here is an example with a noun phrase following the negation \textit{{\ꞌ}ina}, a context in which normally he would be used (see \ref{ex:5.48} above):",ex:5.48,\gll \textbf{\ꞌIna} \textbf{he} \textbf{rū\ꞌau} \textbf{nei} he turu mai ki Haŋa Roa. | \gls NEG PRED old_woman PROX NTR go_down hither to Hanga Roa | \glt ‘This old woman did not go down to Hanga Roa.’,,,,,,,,,,,,,,,,,,
