Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,The structure of the verb phrase\label{sec:7.1,,,,"The preverbal constituents 2–5 may occur in different orders, depending on their relative scope. For examples, see (\ref{ex:7.96}–\ref{ex:7.99}) on p.~\pageref{ex:7.99}.",ex:7.96,"\gll ¡\ꞌĒē, ka \textbf{\ꞌata} \textbf{ao} mai ki a au! | \gls ~yes IMP more serve_food hither to PROP 1SG | \glt ‘Yes please, serve me some more.’",ex:7.99,\gll ...te tire e haŋa rō \ꞌā mo \textbf{haka} \textbf{\ꞌata} \textbf{māramarama} i a rāua. | \gls ~~~ART Chilean IPFV want EMPH CONT for CAUS more intelligent ACC PROP 3PL | \glt ‘...Chileans who want to pass themself off as smarter (lit. to cause them to be smarter).’,,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,The obligatoriness of aspectuals\label{sec:7.2.2,,,"Otherwise, aspectuals are occasionally omitted clause-initially (and especially sen\-tence-initially) in an informal style, if the verb is followed by one or more postverbal particles. As the following examples show, different aspectuals can be omitted. In \REF{ex:7.1}, the perfect aspect marker ko is implied; the usual perfect aspect construction is \textit{ko V {\ꞌ}ā} (\sectref{sec:7.2.7}). In \REF{ex:7.2}, neutral he is implied: the verb is followed by \textit{rō {\ꞌ}ai}, which points towards the construction \textit{he V rō {\ꞌ}ai}\is{he (aspect marker)!he V rō {\ꞌ}ai} (\sectref{sec:7.2.3.3}); the second clause in \REF{ex:7.2} shows the same construction in full, with aspect marker.",ex:7.1,\gll Pae tahi \textbf{\ꞌā} te taŋata mo māta\ꞌita\ꞌi. | \gls go_all all CONT ART person for observe | \glt ‘All the people went to watch.’,ex:7.2,"\gll Noho \textbf{rō} \textbf{\ꞌai} te tau\ꞌa, he rakerake rō \ꞌai ararua \ꞌaro. | \gls stay EMPH SUBS ART battle NTR bad:RED EMPH SUBS the_two side | \glt ‘The battle went on, it got bad on both sides.’",ex:7.2,"\gll Noho \textbf{rō} \textbf{\ꞌai} te tau\ꞌa, he rakerake rō \ꞌai ararua \ꞌaro. | \gls stay EMPH SUBS ART battle NTR bad:RED EMPH SUBS the_two side | \glt ‘The battle went on, it got bad on both sides.’",,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Neutral he\label{sec:7.2.3,\is{he (aspect marker)|(Introduction\label{sec:7.2.3.1,,"In many cases, a he{}-marked clause depends on other clauses in the context for its aspectual value. In narrative, a perfective clause may set the scene, after which a series of he{}-marked clauses follow (see \REF{ex:7.4} below). Another example: he may mark a series of instructions, but only when the first of these is explicitly marked as imperative\is{Imperative} (see \REF{ex:7.5} below).",ex:7.4,"\gll \textbf{I} poreko \textbf{era} a Puakiva, \textbf{he} māuiui a Kuha, tō\ꞌona matu\ꞌa vahine. | \gls PFV born DIST PROP Puakiva NTR sick PROP Kuha POSS.3SG.O parent female | \glt ‘When Puakiva was born, his mother Kuha got sick.’",ex:7.5,Not found,,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Neutral he\label{sec:7.2.3,\is{he (aspect marker)|(Introduction\label{sec:7.2.3.1,,"\paragraph{}\label{sec:7.2.3.2.2} He{}-marked clauses may refer to durative\is{Aspect!durative} or habitual\is{Aspect!habitual} actions as in \REF{ex:7.6},\footnote{\label{fn:317}To mark durativity or habituality explicitly, e V era\is{e (imperfective)!e V PVD} or \textit{e V {\ꞌ}ā/{\ꞌ}ana} is used (\sectref{sec:7.2.5.4}).} or general truths as in \REF{ex:7.7}.",ex:7.6,\gll Paurō te mahana \textbf{he} turu au ki te hāpī. | \gls every ART day NTR go_down 1SG to ART learn | \glt ‘Every day I go to school.’,ex:7.7,\gll \textbf{He} hīmene te perete\ꞌi. \textbf{He} kirukiru te manu. \textbf{He} \ꞌūmō te pua\ꞌa. | \gls NTR sing ART cricket NTR chirp ART bird NTR moo ART cow | \glt ‘Crickets sing. Birds chirp. Cows bellow.’,,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Neutral he\label{sec:7.2.3,\is{he (aspect marker)|(Introduction\label{sec:7.2.3.1,,"\paragraph{}\label{sec:7.2.3.2.3} He is used with stative verbs\is{Verb!stative} (including adjectives) to express a state of affairs which holds at the time of reference. This may be the time of speech as in \REF{ex:7.8}, or the time of the narrative as in \REF{ex:7.9}.",ex:7.8,"\gll \textbf{He} \textbf{nene} nō ta\ꞌa ika mata, e nua ē. | \gls NTR sweet just POSS.2SG.A fish raw VOC Mum VOC | \glt ‘Your raw fish is really nice, Mum.’",ex:7.9,"\gll He topa te poki tamahahine... He hāŋai i a Uho, \textbf{he} \textbf{nuinui}. | \gls NTR descend ART child female NTR feed ACC PROP Uho NTR big:RED | \glt ‘A girl was born... They raised Uho and she grew up.’",,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Neutral he\label{sec:7.2.3,\is{he (aspect marker)|(Introduction\label{sec:7.2.3.1,,\paragraph{}\label{sec:7.2.3.2.4} He-marked clauses may express events that are about to happen or foreseen in the (near) future\is{Future}. The time frame is established in the context (‘next year’ in \REF{ex:7.10}).,ex:7.10,\gll Matahiti ena \textbf{he} \textbf{hoki} a au ki te hāpī. | \gls year MED NTR return PROP 1SG to ART learn | \glt ‘Next year I will return to school.’,,,,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Neutral he\label{sec:7.2.3,He and postverbal particles\label{sec:7.2.3.3,,"\textit{He V rō {\ꞌ}ai}\is{he (aspect marker)!he V rō {\ꞌ}ai} is also used at points of emotional intensity; in the following example (from the same story as \REF{ex:7.12}), the mother is grieved because her child has disappeared.",ex:7.12,\gll He tute he oho e te vi\ꞌe nei... \ꞌe \textbf{he} \textbf{ŋaro} \textbf{rō} \textbf{atu} \textbf{\ꞌai}. | \gls NTR chase NTR go AG ART woman PROX and NTR disapeaar EMPH away SUBS | \glt ‘The woman chased the fish.... but it disappeared.’,,,,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Perfective i\label{sec:7.2.4,,,"Perfective aspect is naturally correlated with past tense \citep[72]{Comrie1976}, and in fact, i usually marks events in the past\is{Past}. I has been characterised as a past tense marker in several descriptions of Rapa Nui and other Polynesian languages.\footnote{\label{fn:320}See \citet[156]{DuFeu1996} for Rapa Nui, \citet{MutuTeìkitutoua2002} for \ili{Marquesan}, \citet[172]{AcadémieTahitienne1986} for \ili{Tahitian}, \citet[34]{Biggs1973} for \ili{Māori}. Note that \citet[153]{Chapin1978} labels Rapa Nui i as perfective.} In non-narrative contexts i is the common aspectual for past events, as the following examples show. As \REF{ex:7.17} shows, it may also express general facts about the past.",ex:7.17,"\gll Te me\ꞌe o te mātāmu\ꞌa me\ꞌe ta\ꞌe vānaŋa, \textbf{i} \textbf{mou} \textbf{nō}. | \gls ART thing of ART past thing CONNEG talk PFV quiet just | \glt ‘The people of old used not to speak, they kept silent.’",,,,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Perfective i\label{sec:7.2.4,,,"There are cases, however, where i conveys a non-past event. For example, in \REF{ex:7.18} i is used with reference to the future:",ex:7.18,"\gll \textbf{I} \textbf{o\ꞌo} \textbf{era} koe ki roto i tu\ꞌu hare era e noho koe. | \gls PFV enter DIST 2SG to inside at POSS.2SG.O house DIST IPFV stay 2SG | \glt ‘When you have entered into your house, stay there.’",,,,,,,,,,,,,,,,,,
,Aspect marking\label{sec:7.2,Perfective i\label{sec:7.2.4,,,"\subparagraph{Background} I{}-marked clauses may express background information. For example, in the introduction of a story, i{}-clauses may serve to set the stage by telling what happened before the beginning of the story, as in \REF{ex:7.24}. I-marked clauses may also express restatements or clarifications, as in \REF{ex:7.25}.\footnote{\label{fn:321}Similarly, i{}-marked clauses may express background events in subordinate clauses (\sectref{sec:11.6.2.2}).}",ex:7.24,"\gll Te ara nei o te nu\ꞌu nei, \textbf{i} \textbf{e\ꞌa} \textbf{ai} mai Haŋa Roa o Tai \ꞌi ruŋa o te vaka nei. | \gls ART way PROX of ART people PROX PFV go_out PVP from Hanga Roa o Tai at above of ART boat PROX | \glt ‘As to these people’s trip, they had left Hanga Roa o Tai by boat.’",ex:7.25,"\gll ...he iri he oho ki te kona hare era. \textbf{I} \textbf{tahuti} a Tiare \textbf{i} \textbf{iri} \textbf{ai} ki te kona hare era. | \gls ~~~NTR ascend NTR go to ART place house DIST PFV run PROP Tiare PFV ascend PVP to ART place house DIST | \glt ‘...she went up to her home. Running, Tiare went up to her home.’",,,,,,,,,,,,,,,,
