Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Introduction; constituent order\label{sec:8.1,,,,"As pointed out above, most of this chapter will be concerned with the order of constituents and the marking of S, A and O arguments.\footnote{\label{fn:379}See Footnote \ref{fn:109} on p.~\pageref{fn:109} on the terms S, A and O. In this grammar, any clause in which an O argument is either expressed or implied, is counted as transitive\is{Verb!transitive} (regardless other arguments); a clause without an expressed or implied O is considered intransitive (cf. (\ref{ex:3.84}–\ref{ex:3.86}) on p.~\pageref{ex:3.84})\is{Verb!intransitive}. Verbs with a nominalised verb\is{Verb!nominalised} as complement are counted as transitive\is{Verb!transitive}; verbs with a subordinate clause as complement are counted as intransitive\is{Verb!intransitive}.} A preliminary question concerns the expression of these arguments as such. The verb phrase is the only obligatory element in the verbal clause: any argument can be omitted if its identity is understood from the context. In discourse, both S/A and O are usually left implicit when they are identical to a constituent in the previous clause. An example in which both A and O are implied, is the following:",ex:3.84,\gll Kai haŋa a Puakiva mo kai i tū kai era. | \gls NEG.PFV want PROP Puakiva for eat ACC DEM food DIST | \glt ‘Puakiva did not want to eat that food.’,ex:3.86,\gll ¿Ko kai \ꞌā koe? | \gls ~PRF eat CONT 2SG | \glt ‘Have you eaten?’,,,,,,,,,,,,,,,,
,Case marking: introduction\label{sec:8.2,Case in Rapa Nui\label{sec:8.2.2,,,"Transitive\is{Verb!transitive} verbs – both canonical and middle verbs\is{Verb!middle} – occur both in pattern I as in \REF{ex:8.2} above, and in pattern III as in \REF{ex:8.6} below (in this example, the order is V O eA).",ex:8.2,\gll He hakaroŋo mai \textbf{tū} \textbf{taŋata} \textbf{era} i tū vehi era. | \gls NTR listen hither DEM man DIST ACC DEM song DIST | \glt ‘The man listened to that song.’,ex:8.6,\gll He mātaki mai \textbfØ te ivi o Ure o Hei \textbf{e} te taŋata. | \gls NTR open hither ~ ART bone of Ure o Hei AG ART man | \glt ‘The man unpacked the bones of Ure o Hei.’,,,,,,,,,,,,,,,,
,Case marking: introduction\label{sec:8.2,Case in Rapa Nui\label{sec:8.2.2,,,This pattern is illustrated in \REF{ex:8.3} above.,ex:8.3,\gll He hakaroŋo atu \textbf{e} \textbf{tū} \textbf{taŋata} \textbf{era} i tū vehi era. | \gls NTR listen away AG DEM man DIST ACC DEM song DIST | \glt ‘The man listened to that song.’,,,,,,,,,,,,,,,,,,
,Marking of S/A: the agentive marker e\label{sec:8.3,,,,"In some cases e{}-marking can be explained as disambiguation, as omission of the case marker would lead to ambiguity: in \REF{ex:8.11} the hānau momoko could also be interpreted as O, were it not for the case marker. But in other cases the sentence is unambiguous: in \REF{ex:8.12}, the verb hāŋai ‘feed, raise up’ is used, which always has the parent as Agent and the child as Patient; even so, e is used.",ex:8.11,\gll He hakarere \textbf{e} te hānau momoko. | \gls NTR leave AG ART race slender | \glt ‘The ‘slender race’ left them.’,ex:8.12,"\gll I poreko era te poki nei, he hāŋai \textbf{e} te rū\ꞌau nei ararua ko tā\ꞌana kenu. | \gls PFV born DIST ART child PROX NTR feed AG ART old_woman PROX the_two PROM POSS.3SG.A husband | \glt ‘When this child was born, the old woman raised it with her husband.’",,,,,,,,,,,,,,,,
,Marking of S/A: the agentive marker e\label{sec:8.3,,,,"However, the notion of agentivity as involving a volitional participant deliberately performing the action, may be too narrow. While Agents are typically animate\is{Animacy}, e{}-marked constituents sometimes refer to an inanimate entity causing an event; this semantic role can be labelled Force \citep[47]{Payne1997}. This happens especially in passives (see \REF{ex:8.54} in \sectref{sec:8.5.1} below) and pseudopassives (\sectref{sec:8.5.2}, ex. \REF{ex:8.61}). The fact that e is used with inanimate entities, may indicate a gradual widening of its use, whereby ‘agentivity’ is defined in a looser way.",ex:8.54,\gll A totoru ko haka vari tahi \ꞌana \textbf{e} \textbf{te} \textbf{pūai} \ꞌana\ꞌana o te \ꞌAtua. | \gls PROP RED:three PRF CAUS pass all CONT AG ART power splendour of ART God | \glt ‘The three were completely surrounded by the glorious power of God.’,ex:8.61,\gll ¿E hia motu noho e te taŋata? | \gls ~NUM how_many island stay AG ART man | \glt ‘How many inhabited islands are there? (lit. How many islands lived by people)’,,,,,,,,,,,,,,,,
,Marking of S/A: the agentive marker e\label{sec:8.3,E with statives?\label{sec:8.3.1.3,,,"While this is indeed an e{}-marked S with a non-agentive verb, it seems to be a slender basis to deny the agentivity of e. Notice that this is a single isolated example; it occurs without context in Englert’s grammar sketch as an example of the future tense marked with e V rō. Secondly, the same sentence does in fact occur in a text by Englert (a translated Bible story), but there e is absent: e~ora rō ia (Egt-03.041). This raises the question if \REF{ex:8.17} is not erroneous, or at least anomalous.",ex:8.17,\gll E ora rō \textbf{e} \textbf{ia}. | \gls IPFV live EMPH AG 3SG | \glt ‘He will live.’,,,,,,,,,,,,,,,,,,
,Marking of S/A: the agentive marker e\label{sec:8.3,E with statives?\label{sec:8.3.1.3,,,"Finally, e may be used when an Agent is emphatic because it is contrasted with other possible participants. This happens when it is singled out among a group (as in \REF{ex:8.21} above), when it is followed by \textit{{\ꞌ}ā/{\ꞌ}ana}\is{a (identity)@{\ꞌ}ā (identity)} ‘identity marker’ (see (\ref{ex:8.13}–\ref{ex:8.14}) above), and in examples like the following:",ex:8.21,"\gll I \ꞌōtea era he e\ꞌa mai a Kaiŋa ararua ko Huri \ꞌa Vai ki haho, he kī \textbf{e} \textbf{Kaiŋa}... | \gls PFV dawn DIST NTR go_out hither PROP Kainga the_two PROM Huri a Vai to outside NTR say AG Kainga | \glt ‘When dawn broke, Kainga went outside with Huri a Vai; then Kainga said...’",ex:8.13,\gll He mātaki \textbf{e} \textbf{ia} \textbf{mau} \textbf{\ꞌā}. | \gls NTR open AG 3SG really IDENT | \glt ‘(His knock was not answered so) he opened [the door] himself.’,ex:8.14,\gll \textbf{E} \textbf{rāua} \textbf{mau} \textbf{\ꞌana} ka \ꞌa\ꞌamu nei i te rāua \ꞌati. | \gls AG 3PL really IDENT CNTG tell PROX ACC ART 3PL problem | \glt ‘They themselves told (about) their misfortune.’,,,,,,,,,,,,,,
,Marking of O\label{sec:8.4,\is{Case marking!object|(\is{Object|(Use and non-use of the accusative marker\label{sec:8.4.1,,,The accusative marker\is{i (accusative marker)} is used whether A is expressed – postverbal as in \REF{ex:8.24} or preverbal as in \REF{ex:8.25} – or implicit as in (\ref{ex:8.26}–\ref{ex:8.27}):,ex:8.24,\gll E ma\ꞌu mai \ꞌā a mātou \textbf{i} \textbf{te} \textbf{rēkaro} \textbf{nei} mā\ꞌau. | \gls IPFV carry hither CONT PROP 1PL.EXCL ACC ART present DIST BEN.2SG.A | \glt ‘We bring this present for you.’,ex:8.25,\gll Te ŋā vi\ꞌe e uruuru rō \ꞌā \textbf{i} \textbf{te} \textbf{kahu} \textbf{kākaka}. | \gls ART PL woman IPFV put_on:RED EMPH CONT ACC ART clothes banana_fibres | \glt ‘The women wore banana fibre dresses.’,ex:8.26,\gll He hāŋai \textbf{i} \textbf{te} \textbf{moa} \textbf{i} \textbf{te} \textbf{pua\ꞌa}. | \gls NTR feed ACC ART chicken ACC ART pig | \glt ‘They raised chickens and pigs.’,ex:8.27,\gll He hakarē \textbf{i} \textbf{te} \textbf{poki}. | \gls NTR leave ACC ART child | \glt ‘They left the child behind.’,,,,,,,,,,,,
,Marking of O\label{sec:8.4,\is{Case marking!object|(\is{Object|(Use and non-use of the accusative marker\label{sec:8.4.1,,,"These examples also illustrate that the accusative marker\is{i (accusative marker)} is used whether O is \is{Specific reference}definite or indefinite (as in \REF{ex:8.25}), and whether it is human or non-human (as in \REF{ex:8.26}). Moreover, disambiguation does not play a role in the use of the accusative marker\is{i (accusative marker)}: in all these examples it is semantically clear that the underlined NP must be O, yet the accusative marker\is{i (accusative marker)} is used.",ex:8.25,\gll Te ŋā vi\ꞌe e uruuru rō \ꞌā \textbf{i} \textbf{te} \textbf{kahu} \textbf{kākaka}. | \gls ART PL woman IPFV put_on:RED EMPH CONT ACC ART clothes banana_fibres | \glt ‘The women wore banana fibre dresses.’,ex:8.26,\gll He hāŋai \textbf{i} \textbf{te} \textbf{moa} \textbf{i} \textbf{te} \textbf{pua\ꞌa}. | \gls NTR feed ACC ART chicken ACC ART pig | \glt ‘They raised chickens and pigs.’,,,,,,,,,,,,,,,,
,Marking of O\label{sec:8.4,\is{Case marking!object|(\is{Object|(Use and non-use of the accusative marker\label{sec:8.4.1,,,"\subparagraph{Preverbal} Preverbal O is unmarked, just like preverbal S/A. This happens both in OVA clauses \REF{ex:8.28} and in AOV clauses \REF{ex:8.29}:",ex:8.28,\gll \ꞌO ira \textbf{au} i haka \ꞌariki ai e to tāua matu\ꞌa. | \gls because_of ANA 1SG PFV CAUS king PVP AG ART:of 1DU.INCL parent | \glt ‘Therefore our father made me king.’,ex:8.29,\gll O te rūhia ia \textbf{te} \textbf{hoho\ꞌa} \textbf{nei} i to\ꞌo. | \gls of ART tourist then ART image PROX PFV take | \glt ‘(It was) the tourists (who) took this photo.’,,,,,,,,,,,,,,,,
