Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,NP NP clauses\label{sec:9.2,Classifying clauses\label{sec:9.2.1,,,"\is{Constituent order}The predicate may also come first. This happens only when the subject is well-es\-tab\-lished, i.e. topical\is{Topic, topicality} in discourse; it tends to be expressed by a pronoun as in \REF{ex:9.4}, or a generic noun phrase as in \REF{ex:9.5}. In this construction, the predicate is prominent. In \REF{ex:9.5}, for example, the predicate conveys unexpected, surprising information.",ex:9.4,"\gll E ai rō \ꞌā e tahi taŋata tire, \textbf{he} \textbf{piroto} \textbf{\ꞌavione} a ia. | \gls IPFV exist EMPH IDENT NUM one person Chile PRED pilot airplane PROP 3SG | \glt ‘There was one Chilean, he was an airplane pilot.’",ex:9.5,"\gll \textbf{He} \textbf{taŋata} tau manu era, \textbf{he} \textbf{poki} \textbf{\ꞌa} \textbf{Uho} tau manu era. | \gls PRED person DEM bird DIST PRED child of.A Uho DEM bird DIST | \glt ‘That bird was a human being, that bird was Uho’s child.’",ex:9.5,"\gll \textbf{He} \textbf{taŋata} tau manu era, \textbf{he} \textbf{poki} \textbf{\ꞌa} \textbf{Uho} tau manu era. | \gls PRED person DEM bird DIST PRED child of.A Uho DEM bird DIST | \glt ‘That bird was a human being, that bird was Uho’s child.’",,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Classifying clauses\label{sec:9.2.1,,,"In \REF{ex:9.6}, Tangaroa (who has transformed himself into a seal, and is mistaken for a seal by the people) wants to emphasise that he is the king, not a real seal as the people think. The predicate \textit{he {\ꞌ}ariki} is counterexpectative and occurs before the subject.\footnote{\label{fn:460}Notice that ko Taŋaroa, which is an apposition\is{Apposition} to the predicate, is not fronted but remains in its post-subject position; see sec. \sectref{sec:9.2.5} for more examples of split predicates.}",ex:9.6,\gll He raŋi mai te re\ꞌo o te pakia: ‘\textbf{He} \textbf{\ꞌariki} au ko Taŋaroa’. | \gls NTR call hither ART voice of ART seal PRED king 1SG PROM Tangaroa | \glt ‘The voice of the seal cried: I am king Tangaroa.’,,,,,,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Identifying clauses\label{sec:9.2.2,,,"As both noun phrases are referential\is{Referentiality} and definite\is{Definiteness}, and both refer to the same entity, it is not always clear which NP is subject and which is predicate. Constituent order\is{Constituent order} cannot be used as the sole criterion, as both subject and predicate of a nominal clause\is{Clause!nominal} may come first.\footnote{\label{fn:461}See examples (\ref{ex:9.1}–\ref{ex:9.6}) in classifying clauses\is{Clause!classifying}; the same is true in other types of nominal clauses\is{Clause!nominal}, e.g. locative clauses (\sectref{sec:9.4.1}).} It is even questionable whether the term predicate is appropriate at all in identifying clauses\is{Clause!identifying} (see \citealt[440]{Anderson2004}): as both noun phrases are referential expressions, they are fundamentally different from predicates, which designate properties or events rather than referring to entities.",ex:9.1,\gll A Thor Heyerdahl he científico e tahi. | \gls PROP Thor Heyerdahl NTR scientist NUM one | \glt ‘Thor Heyerdahl was a scientist.’,ex:9.6,\gll He raŋi mai te re\ꞌo o te pakia: ‘\textbf{He} \textbf{\ꞌariki} au ko Taŋaroa’. | \gls NTR call hither ART voice of ART seal PRED king 1SG PROM Tangaroa | \glt ‘The voice of the seal cried: I am king Tangaroa.’,,,,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Identifying clauses\label{sec:9.2.2,,,"Even so, the terms subject and predicate may be used in identifying clauses\is{Clause!identifying} in a loose way, in the sense that the subject is the entity to be identified, and the predicate is the identifying expression. In some cases it is clear which NP is the subject, as this NP functions as discourse topic\is{Topic, topicality}. In other cases, however, it is difficult to identify subject and predicate – unless we adopt a simple syntactic definition. As indicated above, in every identifying clause one noun phrase is marked with ko, while the other is an unmarked NP. Taking the ko{}-marked NP as predicate provides a simple criterion. Moreover, this analysis coincides with the intuitive assignment of subject and predicate in those cases where the distinction is clear: in examples like \REF{ex:9.11}, it is clear that the unmarked NP is subject, while the ko-marked NP serves to identify this subject.",ex:9.11,\gll Te ŋāŋata mātāmu\ꞌa o Rapa Nui ko te \ꞌariki era ko Hotu Matu\ꞌa ananake ko tō\ꞌona hua\ꞌai. | \gls ART men first of Rapa Nui PROM ART king DIST PROM Hotu Matu’a together PROM POSS.3SG.O family | \glt ‘The first people of Rapa Nui were king Hotu Matu’a with his family.’,,,,,,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Identifying clauses\label{sec:9.2.2,,,"In \REF{ex:9.14} above, the pronoun is not marked with ko when the other constituent is a proper noun. There are also a few cases in the corpus where a pronoun and a proper noun are both ko{}-marked. Two examples are provided below:",ex:9.14,\gll A au \textbf{ko} \textbf{Omoaŋa}. | \gls PROP 1SG PROM Omoanga | \glt ‘I am Omoanga.’,,,,,,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Identifying clauses\label{sec:9.2.2,,,"If the pronoun is taken as the subject, these clauses are counterexamples to the claim that only the predicate is marked with ko. However, a different analysis is also possible: the pronoun can be analysed as the predicate (with implicit subject), with the proper noun added as apposition\is{Apposition}, ‘It’s me, Totimo’. In both examples above this analysis is plausible. In \REF{ex:9.17}, for example, the situation is as follows: there is a blind girl, Mahina Tea, who knows a boy called Totimo. Totimo walks up to her, embraces her and utters the clause quoted here. An analysis as predicate + apposition\is{Apposition} is appropriate here.\footnote{\label{fn:463}This analysis is reinforced by the fact that in some cases the two constituents are separated by a comma:",ex:9.17,\gll Ko au ko Totimo. | \gls PROM 1SG PROM Totimo | \glt ‘I am Totimo.’,,,,,,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Comparing classifying and identifying clauses\label{sec:9.2.3,,,"To give an example, in the context preceding \REF{ex:9.20} above, there has been no mention of the son of the sun and the high God, so the hearer does not necessarily know that there is such a person as the child of the sun, or that the people in the story had a high God at all. Therefore, this person is not accessible to the hearer. By contrast, in \REF{ex:9.23}, ‘those witches’ refers to witches who have been mentioned earlier in the story; the identifying clause enables the hearer to identify this known entity with the subject ‘those people’. Similarly, in \REF{ex:9.24} the speaker refers to a type of fishing line which he assumes to be known by the hearer (even though it has not been mentioned in the text itself).",ex:9.20,\gll A Tiki \textbf{he} \textbf{poki} o te ra\ꞌā \ꞌe \textbf{he} \textbf{\ꞌatua} \textbf{rahi} o rāua. | \gls PROP Tiki PRED child of ART sun and PRED god great of 3PL | \glt ‘Tiki was the son of the sun and their high God.’,ex:9.23,\gll He \ꞌite ia Tu\ꞌu Koihu \ꞌi tū hora era tū ŋā nu\ꞌu era \textbf{ko} \textbf{tū} \textbf{ŋā} \textbf{tahutahu} \textbf{era}. | \gls NTR know then Tu’u Koihu at DEM time DIST DEM PL people DIST PROM DEM PL witch DIST | \glt ‘At that moment Tu’u Koihu knew that those people (whom he saw) were those witches.’,ex:9.24,"\gll Te hau era, ho\ꞌi, e hī era \textbf{ko} \textbf{te} \textbf{ŋā} \textbf{hau} \textbf{hiro} \textbf{era} e toru kave. | \gls ART cord DIST indeed IPFV to_fish DIST PROM ART PL cord braid DIST NUM three fibre | \glt ‘(in a description of fishing techniques:) The lines they fished with, were those lines braided with three strands.’",,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Comparing classifying and identifying clauses\label{sec:9.2.3,,,"The referent of a noun phrase in an identifying clause must not only be unique and accessible\is{Accessibility}, it also needs to be a specific\is{Specific reference}, bounded entity. In the following two examples, the predicate noun phrase could be considered as unique and accessible; nevertheless, it is marked with he\is{he (nominal predicate marker)}, i.e. the construction is a classifying clause\is{Clause!classifying}. In \REF{ex:9.25}, the noun phrase refers to priests in general, not to any specific priest. Likewise, in \REF{ex:9.26}, the reference is to adults in general.\footnote{\label{fn:466}These examples are cleft\is{Cleft} constructions, which are discussed in more detail in sec. \sectref{sec:9.2.6} below.}",ex:9.25,\gll \textbf{He} \textbf{ivi\ꞌatua} \textbf{nō} te kope era e puā era \ꞌi te ta\ꞌu era i a ia te \ꞌao. | \gls PRED priest just ART person DIST IPFV touch DIST at ART year DIST at PROP 3SG ART reign | \glt ‘The priest was the only person (lit. only the priest was the person) who would touch him (te bird man) in the year in which he reigned.’,ex:9.26,"\gll Te ŋā poki ko \ꞌite \ꞌana o ruŋa i te me\ꞌe ta\ꞌato\ꞌa o te naonao \ꞌe \textbf{he} \textbf{pa\ꞌari} te me\ꞌe i ta\ꞌe \ꞌite. | \gls ART PL child PRF know CONT of above at ART thing all of ART mosquito and PRED adult ART thing PFV CONNEG know | \glt ‘The children know everything about the mosquitoes, and the adults are the ones who don’t know.’",,,,,,,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Constituent order in identifying clauses\label{sec:9.2.4,,,"The order of constituents in an identifying clause depends to some extent on the type of noun phrases involved. When both constituents are common noun phrases, the predicate usually occurs after the subject, as illustrated in (\ref{ex:9.23}–\ref{ex:9.24}) and \REF{ex:9.11} above. The predicate may come first when it conveys significant and possibly surprising information as in \REF{ex:9.27}, or when it is a discourse topic established in the preceding context as in \REF{ex:9.28}.\footnote{\label{fn:467}Cf. \citet{Levinsohn2007}: prominence may involve both new information (focal prominence) and established information (thematic\is{Thematicity} prominence).}",ex:9.23,\gll He \ꞌite ia Tu\ꞌu Koihu \ꞌi tū hora era tū ŋā nu\ꞌu era \textbf{ko} \textbf{tū} \textbf{ŋā} \textbf{tahutahu} \textbf{era}. | \gls NTR know then Tu’u Koihu at DEM time DIST DEM PL people DIST PROM DEM PL witch DIST | \glt ‘At that moment Tu’u Koihu knew that those people (whom he saw) were those witches.’,ex:9.24,"\gll Te hau era, ho\ꞌi, e hī era \textbf{ko} \textbf{te} \textbf{ŋā} \textbf{hau} \textbf{hiro} \textbf{era} e toru kave. | \gls ART cord DIST indeed IPFV to_fish DIST PROM ART PL cord braid DIST NUM three fibre | \glt ‘(in a description of fishing techniques:) The lines they fished with, were those lines braided with three strands.’",ex:9.11,\gll Te ŋāŋata mātāmu\ꞌa o Rapa Nui ko te \ꞌariki era ko Hotu Matu\ꞌa ananake ko tō\ꞌona hua\ꞌai. | \gls ART men first of Rapa Nui PROM ART king DIST PROM Hotu Matu’a together PROM POSS.3SG.O family | \glt ‘The first people of Rapa Nui were king Hotu Matu’a with his family.’,ex:9.27,"\gll Ta\ꞌe he \ꞌatua tau me\ꞌe era, he taŋata; \textbf{ko} \textbf{te} \textbf{ŋā} \textbf{io} \textbf{era} \textbf{\ꞌĀmai} tau me\ꞌe era. | \gls CONNEG PRED god DEM thing DIST PRED person PROM ART PL youngster DIST Amai DEM thing DIST | \glt ‘These beings are not gods, they are men; these beings are the Amai guys.’",ex:9.28,\gll \textbf{Ko} \textbf{te} \textbf{me\ꞌe} \textbf{nei} te me\ꞌe u\ꞌi rahi o te mu\ꞌa \ꞌā. | \gls PROM ART thing PROX ART thing see much of ART front IDENT | \glt ‘This (= the difficulties mentioned in the previous clause) was something often seen in the past.’,,,,,,,,,,
,NP NP clauses\label{sec:9.2,Constituent order in identifying clauses\label{sec:9.2.4,,,"When the identifying clause contains a pronoun (whether subject or predicate), this is always in an initial position, as illustrated in (\ref{ex:9.13}–\ref{ex:9.14}) above.",ex:9.13,\gll Pero \textbf{ko} \textbf{au} te suerekao o te hora nei. | \gls but PROM 1SG ART governor of ART time PROX | \glt ‘But I am the governor now (or: the governor now is me).’,ex:9.14,\gll A au \textbf{ko} \textbf{Omoaŋa}. | \gls PROP 1SG PROM Omoanga | \glt ‘I am Omoanga.’,,,,,,,,,,,,,,,,
