Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
,Introduction\label{sec:11.1,,,,"In Rapa Nui, different strategies are used to combine clauses, depending on the type of clause. Some constructions have a conjunction, others have a preverbal subordinating \is{Conjunction}marker, others yet are unmarked.\footnote{\label{fn:503}The latter can be recognised as subordinate clauses by the use of the negator \textit{ta{\ꞌ}e} (see \REF{ex:11.210} on p.~\pageref{ex:11.210}), and by the use of aspectual marker (only i, e or ka; the verb is always followed by a postverbal demonstrative).} Conjunctions only occur in certain types of adverbial clauses and will be discussed in the appropriate subsections of \sectref{sec:11.6}. Preverbal markers cut through the distinction between types of subordinate clauses, therefore they are discussed separately in \sectref{sec:11.5}.",ex:11.210,"\gll \obI \textbf{ta\ꞌe} kore era tu\ꞌu tokerau era\,\cb he mana\ꞌu mo haka tītika i te vaka ki Tahiti. | \gls {\db}PFV CONNEG lack DIST POSS.2SG.O wind DIST NTR think for CAUS straight ACC ART boat to Tahiti | \glt ‘When the wind did not die down, they decided to steer the boat to Tahiti.’",,,,,,,,,,,,,,,,,,
,Coordination \label{sec:11.2,\is{Coordination|(Asyndetic and syndetic coordination\label{sec:11.2.1,,,"Old Rapa Nui did not have a coordinating conjunction\is{Conjunction}. Both phrases and clauses were linked by simple juxtaposition (i.e. asyndetic coordination, see \citealt[7]{Haspelmath2007}). \REF{ex:11.1} shows juxtaposed clauses, while \REF{ex:11.2} contains a string of juxtaposed noun phrases.",ex:11.1,"\gll He oho a te ara, he tike\ꞌa te kohe; he rei hai va\ꞌe, he hati te kohe... | \gls NTR go by ART road NTR see ART kohe NTR step INS foot NTR break ART kohe | \glt ‘He went along the road, he saw a kohe plant; he stepped on it, the kohe broke...’",ex:11.2,"\gll He māmate te taŋata, te vi\ꞌe, te poki, te korohu\ꞌa. | \gls NTR PL:die ART man ART woman ART child ART old_man | \glt ‘Men, women, children, old people died.’",,,,,,,,,,,,,,,,
,Coordination \label{sec:11.2,\is{Coordination|(Asyndetic and syndetic coordination\label{sec:11.2.1,,,"Sometimes the adverbs \textit{tako{\ꞌ}a}\is{tako{\ꞌ}a ‘also’} and hoki\is{hoki ‘also’} ‘also’ (\sectref{sec:4.5.3.2}–\ref{sec:4.5.3.3}) are used to link clauses or phrases. In \REF{ex:11.3}, two clauses with similar information about different participants are linked with \textit{tako{\ꞌ}a}. In \REF{ex:11.4}, the last item in a list of noun phrases is marked with hoki. The latter happens only in older texts.",ex:11.3,"\gll He to\ꞌo Hereveri i tō\ꞌona o te tīta\ꞌa henua, he to\ꞌo \textbf{tako\ꞌa} Te Roŋo i tō\ꞌona o te tīta\ꞌa. | \gls NTR take Hereveri ACC POSS.3SG.O of ART terrain land NTR take also Te Rongo ACC POSS.3SG.O of ART terrain | \glt ‘Hereveri took his piece of land; Te Rongo took his piece of land as well.’",ex:11.4,"\gll \ꞌI te tapa te matu\ꞌa, a koro, a nua, te uka riva, te repa riva \textbf{hoki}. | \gls at ART side ART parents PROP Dad PROP Mum PROP girl good PROP young_man good also | \glt ‘To the side are the parents, the fathers, the mothers, the pretty girls, also the handsome boys.’",,,,,,,,,,,,,,,,
,Coordination \label{sec:11.2,\is{Coordination|(Asyndetic and syndetic coordination\label{sec:11.2.1,,,"When two clauses are both under the scope of a single initial constituent, they are usually juxtaposed without conjunction\is{Conjunction} and without repetition of the initial constituent. Examples are \textit{{\ꞌ}o ira} ‘therefore’ in \REF{ex:11.13} and the interrogative phrase in \REF{ex:11.14}. As \REF{ex:11.14} also shows, verb phrase particles – both the aspectual and the negator \textit{ta{\ꞌ}e} – are repeated in the second clause.",ex:11.13,\gll \ꞌE \textbf{\ꞌo} \textbf{ira} a mātou i tu\ꞌu mai nei i \ꞌauario nei i te mōai nei. | \gls and because_of ANA PROP 1PL.EXCL PFV arrive hither PROX PFV guard PROX ACC ART statue PROX | \glt ‘And therefore we have come and put this statue under guard.’,ex:11.14,\gll ¿\textbf{He} \textbf{aha} rā ia kōrua \textbf{i} \textbf{ta\ꞌe} oho mai ai \textbf{i} \textbf{ta\ꞌe} hā\ꞌaki mai ai...? | \gls PRED what INTENS then 2PL PFV CONNEG go hither PVP PFV CONNEG inform hither PVP | \glt ‘Why didn’t you come and tell me...?’,ex:11.14,\gll ¿\textbf{He} \textbf{aha} rā ia kōrua \textbf{i} \textbf{ta\ꞌe} oho mai ai \textbf{i} \textbf{ta\ꞌe} hā\ꞌaki mai ai...? | \gls PRED what INTENS then 2PL PFV CONNEG go hither PVP PFV CONNEG inform hither PVP | \glt ‘Why didn’t you come and tell me...?’,,,,,,,,,,,,,,
,Coordination \label{sec:11.2,\is{Coordination|(Asyndetic and syndetic coordination\label{sec:11.2.1,,,"When two noun phrases are coordinated in modern Rapa Nui, they are usually linked with \textit{{\ꞌ}e}. When the list is longer than two as in \REF{ex:11.16}, \textit{{\ꞌ}e} occurs only before the last item; the other items are juxtaposed:",ex:11.16,"\gll He marere he oho rō \ꞌai te pipihoreko, te manavai \textbf{\ꞌe} te hare moa. | \gls NTR scatter NTR go EMPH SUBS ART cairn ART rock_garden and ART house chicken | \glt ‘The rock piles, the rock gardens and the chicken houses gradually fell apart.’",,,,,,,,,,,,,,,,,,
,Coordination \label{sec:11.2,\is{Coordination|(Asyndetic and syndetic coordination\label{sec:11.2.1,,,"When noun phrases marked with prepositions are coordinated, the preposition is repeated, including the accusative marker\is{i (accusative marker)} i; the last item may be preceded by \textit{{\ꞌ}e} as in (\ref{ex:11.17}–\ref{ex:11.18}), but juxtaposition is also common, as in (\ref{ex:11.19}–\ref{ex:11.20}):",ex:11.17,\gll \ꞌI roto i te piha nei a kōrua ka hāpī ena \textbf{i} te tai\ꞌo \textbf{\ꞌe} \textbf{i} te pāpa\ꞌi. | \gls at inside at ART room PROX PROP 2PL CNTG learn MED ACC ART read and ACC ART write | \glt ‘In this (class)room you will learn to read and to write.’,ex:11.18,\gll \ꞌI roto i te māhatu \textbf{o} tā\ꞌana vi\ꞌe \textbf{\ꞌe} \textbf{o} tā\ꞌana ŋā poki... | \gls at inside at ART heart of POSS.3SG.A woman and of POSS.3SG.A PL child | \glt ‘In the heart of his wife and of his children...’,ex:11.19,"\gll Kā ŋā poki he ma\ꞌu \textbf{i} te keke, \textbf{i} te haraoa, \textbf{i} te me\ꞌe. | \gls every PL child NTR carry ACC ART cake ACC ART bread ACC ART thing | \glt ‘All the children carried cakes, bread and (other) things.’",ex:11.20,\gll He hiro i te hau mo hī \textbf{o} te kahi \textbf{o} te ika. | \gls NTR braid ACC ART line for to_fish of ART tuna of ART fish | \glt ‘He braided lines for fishing tuna (and) (other) fish.’,,,,,,,,,,,,
,Coordination \label{sec:11.2,\is{Coordination|(Asyndetic and syndetic coordination\label{sec:11.2.1,,,"Despite its frequent use in everyday speech, pero is perceived as an intrusion, as witnessed by the fact that it is little used in the written texts in the corpus. In the Bible translation, it is not used at all. As \REF{ex:11.8} above shows, \textit{{\ꞌ}e} is also used in situations where other languages would have an adversative conjunction.",ex:11.8,"\gll Te \ꞌāriŋa he taŋata mau ena, \textbf{\ꞌe} te hakari he kavakava. | \gls ART face PRED person really MED and ART body NTR rib | \glt ‘Their faces were like (normal) people, but their bodies were ribs.’",,,,,,,,,,,,,,,,,,
,Coordination \label{sec:11.2,Disjunction\label{sec:11.2.2,,,"In modern Rapa Nui, disjunction is expressed by \textit{{\ꞌ}o} ‘or’\is{o ‘or’@{\ꞌ}o ‘or’|(},\footnote{\label{fn:505}This particle should not be confused with preverbal \textit{{\ꞌ}o} ‘lest’ (\sectref{sec:11.5.4}), or with the preposition \textit{{\ꞌ}o} ‘because of’ (\sectref{sec:4.7.2.2}).} a conjunction borrowed from \ili{Spanish} o. \textit{{\ꞌ}O} may connect clauses as in (\ref{ex:11.23}–\ref{ex:11.24}) or phrases as in \REF{ex:11.25}:",ex:11.23,"\gll Te ŋā kai \ꞌāpī ra\ꞌe era ana momore, ana pa\ꞌo, \textbf{\ꞌo} ana keri, e ma\ꞌu to te hare pure \ꞌi ra\ꞌe. | \gls NTR PL food new first DIST IRR RED:cut IRR chop or IRR dig IPFV carry ART:of ART house pray at first | \glt ‘The first new food which would be picked, cut or dug up, had to be taken to the church first.’",ex:11.24,"\gll ...he oho \textbf{\ꞌo} he hāpī \textbf{\ꞌo} he e\ꞌa he ha\ꞌere \textbf{\ꞌo} he oho ki kampō. | \gls ~~~NTR go or NTR learn or NTR go_out NTR walk or NTR go to countryside | \glt ‘(When his work was finished,) he would go or study or go out for a walk or go to the countryside.’",ex:11.25,\gll He \ꞌaiua i te aŋa ki a nua \textbf{\ꞌo} ki a koro. | \gls NTR help ACC ART work to PROP Mum or to PROP Dad | \glt ‘They help Mum or Dad with the work.’,,,,,,,,,,,,,,
,Coordination \label{sec:11.2,Disjunction\label{sec:11.2.2,,,"Unlike \textit{{\ꞌ}e} ‘and’, \textit{{\ꞌ}o} may also connect nouns; in that case, the parts on either side of \textit{{\ꞌ}o} are not complete noun phrases. In the following examples, \textit{{\ꞌ}o} is directly followed by the second noun; prenominal elements, such as determiners and the plural marker ŋā in \REF{ex:11.26}, precede the first noun, while the postnominal demonstrative era follows the second noun:",ex:11.26,"\gll ...\ꞌi \obte ŋā tāpati \textbf{\ꞌo} \ꞌāva\ꞌe era\,\cb e noho era \ꞌi tahatai. | \gls ~~~at {\db}ART PL week or month DIST IPFV stay DIST at coast | \glt ‘...in the weeks or months they stay on the coast.’",,,,,,,,,,,,,,,,,,
,Clausal arguments\label{sec:11.3,,,,"While independent clauses may be separated from the matrix clause by markers such as pē nei ē ‘like this, as follows’ (see e.g. \REF{ex:11.65} below), this is not possible in asyndetically coordinated clauses.",ex:11.65,\gll Ko \ꞌite rivariva \ꞌā e koe pē nei ē: ko haŋa \ꞌā a ia mo oho mo hāpī. | \gls PRF know good:RED CONT AG 2SG like PROX thus PRF want CONT PROP 3SG for go for study | \glt ‘You know very well that she wants to go and study.’,,,,,,,,,,,,,,,,,,
