Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Adjectives\label{sec:5,Attributive adjectives\label{sec:5.1,,,,"When an \isi{adjective} is neither functioning as a substantive nor serving as a \isi{predicate complement}, it occurs within the limits of a \isi{noun phrase}. When inside an NP, adjectives occur after the noun (the \isi{head} of the NP) and before the \isi{subject marker}, \isi{object marker}, or any other \isi{determiner} that may be found in an NP. Such \isi{adnominal adjective}s never occur outside the NP (i.e., \isi{discontinuous}ly). Sentences \REF{ex:adj:1} through \REF{ex:adj:4} provide examples of adjectives (in \textbf{bold}) as they appear in NPs, illustrating their postnominal position, preceding \isi{determiner}s.",ex:adj:1,\gsrc Ankam \textbf{ambi} mï tïn \textbf{njukuta} masap. | \gll ankam \textbf{ambi} mï tïn \textbf{njukuta} ma=asa-p | \gls person big 3SG.SUBJ dog small 3SG.OBJ=hit{-pfv} | \glt `The big person hit the small dog.’,ex:adj:4,Not found,,,,,,,,,,,,,,,,
Adjectives\label{sec:5,Predicative adjectives\label{sec:5.2,,,,"When adjectives function predicatively, they may receive \isi{copula}r \isi{morphology} (\sectref{sec:10.2}), although this is not obligatory (neither for adjectives nor for nouns). These predicative adjectives occur clause-finally (the position held prototypically by verbs). Examples of predicative adjectives are given in \REF{ex:adj:5}, \REF{ex:adj:6}, and \REF{ex:adj:7}.",ex:adj:5,\gsrc Mïnkïn ndï \textbf{wutota}. | \gll mïnkïn ndï \textbf{wutota} | \gls sago.species 3PL tall | \glt `The sago palms are tall.’,ex:adj:6,\gsrc Nïnji wutï ambatïm ngala \textbf{tembipe}. | \gll nï-nji wutï ambatïm ngala \textbf{tembi}=p-e | \gls 1SG-POSS foot joint PL.PROX bad=COP-DEP | \glt `My knees are bad.’,ex:adj:7,\gsrc Mï \textbf{anmapïna}. | \gll mï \textbf{anma}=p-na | \gls 3SG.SUBJ good=COP-IRR | \glt `It [= sago starch] will be good.’,,,,,,,,,,,,,,
Adjectives\label{sec:5,Substantive adjectives\label{sec:5.3,,,,"Adjectives may also function as substantives -- that is, they may have the same formal properties as prototypical nouns. In such cases, these adjectives have the same distribution as nouns. Thus, adjectives may serve as the \isi{head}s of NPs, which may themselves serve as subject \REF{ex:adj:8}, \isi{direct object} \REF{ex:adj:9}, or \isi{object of a postposition} \REF{ex:adj:10} within a clause.",ex:adj:8,\gsrc \textbf{Ambi} mï ngunanu ndïtïna. | \gll \textbf{ambi} mï ngunan=u ndï=tï-na | \gls big 3SG.SUBJ 1DU.INCL=from 3PL=take-IRR | \glt `The big man will get them from us.’,ex:adj:9,\gsrc \textbf{Tembi} ndinap. | \gll \textbf{tembi} ndï=ina-p | \gls bad 3PL=get-PFV | \glt `[I] got the bad ones [= tobacco plants].’,ex:adj:10,Not found,,,,,,,,,,,,,,
Adjectives\label{sec:5,Relationship to other word classes\label{sec:5.4,,,,"One factor complicating the task of assigning words in Ulwa to the grammatical category of \isi{adjective} is the fact that adjectives in NPs sometimes precede their \isi{head noun}s (instead of following them). While some speakers consider this order to be ungrammatical (perhaps an influence from the \isi{word order} of \ili{Tok Pisin}; see \chapref{sec:15}), it nevertheless occurs in speech, thereby making it difficult to rely on the distributional criterion that adjectives follow nouns. This adjective-noun \isi{word order} is exemplified in sentences \REF{ex:adj:11}, \REF{ex:adj:12}, and \REF{ex:adj:13}.",ex:adj:11,\gsrc \textbf{Waembïl} ankam anda i. | \gll \textbf{waembïl} ankam anda i | \gls white person SG.DIST go.PFV | \glt `That white person came.’\footnote{The form waembïl ankam ‘white person’,ex:adj:12,\gsrc \textbf{Tembi} ankam ala imba pe. | \gll \textbf{tembi} ankam ala imba p-e | \gls bad person PL.DIST night be{-ipfv} | \glt `Those bad people are around at night.’,ex:adj:13,\gsrc \textbf{Tembi} nji ala ala ndït indana. | \gll \textbf{tembi} nji ala ala ndï=tï inda-na | \gls bad thing PL.DIST PL.DIST 3PL=take walk-IRR | \glt `Those bad things -- they will bring them [here].’,,,,,,,,,,,,,,
Adjectives\label{sec:5,Relationship to other word classes\label{sec:5.4,,,,"The \isi{morphosyntactic} similarity between nouns and adjectives also makes it difficult at times to assign certain words to one class or the other. For example, the word kalam ‘knowledge’ can have either the more nominal meaning ‘knowledge, wisdom’ or the more adjectival meaning ‘knowledgeable, knowing, wise’, and it is difficult to define one of these meanings as being the primary one. Whereas in \REF{ex:adj:14} this word carries a more noun-like meaning, in \REF{ex:adj:15} it functions more like a substantive \isi{adjective} (\sectref{sec:5.3}).",ex:adj:14,\gsrc Ndawa ndïnji \textbf{kalam} andol le. | \gll ndï-awa ndï-nji \textbf{kalam} anda=ul lo-e | \gls 3PL-INT 3PL-POSS knowledge SG.DIST=with go-IPFV | \glt `They went around with their knowledge.’,ex:adj:15,\gsrc Yena ambi anda u \textbf{kalam} anda. | \gll yena ambi anda u \textbf{kalam} anda | \gls woman big SG.DIST 2SG knowledge SG.DIST | \glt `You’re a grown woman; you know well.’,,,,,,,,,,,,,,,,
Adjectives\label{sec:5,Relationship to other word classes\label{sec:5.4,,,,"Complicating matters even further is the fact that kalam ‘knowledge, knowledgeable’ very often functions like a verb. Although it does not take \is{verbal morphology} verbal \isi{TAM} \isi{morphology} but rather the \isi{copular enclitic} (thus making it resemble nouns and adjectives rather than verbs), it seems capable of taking object arguments (thus making it resemble verbs). In each of examples \REF{ex:adj:16}, \REF{ex:adj:17}, and \REF{ex:adj:18}, kalam ‘knowledge’ appears to have a \isi{direct object} argument, including \isi{proclitic} \isi{object marking} in \REF{ex:adj:16} and \REF{ex:adj:17}.",ex:adj:16,\gsrc Mï \textbf{ukalampe}. | \gll mï u=\textbf{kalam}=p-e | \gls 3SG.SUBJ 2SG=knowledge=COP-DEP | \glt `She knows you.’,ex:adj:17,\gsrc Nï ango \textbf{ndïkalam}. | \gll nï ango ndï=\textbf{kalam} | \gls 1SG NEG 3PL=knowledge | \glt `I don’t know about them.’,ex:adj:18,\gsrc Na ndï anjikakape i \textbf{kalampïna}. | \gll na ndï anjikaka=p-e i \textbf{kalam}=p-na | \gls and 3PL how=COP-DEP way knowledge=COP-IRR | \glt `And how are they going to know [good] behavior?’\footnote{See \sectref{sec:13.1.2} for the internal \isi{morphology} of anjikaka ‘how?’} (na < TP na ‘and’) [ulwa014_41:07]’,ex:adj:16,\gsrc Mï \textbf{ukalampe}. | \gll mï u=\textbf{kalam}=p-e | \gls 3SG.SUBJ 2SG=knowledge=COP-DEP | \glt `She knows you.’,ex:adj:17,\gsrc Nï ango \textbf{ndïkalam}. | \gll nï ango ndï=\textbf{kalam} | \gls 1SG NEG 3PL=knowledge | \glt `I don’t know about them.’,,,,,,,,,,
Adjectives\label{sec:5,Relationship to other word classes\label{sec:5.4,,,,"Even fairly prototypical adjectives, such as tembi ‘bad, sick, etc.’ can be employed nominally (i.e., to mean ‘badness, sickness, etc.’), as seen in \REF{ex:adj:19} and \REF{ex:adj:20}.",ex:adj:19,\gsrc \textbf{Tembi} mï makape tïlwa ndo unden. | \gll \textbf{tembi} mï maka=p-e tïlwa anda=u unda-en | \gls bad 3SG.SUBJ thus=COP-DEP road SG.DIST=from go-NMLZ | \glt `The sickness is one that goes along this kind of road.’,ex:adj:20,\gsrc \textbf{Tembi} nji ala un mat \textbf{tembi} tï mananda. | \gll \textbf{tembi} nji ala u=n u ma=tï \textbf{tembi} tï ma=na-nda | \gls bad thing PL.DIST 2SG=OBL from 3SG.OBJ=take bad take 3SG.OBJ=give-IRR | \glt `Bad things will take her from you and give her sickness.’,,,,,,,,,,,,,,,,
Adjectives\label{sec:5,Relationship to other word classes\label{sec:5.4,,,,"In example \REF{ex:adj:20} this word tembi ‘bad/badness’ functions both as an \isi{adjective} and as a noun in the same sentence (note the non-canonical order of noun and \isi{adjective} in the first NP). The sense of ‘sick’ (i.e., an adjectival meaning) is illustrated by example \REF{ex:adj:21}; here the word functions as a \isi{predicate adjective}, receiving the \isi{copular enclitic}.",ex:adj:20,\gsrc \textbf{Tembi} nji ala un mat \textbf{tembi} tï mananda. | \gll \textbf{tembi} nji ala u=n u ma=tï \textbf{tembi} tï ma=na-nda | \gls bad thing PL.DIST 2SG=OBL from 3SG.OBJ=take bad take 3SG.OBJ=give-IRR | \glt `Bad things will take her from you and give her sickness.’,ex:adj:21,\gsrc U \textbf{tembipïta}. | \gll u \textbf{tembi}=p-ta | \gls 2SG bad=COP-COND | \glt `You may be sick [someday].’,,,,,,,,,,,,,,,,
Adjectives\label{sec:5,Relationship to other word classes\label{sec:5.4,,,,"Another notable characteristic of the grammatical class of adjectives is its rather small size. Taking the definition (based both on \isi{semantics} and on \isi{syntactic} distribution) that adjectives are words that denote properties and can occur within NPs after nouns and before \isi{determiner}s, then the class of adjectives is quite small, and is, perhaps, closed. The list in \REF{ex:adj:22} contains the best exemplars of this class of adjectives. They almost all refer to physical properties.",ex:adj:22,Not found,,,,,,,,,,,,,,,,,,
Adjectives\label{sec:5,Relationship to other word classes\label{sec:5.4,,,,"The words in \REF{ex:adj:22} may come close to representing a complete list of true adjectives, at least those most commonly used in discourse. To denote most other properties that could be ascribed to nominals, Ulwa employs other grammatical strategies, such as using \isi{postpositional phrase}s or \isi{verb phrase}s. For example, the notion ‘fast’ may be expressed with a \isi{metaphor}ical \isi{postpositional phrase} apïn wat ‘on fire’, as in \REF{ex:adj:23}.",ex:adj:22,Not found,ex:adj:23,\gsrc Tïn \textbf{apïn wat} mï imbamka. | \gll tïn \textbf{apïn} \textbf{wat} mï imbam-ka | \gls dog fire atop 3SG.SUBJ run-let | \glt `The fast dog ran.’,,,,,,,,,,,,,,,,
