Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"Before examining \isi{coordination} between clauses, I consider how elements within \isi{phrase}s may be coordinated, starting with nouns within a \isi{noun phrase}. Nouns are coordinated within a \isi{noun phrase}s without any overt \isi{conjunction} or \isi{morphosyntactic} marking to indicate \isi{conjunction}. When the total \isi{number} of referents among the coordinated nouns in the NP equals two, then the entire NP may receive \isi{dual} subject marking or \isi{object marking}. When the total \isi{number} of referents is more than two, then the NP may receive \isi{plural} subject marking or \isi{object marking}. Examples \REF{ex:complex:1} through \REF{ex:complex:5} illustrate NPs in which two nouns are coordinated.",ex:complex:1,"\gsrc \textbf{Dimes Susan min} luke i mapta minji itana mane. | \gll \textbf{Dimes} \textbf{Susan} \textbf{min} luke i ma=p-ta min-nji ita-na ma-n-e | \gls [name] [name] 3DU too go.PFV 3SG.OBJ=be{-cond} 3DU-POSS build-IRR go{-ipfv-dep} | \glt `If Dimes and Susan go there, too, [then they] are going to build their [house there].’",ex:complex:5,"\gsrc Nïtïne nïnji \textbf{wutï i} tembipe. | \gll nï=tï-n-e nï-nji \textbf{wutï} \textbf{i} tembi=p-e | \gls 1SG=take-PFV-DEP 1SG-POSS leg hand bad=COP{-dep} | \glt `When it got me, my legs and arms were injured.’",,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"Although the \isi{noun phrase} in \REF{ex:complex:6} has exactly two referents, the \isi{plural} \isi{subject marker} ndï ‘\textsc{3pl}’ is used (\sectref{sec:9.1.2}).",ex:complex:6,\gsrc \textbf{Bill Elvis ndï} molop. | \gll \textbf{Bill} \textbf{Elvis} \textbf{ndï} ma=lo-p | \gls [name] [name] 3PL 3SG.OBJ=go-PFV | \glt `Bill and Elvis went there.’,,,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,Sentences \REF{ex:complex:7} and \REF{ex:complex:8} provide examples of more than two nouns being coordinated within a single NP.,ex:complex:7,"\gsrc \textbf{Awaka Mukamba Kawat ndï} mol i. | \gll \textbf{Awaka} \textbf{Mukamba} \textbf{Kawat} \textbf{ndï} ma=ul i | \gls [name] [name] [name] 3PL 3SG.OBJ=with go.PFV | \glt `Awaka, Mukamba, and Kawat came with him.’",ex:complex:8,"\gsrc \textbf{Anapa yawa ngata ndunduma ndï} wopa malanda. | \gll \textbf{anapa} \textbf{yawa} \textbf{ngata} \textbf{ndunduma} \textbf{ndï} wopa ma=la-nda | \gls sister uncle grand great-grandparent 3PL all 3SG.OBJ=eat-IRR | \glt `Sisters, uncles, grandparents, and great-grandparents would all eat it.’",,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"\isi{Pronoun}s may also signal \isi{coordination}, namely, in \isi{inclusory construction}s, whereby a \isi{non-singular} referent is signaled by the \isi{juxtaposition} of one or more referents with either a \isi{dual} or \isi{plural} \isi{pronoun} immediately following it. In \REF{ex:complex:9}, the \isi{pronoun} an ‘1\textsc{pl.excl}’ signals the inclusion of the speaker in the set of ‘we’.",ex:complex:9,"\gsrc \textbf{Ganmali Dumngul an} molop lilïp. | \gll \textbf{Ganmali} \textbf{Dumngul} \textbf{an} ma=lo-p li-lï-p | \gls [name] [name] 1PL.EXCL 3SG.OBJ=cut-PFV down-put-PFV | \glt `Ganmali, Dumngul, and I cut it down.’",,,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,Sentences \REF{ex:complex:10} and \REF{ex:complex:11} exemplify the use of \isi{dual inclusory pronoun}s.,ex:complex:10,\gsrc \textbf{Manama ngant}: … | \gll \textbf{Manama} \textbf{ngan}=ta | \gls [name] 1DU.EXCL=say | \glt `[He] told Manama and me: …’,ex:complex:11,"\gsrc \textbf{Awandana nganwe} indape ngan iwa tï ndïnambïlïp indap. | \gll \textbf{Awandana} \textbf{ngan-we} inda-p-e ngan iwa tï ndï=nambï-lï-p inda-p | \gls [name] 1DU.EXCL-PART.INT walk-PFV-DEP 1DU.EXCL basket take 3PL=skin-put-PFV walk-PFV | \glt `When Awandana and I alone went, we two got the fish trap, blocked them, and went.’",,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"\isi{Adjective}s may also be coordinated. In example \REF{ex:complex:12}, two \isi{adjective}s that are functioning as nouns are coordinated in the same NP.",ex:complex:12,\gsrc \textbf{Njukuta ambi} nen. | \gll \textbf{njukuta} \textbf{ambi} na-i-n | \gls small big DETR-come-PFV | \glt `Both big and small [people] came.’,,,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"\isi{Adjective}s may also be coordinated within a single \isi{noun phrase} \isi{head}ed by a single noun. Multiple \isi{adnominal adjective}s can be coordinated within subject NPs, as in \REF{ex:complex:13}, as well as within object NPs, as in \REF{ex:complex:14} and \REF{ex:complex:15}, or in isolated \isi{noun phrase}s, as in \REF{ex:complex:16}.",ex:complex:13,"\gsrc Tïn \textbf{mbunmana ambi} mï unip. | \gll tïn \textbf{mbunmana} \textbf{ambi} mï uni-p | \gls dog black big 3SG.SUBJ shout-PFV | \glt `The big, black dog barked.’",ex:complex:14,"\gsrc Nï lïmndï wambana \textbf{ambi anma} mala. | \gll nï lïmndï wambana \textbf{ambi} \textbf{anma} ma=ala | \gls 1SG eye fish big good 3SG.OBJ=see | \glt `I saw a nice, big fish.’",ex:complex:15,"\gsrc Tïmbïl \textbf{ambi nïpat ngata} ndaytana. | \gll tïmbïl \textbf{ambi} \textbf{nïpat} \textbf{ngata} anda=ita-na | \gls fence big giant grant SG.DIST=build-IRR | \glt `[You] will build that big, huge, giant fence.’",ex:complex:16,"\gsrc Tokples \textbf{njukuta ilum} wa ndïtane. | \gll tokples \textbf{njukuta} \textbf{ilum} wa ndï=ta-n-e | \gls tokples small little just 3PL=say-IPFV-DEP | \glt `Little, short tokples [= vernacular] stories -- [I] am just telling them.’",,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,Example \REF{ex:complex:17} illustrates coordinated \isi{predicative adjective}s.,ex:complex:17,\gsrc Namndu mï \textbf{ambi ngatape}. | \gll namndu mï \textbf{ambi} \textbf{ngata}=p-e | \gls pig 3SG.SUBJ big grand=COP{-dep} | \glt `The pig was really big.’,,,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"\isi{Verb phrase}s may also be coordinated. When multiple verbs are truly coordinated in the same \isi{verb phrase}, then the \isi{TAM} marking should match on all the verbs, as in \REF{ex:complex:18} and \REF{ex:complex:19}.",ex:complex:18,\gsrc Alimban mï lamndu \textbf{masap mamap}. | \gll Alimban mï lamndu \textbf{ma=asa-p} \textbf{ma=ama-p} | \gls [name] 3SG.SUBJ pig 3SG.OBJ=hit-PFV 3SG.OBJ=eat-PFV | \glt `Alimban killed and ate the pig.’,ex:complex:19,\gsrc Yawana mï utam \textbf{mawanap mamap}. | \gll Yawana mï utam \textbf{ma=wana-p} \textbf{ma=ama-p} | \gls [name] 3SG.SUBJ yam 3SG.OBJ=cook-PFV 3SG.OBJ=eat-PFV | \glt `Yawana cooked and ate the yam.’,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"The first verb may be unmarked, however, especially if it is an occasionally \isi{defective verb} (\sectref{sec:4.3}), as in \REF{ex:complex:20} and \REF{ex:complex:21}.",ex:complex:20,\gsrc Min ko \textbf{mas mamap}. | \gll min ko \textbf{ma=asa} \textbf{ma=ama-p} | \gls 3DU just 3SG.OBJ=hit 3SG.OBJ=eat-PFV | \glt `The two killed and ate it.’,ex:complex:21,\gsrc Guren mï lïmndï lamndu \textbf{mala masap}. | \gll Guren mï lïmndï lamndu \textbf{ma=ala} \textbf{ma=asa-p} | \gls [name] 3SG.SUBJ eye pig 3SG.OBJ=see 3SG.OBJ=hit-PFV | \glt `Guren saw and killed the pig.’,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"Moreover, there should be no dependent marking \is{dependent marker}(\sectref{sec:12.2}) on anything other than the \isi{final verb} in the \isi{phrase}. Of course, given the \isi{homophony} of the \isi{imperfective} and \isi{dependent} forms (/-e/), it is sometimes difficult to determine whether a verb is receiving \isi{imperfective} marking (\sectref{sec:4.4}), dependent marking (\sectref{sec:12.2.1}), or both. In \REF{ex:complex:22}, I analyze wali- ‘hit’ as taking the \isi{imperfective} \isi{suffix} -e ‘\textsc{ipfv}’.",ex:complex:22,\gsrc Lamndu \textbf{wale ndame}. | \gll lamndu \textbf{wali-e} \textbf{ndï=ama-e} | \gls pig hit-IPFV 3PL=eat-IPFV | \glt `[They] would kill and eat pigs.’,,,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination within phrases\label{sec:12.1.1,,,"Although it is common for both verbs in a coordinated \isi{phrase} to receive \isi{object marking}, this is not mandatory: in example \REF{ex:complex:22}, only the second of the two coordinated verbs takes the \isi{object marker}.",ex:complex:22,\gsrc Lamndu \textbf{wale ndame}. | \gll lamndu \textbf{wali-e} \textbf{ndï=ama-e} | \gls pig hit-IPFV 3PL=eat-IPFV | \glt `[They] would kill and eat pigs.’,,,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination of clauses\label{sec:12.1.2,,,"If a sentence contains two verbs that have different objects, then it is assumed that the \isi{coordination} occurs not between two verbs within a single \isi{verb phrase} but rather between two \isi{verb phrase}s. However, it is not always clear whether there are two \isi{verb phrase}s being coordinated within a single clause or there are two clauses being coordinated within a larger sentence. This is because it is common in Ulwa to omit subjects (\sectref{sec:11.1}). Thus, although example \REF{ex:complex:23} is translated as though the \isi{coordination} occurs within a single clause, it could alternatively be the case that there are two full clauses being coordinated, but that the subject in the second clause is omitted (i.e., ‘Alimban killed the pig and [he] cooked the meat’).",ex:complex:23,\gsrc Alimban mï \textbf{lamndu masap mundu nduwanap}. | \gll Alimban mï lamndu ma=\textbf{asa}-p mundu ndï=\textbf{wana}-p | \gls [name] 3SG.SUBJ pig 3SG.OBJ=hit-PFV food 3PL=cook-PFV | \glt `Alimban killed the pig and cooked the meat.’,,,,,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination of clauses\label{sec:12.1.2,,,"This point leads to the focus of this section: the \isi{coordination} of clauses in Ulwa. When two clauses are presented on equal grammatical footing, there is no distinction made between the two. They are presented \isi{paratactic}ally, one after the other, without any \is{dependent marker} dependent marking -- that is, Ulwa employs \isi{asyndetic coordination}, as illustrated by sentences \REF{ex:complex:24}, \REF{ex:complex:25}, and \REF{ex:complex:26}.",ex:complex:24,\gsrc Mangusuwa as mï nip. | \gll {[ma-ngusuwa} {asa]} {[mï} {ni-p]} | \gls {[3SG.OBJ-poor} {hit]} {[3SG.SUBJ} {die-PFV]} | \glt `[They] struck the poor thing and he died.’,ex:complex:25,\gsrc Nï mbïwap mokotïp. | \gll {[nï} {mbï-wap]} {[ma=kot-p]} | \gls {[1SG} here-be.PST] {[3SG.OBJ=break-PFV]} | \glt `I stayed here and [I] bore her.’,ex:complex:26,\gsrc Mangusuwa mbïwap mï amun naman. | \gll {[ma-ngusuwa} {mbï-wap]} {[mï} amun {na-ma-n]} | \gls {[3SG.OBJ-poor} here-be.PST] {[3SG.SUBJ} now DETR-go-IPFV] | \glt `The poor thing stayed here and today she’s leaving.’,,,,,,,,,,,,,,
Complex sentences\label{sec:12,Coordination\label{sec:12.1,Coordination of clauses\label{sec:12.1.2,,,"Sentences \REF{ex:complex:24}, \REF{ex:complex:25}, and \REF{ex:complex:26} are all translated with ‘and’. Coordinated clauses can have \is{concessive coordination} \isi{concessive} (i.e., ‘but’) senses as well. Again, this is achieved without any overt \isi{coordinating conjunction} \REF{ex:complex:27}.",ex:complex:24,\gsrc Mangusuwa as mï nip. | \gll {[ma-ngusuwa} {asa]} {[mï} {ni-p]} | \gls {[3SG.OBJ-poor} {hit]} {[3SG.SUBJ} {die-PFV]} | \glt `[They] struck the poor thing and he died.’,ex:complex:25,\gsrc Nï mbïwap mokotïp. | \gll {[nï} {mbï-wap]} {[ma=kot-p]} | \gls {[1SG} here-be.PST] {[3SG.OBJ=break-PFV]} | \glt `I stayed here and [I] bore her.’,ex:complex:26,\gsrc Mangusuwa mbïwap mï amun naman. | \gll {[ma-ngusuwa} {mbï-wap]} {[mï} amun {na-ma-n]} | \gls {[3SG.OBJ-poor} here-be.PST] {[3SG.SUBJ} now DETR-go-IPFV] | \glt `The poor thing stayed here and today she’s leaving.’,ex:complex:27,"\gsrc Mï ango maka Nïmalnu wa map mï nay. | \gll {[mï} ango maka Nïmalnu wa {ma=p]} {[mï} {na-i]} | \gls [3SG.SUBJ NEG thus Manu village 3SG.OBJ=be] [3SG.SUBJ DETR-go.PFV] | \glt `He didn’t stay in Manu village, but he went.’",,,,,,,,,,,,
