Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.3 Phonetics and phonology,,,,"In terms of \isi{phonological} rules, the only difference between the dialects that I know of concerns \isi{glide formation}. In Manu, \isi{vowel} sequences of /ai/ and /au/ become [ay] and [aw], respectively. Otherwise, \isi{central vowel}s /a, ï/ are \isi{deleted} before immediately following \isi{vowel}s, suggesting that this glide-formation rule in Manu bleeds the \isi{vowel}-\isi{deletion} rule (\sectref{sec:2.5.1}). In Yaul, however, \isi{central vowel} \isi{deletion} occurs unimpeded. Thus, we see contrasts such as those in \REF{ex:mdy:1}.",ex:mdy:1,Not found,,,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.4 Morphology,,,,"The two dialects are very similar in terms of \isi{morphology} as well. Like Manu, Yaul exhibits a basic three-way \isi{TAM} distinction in verbal \isi{suffix}es \REF{ex:mdy:2}.",ex:mdy:2,Not found,,,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.4 Morphology,,,,"Sentences \REF{ex:mdy:3}, \REF{ex:mdy:4}, and \REF{ex:mdy:5} exemplify \isi{imperfective} verb forms in Yaul.",ex:mdy:3,\gsrc Itam ma apa \textbf{mite}. | \gll itam mï-a apa ma=ita-\textbf{e} | \gls father 3SG.SUBJ-INT house 3SG.OBJ=build-IPFV | \glt ‘Father is building a house.’,ex:mdy:4,\gsrc Sïmboy ma ya \textbf{mute}. | \gll sïmboy mï-a ya ma=uta-\textbf{e} | \gls child 3SG.SUBJ-INT coconut 3SG.OBJ=grind-IPFV | \glt ‘The child grinds the coconut.’,ex:mdy:5,\gsrc Yeta wokïn mï tïn samola \textbf{masi}. | \gll yeta wokïn mï tïn samola ma=asa-\textbf{i} | \gls man huge 3SG.SUBJ dog small 3SG.OBJ=hit-IPFV | \glt ‘The big man is hitting the small dog.’,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.4 Morphology,,,,Sentences \REF{ex:mdy:6} and \REF{ex:mdy:7} exemplify \isi{perfective} verb forms in Yaul.,ex:mdy:6,\gsrc Ndï awaw kambïn \textbf{masapi}. | \gll ndï awaw kambïn ma=asa-\textbf{pi} | \gls 3PL yesterday child 3SG.OBJ=hit-PFV | \glt ‘Yesterday they hit the child.’,ex:mdy:7,\gsrc Inam ngata ma \textbf{lipe}. | \gll inam ngata mï-a li-\textbf{pe} | \gls mother grand 3SG.SUBJ-INT die-PFV | \glt ‘The old woman is dead [= has died].’,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.4 Morphology,,,,Sentences \REF{ex:mdy:8} and \REF{ex:mdy:9} exemplify \isi{irrealis} verb forms in Yaul.,ex:mdy:8,\gsrc Nï \textbf{mawalinda} mï \textbf{sala} ne. | \gll nï ma=wali-\textbf{nda} mï sa-\textbf{la} n-e | \gls 1SG 3SG.OBJ=hit-IRR 3SG.SUBJ cry-IRR want-IPFV | \glt ‘I’ll hit him and he’ll cry.’,ex:mdy:9,\gsrc ɑsi \textbf{kɑndɑ} | \gll asi ka-\textbf{nda} | \gls sit let-IRR | \glt ‘[We] will sit down.’,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.4 Morphology,,,,"\isi{Irregular verb}s (with their associated irregular \isi{TAM} \isi{suffix}es) mostly behave the same in Yaul as they do in Manu. Moreover, the same \isi{suppletive} verbal forms (i.e., for ‘hit’ and ‘go’) are attested. The verbs ka- ‘let’ \REF{ex:mdy:9a} and wo- ‘sleep’ \REF{ex:mdy:9b}, however, do not seem to employ the Manu \isi{irrealis} forms with the \isi{prefix}-like element [la-] (cf. \sectref{sec:4.3}).\footnote{These [la- {\textasciitilde} lo-] forms in Manu may be innovations, perhaps reflecting a \isi{fossilized} form of the archaic \isi{detransitivizing} \isi{prefix} *la- (contemporary Manu na- ‘\textsc{detr}’). Yaul does, however, employ the same possibly related \isi{irrealis} form of ‘eat’ as found in Manu (i.e., ama- ‘eat’, landa ‘eat [\textsc{irr]}’).}",ex:mdy:9a,Not found,ex:mdy:9b,Not found,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.4 Morphology,,,,"Thus there is often apparent \isi{homophony} between the forms una(n) \textsc{‘1pl.incl’} and una(wa) \textsc{‘2pl-int’} and between nguna(n) \textsc{‘1du.incl}’ and nguna(wa) \linebreak \textsc{‘2du-int’}. Furthermore, the distinction between subject and non-subject forms, generally only observable in \textsc{3sg} forms, is mostly eroded in Yaul, since the subject form /mï/ is frequently pronounced [ma] (< /mï-a/), thereby becoming \isi{homophonous} with the non-subject form /ma/. However, the distinction seems to be partially maintained in the \textsc{3du}, where the non-subject form has the \isi{allomorph} [mini=] when immediately preceding /n-/. In fact, in Yaul, as opposed to in Manu, /l-/ conditions this \isi{allomorphy} as well as /n-/, as illustrated by \REF{ex:mdy:10}.",ex:mdy:10,\gsrc Itam ma num nini \textbf{minilope}. | \gll itam mï-a num nini \textbf{mini}=lo-pe | \gls father 3SG.SUBJ-INT canoe two 3DU.OBJ=cut-PFV | \glt ‘Father carved two canoes.’,,,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.4 Morphology,,,,"Example \REF{ex:mdy:10} also exhibits the use of the \isi{intensive} \isi{suffix} -a ‘\textsc{int}’ on \isi{subject marker}s, which is common in Yaul.",ex:mdy:10,\gsrc Itam ma num nini \textbf{minilope}. | \gll itam mï-a num nini \textbf{mini}=lo-pe | \gls father 3SG.SUBJ-INT canoe two 3DU.OBJ=cut-PFV | \glt ‘Father carved two canoes.’,,,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.5 Syntax,,,,"While \isi{periphrastic} ‘going’ \isi{verb phrase}s are not attested in Yaul, it is very common for \isi{future}-\isi{time} sentences to employ what appears to be a \isi{volitive}/\isi{conative} \isi{auxiliary verb} ne {\textasciitilde} ni ‘want, will, try’, as in examples \REF{ex:mdy:12} through \REF{ex:mdy:15}.",ex:mdy:12,\gsrc Nï uwïl la tanda \textbf{ne}. | \gll nï u=wïl la-ta-nda \textbf{n-e} | \gls 1SG 2SG=with DETR-say-IRR want-IPFV | \glt ‘I want to speak with you.’,ex:mdy:15,\gsrc Na umbe wo mana \textbf{ne}. | \gll nï-a umbe wo ma-na \textbf{n-e} | \gls 1SG-INT tomorrow village go-IRR want-IPFV | \glt ‘I want to go to the village tomorrow.’\footnote{It should be observed that the Yaul \isi{irrealis} form of ‘go’,,,,,,,,,,,,,,,,
The Maruat-Dimiri-Yaul dialect of Ulwa\label{sec:18,\label{sec:18.5 Syntax,,,,"\glt ‘I’ll see you tomorrow.’\footnote{In example \REF{ex:mdy:14} we see a reduction of nïmndï ‘eye’ to [indï], which seems to occur commonly in Yaul when this word is used as part of a \isi{discontinuous} verb construction.} [elicited]",ex:mdy:14,\gsrc Na umbe indï wandïla \textbf{ne}. | \gll nï-a umbe indï u=andï-la \textbf{n-e} | \gls 1SG-INT tomorrow eye 2SG=see-IRR want-IPFV | \glt ‘I’ll see you tomorrow.’\footnote{In example \REF{ex:mdy:14} we see a reduction of nïmndï ‘eye’,,,,,,,,,,,,,,,,,,
