Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Voiceless stops /p, t, k/\label{sec:2.1.1",,,"There is a three-way place distinction among \isi{voiceless} stops in Ulwa: \isi{labial} /p/, \isi{coronal} /t/, and \isi{dorsal} /k/. These are all quite similar to their \ili{English} equivalents: the /p/ is \isi{bilabial}, like \ili{English} /p/; the /t/ is \isi{alveolar}, like \ili{English} /t/; and the /k/ is \isi{velar}, like \ili{English} /k/. They are all slightly \isi{aspirated}. The following sets of \isi{minimal pair}s illustrate contrasts among \isi{voiceless} stops: /p/ versus /t/ \REF{ex:phon:1}, /p/ versus /k/ \REF{ex:phon:2}, and /t/ versus /k/ \REF{ex:phon:3}.",ex:phon:1,Not found,ex:phon:2,Not found,ex:phon:3,Not found,,,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Voiceless stops /p, t, k/\label{sec:2.1.1",,,"While /p/ and /t/ may appear in all word positions (that is, word-initially, word-medially, or word-finally), /k/ may not appear word-finally. The words in \REF{ex:phon:4} all begin with \isi{voiceless} stops.",ex:phon:4,Not found,,,,,,,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Voiceless stops /p, t, k/\label{sec:2.1.1",,,The words in \REF{ex:phon:5} all have \isi{voiceless} stops in medial position.,ex:phon:5,Not found,,,,,,,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Voiceless stops /p, t, k/\label{sec:2.1.1",,,The words in \REF{ex:phon:6} all end with \isi{voiceless} stops.,ex:phon:6,Not found,,,,,,,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Prenasalized voiced stops /mb, nd, ng/\label{sec:2.1.2",,,"There is a three-place \isi{prenasalized} \isi{voiced} \isi{stop} series, which corresponds in place of articulation to the set of \isi{voiceless} stops: \isi{bilabial} /ᵐb/, \isi{alveolar} /ⁿd/, and \isi{velar} /ᵑɡ/. In the practical \isi{orthography} used in this grammar, these are written as <mb>, <nd>, and <ng>, respectively. These stops are all \isi{prenasalized} -- that is, they are preceded by a \isi{homorganic} \isi{nasal}. \isi{Minimal pair}s between \isi{prenasalized} \isi{voiced} \isi{stop}s and their \isi{voiceless} equivalents are given in \REF{ex:phon:7}. \isi{Minimal pair}s between \isi{prenasalized} \isi{voiced} \isi{stop}s and their simple \isi{nasal} equivalents are given in \REF{ex:phon:8}.\footnote{The \isi{velar} \isi{nasal} component of /ng/, as seen in nga ‘this’ \REF{ex:phon:8}, has no simple \isi{nasal} equivalent, as \textsuperscript{†}/ŋ/ is not a phoneme in Ulwa. It occurs only phonetically, in the \isi{prenasalized} \isi{voiced} \isi{velar} \isi{stop} and in the realization of /n/ when preceding /k/ (i.e., the \isi{nasal} \isi{consonant} assimilates in place of articulation). Thus, the third row of example \REF{ex:phon:8} actually contrasts [ᵑɡ] with [n].}",ex:phon:7,Not found,ex:phon:8,Not found,ex:phon:8,Not found,ex:phon:8,Not found,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Prenasalized voiced stops /mb, nd, ng/\label{sec:2.1.2",,,"There are several reasons for treating these complex articulations as single phonemes, rather than as sequences of \isi{nasal}-plus-\isi{stop}. First, no \isi{voiced} \isi{stop} ever occurs without a preceding \isi{nasal} (although a \isi{nasal} may appear without any adjacent \isi{stop}). Second, when asked to syllabify a word, native speakers do not place a \isi{syllable} boundary between a \isi{nasal} and a following \isi{voiced} \isi{stop}.\footnote{For example, umbenam ‘morning’ is broken into [u.ᵐbe.nam], and not into \textsuperscript{†}[um.be.nam]. Note that, while CC \isi{onset}s are possible in Ulwa (\sectref{sec:2.3}), there are no known \isi{nasal}-plus-(heterorganic) \isi{stop} \isi{onset}s; therefore, the interpretation \textsuperscript{†}/u.mbe.nam/ is highly unlikely. It may also be noted that the syllabification of words with \isi{prenasalized} \isi{stop}s can be affected in language attrition, as I have noticed that children, when asked to syllabify Ulwa words, follow the \isi{phonotactics} of \ili{Tok Pisin}, producing forms such as [um.be.nam] for umbenam ‘morning’.} Third, in \isi{loanword}s from languages that have a simple voiced-\isi{stop} series, these phonemes are very frequently realized in Ulwa as \isi{prenasalized} \isi{voiced} \isi{stop}s.\footnote{For example, the \ili{Tok Pisin} word nogat ‘no’ is often pronounced as [no.ᵑɡat].} Finally, \isi{nasal} segments can precede \isi{voiceless} \isi{stop}s. In these instances, there are in fact two distinct segments, as seen in words illustrating the following CC sequences: /np/ \REF{ex:phon:9}, /nt/ \REF{ex:phon:10}, /nk/ \REF{ex:phon:11}, /mp/ \REF{ex:phon:12}, /mt/ \REF{ex:phon:13}, /mk/ \REF{ex:phon:14}.",ex:phon:9,Not found,ex:phon:10,Not found,ex:phon:11,Not found,ex:phon:12,Not found,ex:phon:13,Not found,ex:phon:14,Not found,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Prenasalized voiced stops /mb, nd, ng/\label{sec:2.1.2",,,"It should be noted that, except in very slow speech, the sequence /nk/ is realized as [ŋk], the \isi{nasal} \isi{assimilating} in place to the following \isi{velar} \isi{stop}, a typologically very common process. Interestingly, the sequence /np/, as found in \REF{ex:phon:9}, is not realized as \textsuperscript{†}[mp] -- that is, /n/ does not \is{assimilation} assimilate in place to the following \isi{bilabial} \isi{stop} /p/.",ex:phon:9,Not found,,,,,,,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Prenasalized voiced stops /mb, nd, ng/\label{sec:2.1.2",,,"Since it is possible for \isi{homorganic} \isi{nasal}s to precede \isi{voiceless} \isi{stop}s, it is thus also possible to find (pseudo-)\isi{minimal pair}s such as /mb/ versus /mp/, /nd/ versus /nt/, and /ng/ versus /nk/. It must be maintained, however, that the phonetic sequences [ᵐb], [ⁿd], and [ᵑɡ] are each monophonemic, whereas the sequences [mp], [nt], and [ŋk] each consist of two phonemes. There are not many attested examples of such putative \isi{minimal pair}s; however, the contrast between the single phoneme /ng/ and the \isi{consonant cluster} of /nk/ can be seen in a handful of words \REF{ex:phon:15}.",ex:phon:15,Not found,,,,,,,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Prenasalized voiced stops /mb, nd, ng/\label{sec:2.1.2",,,"Prenasalized \isi{voiced} \isi{stop}s may occur word-initially or intervocalically, as in \REF{ex:phon:15}, but cannot close a \isi{syllable}, and thus never appear word-finally, at least not in surface forms. There is at least one lexeme, however, that seems underlyingly to end in a \isi{prenasalized} \isi{voiced} \isi{stop}. The underlying form of the \isi{verb stem} /kamb-/ ‘shun’ ends in a \isi{prenasalized} \isi{voiced} \isi{bilabial} \isi{stop} /mb/. When followed by \isi{vowel}-initial \isi{suffix}es, this \isi{verb stem} does not undergo any \isi{phonological} change \REF{ex:phon:15a}.",ex:phon:15,Not found,ex:phon:15a,Not found,,,,,,,,,,,,,,,,
Phonetics and phonology\label{sec:2,Consonants\label{sec:2.1,"Prenasalized voiced stops /mb, nd, ng/\label{sec:2.1.2",,,"When no (phonemic) \isi{vowel} follows, however, either: an \isi{epenthetic} [ï] is added to the root, as in the \isi{conditional} form of the word \REF{ex:phon:15b}, or the \isi{stop} gesture of the final phoneme /mb/ is lost, as in the \isi{perfective} form of the word \REF{ex:phon:15c}.",ex:phon:15b,Not found,ex:phon:15c,Not found,,,,,,,,,,,,,,,,
