Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Pronouns\label{sec:6,Personal pronouns\label{sec:6.1,,,,"Some speakers have reported an alternative 3\textsc{du} pronominal form /ndin/. However, it is not well attested in my corpus. The only examples of it seem to reflect an adnominal \isi{demonstrative} rather than a \isi{personal pronoun}. I suspect that it is an abridged form of the \isi{dual} \isi{distal} \isi{demonstrative} andin (cf. the form [nda] for the \isi{singular} \isi{distal} \isi{demonstrative} anda, \sectref{sec:7.3}). The form [ndin], for example, occurs at the end of an NP in \REF{ex:pron:1}.",ex:pron:1,\gsrc Kambok inom ngusuwa \textbf{ndin} asika ndule. | \gll Kambok inom ngusuwa \textbf{ndin} asi-ka ndï=ula-e | \gls Kambuku mother poor 3DU? sit-let 3PL=weave-IPFV | \glt `Two poor women from Kambuku [village] used to sit and weave them.’,,,,,,,,,,,,,,,,,,
Pronouns\label{sec:6,Personal pronouns\label{sec:6.1,,,,"In \REF{ex:pron:2}, the functional similarity between [a]ndin ‘\textsc{du.dist}’ (‘those two’) and anda ‘\textsc{sg.dist}’ (‘that’) is clear, as each form immediately follows a corresponding \isi{numeral}.",ex:pron:2,"\gsrc wik wopa kwa nda nini \textbf{ndintïna} | \gll wik wopa kwa anda nini \textbf{ndin}=tï-na | \gls week all one SG.DIST two 3DU?=take-IRR | \glt `for all of one week, or two’",,,,,,,,,,,,,,,,,,
Pronouns\label{sec:6,Possessive pronouns\label{sec:6.2,,,,"Possessive forms may refer to first \isi{person} \REF{ex:pron:3}, second \isi{person} \REF{ex:pron:4}, or third \isi{person} \REF{ex:pron:5} \isi{possessor}s.",ex:pron:3,\gsrc \textbf{Nïnji} anapa mï atalap. | \gll \textbf{nï-nji} anapa mï atal-a-p | \gls 1SG-POSS sister 3SG.SUBJ laughter-break-PFV | \glt `My sister laughed.’,ex:pron:4,\gsrc \textbf{Unji} aweta mï anma. | \gll \textbf{u-nji} aweta mï anma | \gls 2SG-POSS friend 3SG.SUBJ good | \glt `Your friend is nice.’,ex:pron:5,\gsrc \textbf{Manji} wonmi ndï namlip. | \gll \textbf{ma-nji} wonmi ndï namli=p | \gls 3SG.OBJ-POSS hair 3PL soft=COP | \glt `Her hair is soft.’,,,,,,,,,,,,,,
Pronouns\label{sec:6,Possessive pronouns\label{sec:6.2,,,,"\isi{Possessor}s may be \isi{singular}, \isi{dual}, or \isi{plural}, and may occur in object roles as well as subject roles. In example \REF{ex:pron:6}, the possessive form refers to a third \isi{person} \isi{plural} \isi{possessor}, here part of a \isi{direct object} NP.",ex:pron:6,\gsrc Ndï lïmndï \textbf{ndïnji} aweta mala. | \gll ndï lïmndï \textbf{ndï-nji} aweta ma=ala | \gls 3PL eye 3PL-POSS friend 3SG.OBJ=see | \glt `They saw their friend.’,,,,,,,,,,,,,,,,,,
Pronouns\label{sec:6,Possessive pronouns\label{sec:6.2,,,,"Third \isi{person} possessive forms, such as the one in \REF{ex:pron:7}, can have ambiguous reference, pointing either (reflexively) to an \isi{antecedent} in the clause or to a third party not necessarily mentioned in the clause.",ex:pron:7,\gsrc Ginam mï inim mo \textbf{manji} aweta ndït atalp. | \gll Ginam\textsubscript{i} mï inim ma=u \textbf{ma-nji}\textsubscript{i/j} aweta ndï=tï ata-lï-p | \gls [name] 3SG.SUBJ water 3SG.OBJ=from 3SG.OBJ-POSS friend 3PL=take up-put-PFV | \glt `Ginam pulled her friends out of the water.’,,,,,,,,,,,,,,,,,,
Pronouns\label{sec:6,Possessive pronouns\label{sec:6.2,,,,"That is, manji ‘\textsc{3sg.obj-poss}’ in sentence \REF{ex:pron:7} can refer either to Ginam’s friends or to someone else’s (e.g., Yawat’s). To clarify that the \isi{pronoun} refers to Ginam, a different form may instead be used, composed of the \isi{reflexive} \isi{pronoun} of the appropriate \isi{number} (\sectref{sec:6.3}) and \textit{{}-nji} ‘\textsc{poss}’, giving the meaning ‘X’s own’, as in \REF{ex:pron:8}.",ex:pron:7,\gsrc Ginam mï inim mo \textbf{manji} aweta ndït atalp. | \gll Ginam\textsubscript{i} mï inim ma=u \textbf{ma-nji}\textsubscript{i/j} aweta ndï=tï ata-lï-p | \gls [name] 3SG.SUBJ water 3SG.OBJ=from 3SG.OBJ-POSS friend 3PL=take up-put-PFV | \glt `Ginam pulled her friends out of the water.’,ex:pron:8,Not found,,,,,,,,,,,,,,,,
Pronouns\label{sec:6,Possessive pronouns\label{sec:6.2,,,,"These forms are similar in function to certain pronouns found in some other languages, such as the \ili{Latin} possessive \isi{reflexive} \isi{pronoun} suus ‘his/her/its/their own’. In addition to their use in clarifying third \isi{person} \isi{antecedent}s, however, the Ulwa forms may also be used with first or second \isi{person} reference in order to convey the sense ‘my own’, ‘our own’, ‘your own’, and so on, as in \REF{ex:pron:9}, \REF{ex:pron:10}, and \REF{ex:pron:11}.",ex:pron:9,\gsrc Nï lïmndï \textbf{ambïnji} aweta mala. | \gll nï lïmndï \textbf{ambï-nji} aweta ma=ala | \gls 1SG eye SG.REFL-POSS friend 3SG.OBJ=see | \glt `I saw my own friend.’,ex:pron:10,\gsrc Min lïmndï \textbf{ambinji} aweta mala. | \gll min lïmndï \textbf{ambin-nji} aweta ma=ala | \gls 3DU eye DU.REFL-POSS friend 3SG.OBJ=see | \glt `The two of them saw their own friend.’,ex:pron:11,\gsrc Un lïmndï \textbf{amblanji} aweta ndala. | \gll un lïmndï \textbf{ambla-nji} aweta ndï=ala | \gls 2PL eye PL.REFL-POSS friend 3SG.OBJ=see | \glt `You saw your own friends.’,,,,,,,,,,,,,,
Pronouns\label{sec:6,Possessive pronouns\label{sec:6.2,,,,"It may here be noted that possessive forms need not necessarily precede nouns. Although they cannot precede verbs (without the verbs having been \isi{nominalize}d), they can precede \isi{adjective}s. This happens, however, only when the \isi{adjective} is functioning substantively (i.e., nominally) (\sectref{sec:5.3}), as in \REF{ex:pron:12} and \REF{ex:pron:13}. This further suggests that there is little if any \isi{morphosyntactic} distinction between property words (i.e., “\isi{adjective}s”) and \isi{semantic}ally more prototypical nouns.",ex:pron:12,\gsrc \textbf{Manji} anma ndï apa map. | \gll \textbf{ma-nji} anma ndï apa ma=p | \gls 3SG.OBJ-POSS good 3PL house 3SG.OBJ=be | \glt `His good ones [= daughters] are in the house.’,ex:pron:13,\gsrc \textbf{Nïnji} njukuta mï wandam i. | \gll \textbf{nï-nji} njukuta mï wandam i | \gls 1SG-POSS small 3SG.SUBJ jungle go.PFV | \glt `My small one [= dog] went into the jungle.’,,,,,,,,,,,,,,,,
Pronouns\label{sec:6,Possessive pronouns\label{sec:6.2,,,,"Finally, the possessive forms can be used substantively with an implied noun, as in \REF{ex:pron:14} and \REF{ex:pron:15}.",ex:pron:14,\gsrc Unji apa mï njukutap \textbf{nïnji} mï ambip. | \gll u-nji apa mï njukuta=p \textbf{nï-nji} mï ambi=p | \gls 2SG-POSS house 3SG.SUBJ small=COP 1SG-POSS 3SG.SUBJ big=COP | \glt ‘Your house is small; mine is big.’,ex:pron:15,\gsrc Kayta manji tïn mï \textbf{nïnji} asap. | \gll Kayta ma-nji tïn mï \textbf{nï-nji} asa-p | \gls [name] 3SG.OBJ-POSS dog 3SG.SUBJ 1SG-POSS hit-PFV | \glt `Kayta’s dog attacked mine.’,,,,,,,,,,,,,,,,
Pronouns\label{sec:6,Reflexive and reciprocal pronouns\label{sec:6.3,,,,"Thus, these pronouns are similar to their \ili{English} translations ending in ‘-self’ or ‘-selves’, in that there is no distinction made among them for \isi{person} -- whether first, second, or third -- but they are distinguished for \isi{number}. These three forms are based on the same root, /amb(ï)-/. The use of \isi{reflexive} pronouns is illustrated by examples \REF{ex:pron:16} through \REF{ex:pron:22}.",ex:pron:16,\gsrc Tambana mï \textbf{ambuwalinda}. | \gll Tambana mï \textbf{ambï}=wali-nda | \gls [name] 3SG.SUBJ SG.REFL=hit-IRR | \glt `Tambana will hit herself.’,ex:pron:22,\gsrc Ay ndïnkap ndïn \textbf{amblan} up. | \gll ay ndï=nïkï-p ndï=n \textbf{ambla}=n u-p | \gls sago 3PL=dig-PFV 3PL=OBL PL.REFL=OBL put-PFV | \glt `[They] made [packets of] sago and left them for themselves.’,,,,,,,,,,,,,,,,
