Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Topics in semantics\label{sec:14,Polysemy and homonymy\label{sec:14.1,,,,"Given Ulwa’s \isi{phonotactic} constraints, the three \isi{phonological}ly shortest possible words are [i], [u], and [a]; no other \isi{vowel}s are permitted word-initially (\sectref{sec:2.2.1}), and a word requires at least one vowel to be pronounceable. Indeed, there is considerable homophony among morphemes of the form [i] \REF{ex:sem:1a} and [u] \REF{ex:sem:1b}, as well as some homophony among morphemes of the form [a] \REF{ex:sem:1c}.",ex:sem:1a,Not found,ex:sem:1b,Not found,ex:sem:1c,Not found,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Polysemy and homonymy\label{sec:14.1,,,,"Although not pronounceable on their own, single-\isi{consonant} morphemes are possible (in some instances only as abbreviations of other forms). Examples of homophony can be seen in morphemes with the forms [n] \REF{ex:sem:2a}, [p] \REF{ex:sem:2b}, and [t] \REF{ex:sem:2c}.",ex:sem:2a,Not found,ex:sem:2b,Not found,ex:sem:2c,Not found,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Polysemy and homonymy\label{sec:14.1,,,,"Examples of homophony with slightly longer \isi{phonological} forms can be found among forms such as [ala] \REF{ex:sem:2d}, [ka] \REF{ex:sem:2e}, [ma] \REF{ex:sem:2f}, and [na] \REF{ex:sem:2g}.",ex:sem:2d,Not found,ex:sem:2e,Not found,ex:sem:2f,Not found,ex:sem:2g,Not found,,,,,,,,,,,,
Topics in semantics\label{sec:14,Polysemy and homonymy\label{sec:14.1,,,,"Thus ample \isi{colexification} can be found among \isi{function word}s and \isi{basic vocabulary} items. The pairs of identical forms given in \REF{ex:sem:3} represent colexification between functional morphemes and concrete nouns. These are almost certainly all examples of true homonymy, as opposed to polysemy.",ex:sem:3,Not found,,,,,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Polysemy and homonymy\label{sec:14.1,,,,"Other pairs of identical forms that are very likely polysemes, as opposed to homonyms, are given in \REF{ex:sem:4}.",ex:sem:4,Not found,,,,,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Polysemy and homonymy\label{sec:14.1,,,,"Some words in Ulwa have much greater ranges of meaning than any of their possible \ili{English} equivalents. While these are not properly polysemes or homonyms, it may nevertheless prove useful to provide a few examples of these words \REF{ex:sem:5}.",ex:sem:5,Not found,,,,,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Metaphor and metonymy\label{sec:14.2,,,,"Although many metaphors and metonyms have become \isi{fossilized} as the primary term used for certain referents (and thus are perhaps no longer viewed as \isi{semantic extension}s), it is still possible for speakers to employ both \isi{metaphor} and \isi{metonymy} creatively. This may be done even when another word for a referent already exists; however, it is more common as a means of coining terminology for new concepts (\sectref{sec:14.9}). Examples of metaphors are given in \REF{ex:sem:6}.",ex:sem:6,Not found,,,,,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Metaphor and metonymy\label{sec:14.2,,,,"Metonymy is very common in Ulwa. Often the material from which something is made is used to refer to the end product, as in \REF{ex:sem:7}.",ex:sem:7,Not found,,,,,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Metaphor and metonymy\label{sec:14.2,,,,"Other forms of \isi{metonymy} are possible as well, such as \isi{synecdoche}, in which either the part comes to represent the whole (\isi{pars pro toto}, as with isi ‘soup’) or the whole comes to represent the part (\isi{totum pro parte}, as with ulum ‘sago pith’) \REF{ex:sem:8}.",ex:sem:8,Not found,,,,,,,,,,,,,,,,,,
Topics in semantics\label{sec:14,Metaphor and metonymy\label{sec:14.2,,,,"Other forms of \isi{metonymy} are used as well, including those in \REF{ex:sem:9}.",ex:sem:9,Not found,,,,,,,,,,,,,,,,,,
