Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,Polar questions (‘yes/no’ questions)\label{sec:13.1.1,,,"Polar questions in Ulwa are identical in form to their \isi{declarative} counterparts. They are recognizable, however, through \isi{pragmatic} factors and through \isi{phonology} (\isi{intonation}). First, context often makes it apparent that a \isi{question}, rather than a statement, is being formed by the speaker. Second, polar questions are identifiable through a rising \isi{intonation}. The questions presented in \REF{ex:syntax:1} through \REF{ex:syntax:4}, if given the right context and said without a rising \isi{intonation}, could all also function as statements.",ex:syntax:1,\gsrc Itom mï awal tembi wap. | \gll itom mï awal tembi wap | \gls father 3SG.SUBJ yesterday bad be.PST | \glt (a) ‘Was father sick yesterday?’,ex:syntax:4,\gsrc Alum mï ikali ya ndïsina. | \gll alum mï i-kali ya ndï=si-na | \gls child 3SG.SUBJ hand-send coconut 3PL=push-IRR | \glt (a) ‘Can the child catch the coconuts?’,,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,Polar questions (‘yes/no’ questions)\label{sec:13.1.1,,,"Perhaps especially in \isi{leading question}s, Ulwa can employ the \isi{interjection}s a ‘eh?’ or e ‘eh?’ as a \isi{tag word} at the end of the \isi{interrogative} sentence. These forms are common also in \ili{Tok Pisin}, which possibly played a role in their use in Ulwa. These \isi{tag word}s serve as an additional means of indicating that a sentence is a \isi{question}, as seen in \REF{ex:syntax:5}, \REF{ex:syntax:6}, and \REF{ex:syntax:7}.",ex:syntax:5,"\gsrc Alo un apa map \textbf{a}? | \gll ala=o un apa ma=p \textbf{a} | \gls PL.DIST{=voc} 2PL house 3SG.OBJ=be INTERJ | \glt ‘Hey, you all -- are you home?’",ex:syntax:6,"\gsrc Ngun andin ngun mundu ngunas \textbf{a}? | \gll ngun andin ngun mundu ngun=asa \textbf{a} | \gls 2DU DU.DIST 2DU hunger 2DU=hit INTERJ | \glt `You two, you two over there -- you’re hungry, yeah?’",ex:syntax:7,"\gsrc U ango anmbï mbi \textbf{e}? | \gll u ango an-mbï mbï-i \textbf{e} | \gls 2SG NEG out-here out-go.PFV INTERJ | \glt `You didn’t come out, eh?’",,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,Polar questions (‘yes/no’ questions)\label{sec:13.1.1,,,"There are not many examples of these tag \isi{interjection}s in my corpus. Although examples \REF{ex:syntax:5} through \REF{ex:syntax:7} might suggest a contrast in \isi{polarity} between the \isi{interjection}s a ‘eh?’ and e ‘eh?’, I do not suspect that such a contrast exists.",ex:syntax:5,"\gsrc Alo un apa map \textbf{a}? | \gll ala=o un apa ma=p \textbf{a} | \gls PL.DIST{=voc} 2PL house 3SG.OBJ=be INTERJ | \glt ‘Hey, you all -- are you home?’",ex:syntax:7,"\gsrc U ango anmbï mbi \textbf{e}? | \gll u ango an-mbï mbï-i \textbf{e} | \gls 2SG NEG out-here out-go.PFV INTERJ | \glt `You didn’t come out, eh?’",,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,Polar questions (‘yes/no’ questions)\label{sec:13.1.1,,,"Polar questions may be answered with full sentences, with \isi{paralinguistic gesture}s, with general-purpose \is{exclamation} exclamatory \isi{interjection}s (such as m ‘mhm’), or with the designated \isi{response} \isi{interjection}s ‘yes’ or ‘no’. The word iyo ‘yes’ (with the alternate form iya ‘yeah’) is used for the \isi{affirmative}, and the word ase ‘no’ (with the alternate form asa ‘nah’) is used for the \isi{negative}. To disagree with a \isi{negative} proposition in a \isi{question}, a speaker may answer ‘yes’. Thus, for example, the answer to \REF{ex:syntax:7} is provided in \REF{ex:syntax:8}.",ex:syntax:7,"\gsrc U ango anmbï mbi \textbf{e}? | \gll u ango an-mbï mbï-i \textbf{e} | \gls 2SG NEG out-here out-go.PFV INTERJ | \glt `You didn’t come out, eh?’",ex:syntax:8,"\gsrc \textbf{Iya} nï awal mbi lïmndï tawatïp ndale. | \gll \textbf{iya} nï awal mbï-i lïmndï tawatïp ndï=ala-e | \gls yes 1SG yesterday here-go.PFV eye child 3PL=see-DEP | \glt `Yes, I came out yesterday and watched the children.’",,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,{Content {questions {(wh- {questions)\label{sec:13.1.2,,,"Content questions in Ulwa rely on several different wh- words, which are presented in \REF{ex:syntax:9}. For more on \isi{interrogative pronoun}s, see \sectref{sec:6.5}. There are no \isi{interrogative verb}s in Ulwa.",ex:syntax:9,Not found,,,,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,{Content {questions {(wh- {questions)\label{sec:13.1.2,,,The \isi{interrogative pronoun} angos ‘what?’ is discussed in \sectref{sec:6.5}. Examples \REF{ex:syntax:10} and \REF{ex:syntax:11} demonstrate its use in texts.,ex:syntax:10,"\gsrc A nïnji nungol ala \textbf{angos} landa? | \gll a nï-nji nungol ala \textbf{angos} la-nda | \gls ah 1SG-POSS child PL.DIST what eat-IRR | \glt `Ah, what will my children eat?’",ex:syntax:11,\gsrc U \textbf{angos} natan? | \gll u \textbf{angos} na-ta-n | \gls 2SG what DETR-say-IPFV | \glt `What are you saying?’,,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,{Content {questions {(wh- {questions)\label{sec:13.1.2,,,"As mentioned in \sectref{sec:8.3.2}, the \isi{question word}s angos ‘what?’ and ango ‘which?’ likely derive from the \isi{negation} marker ango ‘\textsc{neg}’. This may suggest that content questions in general may derive from \isi{polar question}s (e.g., a \isi{question} like ‘what will my children eat?’ in \REF{ex:syntax:10} would have its origin in something like ‘will my children not eat?’).\footnote{Similarly, \isi{interrogative pronoun}s like kwa ‘who? [\textsc{sg]}’ and kuma ‘who? [\textsc{nsg]}’ are \isi{colexified} with \isi{indefinite pronoun}s. Thus, content questions such as the one in \REF{ex:syntax:13} may thus derive from \isi{polar question}s (i.e., ‘who is carrying it?’ < ‘is someone carrying it?’).}",ex:syntax:10,"\gsrc A nïnji nungol ala \textbf{angos} landa? | \gll a nï-nji nungol ala \textbf{angos} la-nda | \gls ah 1SG-POSS child PL.DIST what eat-IRR | \glt `Ah, what will my children eat?’",ex:syntax:13,\gsrc \textbf{Ko} mat inde? | \gll \textbf{ko} ma=tï inda-e | \gls one 3SG.OBJ=take walk-IPFV | \glt `Who is carrying it around?’,,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,{Content {questions {(wh- {questions)\label{sec:13.1.2,,,"Sentences \REF{ex:syntax:12} and \REF{ex:syntax:13} provide examples of kwa ‘who? [\textsc{sg}]’ (further discussed in \sectref{sec:6.5}). This form is often shortened to [ko]. Whereas the form kwa ‘who? [\textsc{sg}]’ refers to exactly one referent, the form kuma ‘who? [\textsc{nsg]}’ refers to two or more referents.\footnote{Thus the number distinction made in the words meaning ‘who?’ (or ‘whose?’) is a binary distinction of \isi{singular} versus \isi{non-singular}, as opposed to the three-way contrast of \isi{singular}, \isi{dual}, and \isi{plural} that runs throughout many other paradigms in the language.}",ex:syntax:12,\gsrc \textbf{Kwa} tïki man tïnangana? | \gll \textbf{kwa} tïki ma=n tïnanga-na | \gls one again 3SG.OBJ=OBL arise-IRR | \glt `Who will get it [= the school] up again?’,ex:syntax:13,\gsrc \textbf{Ko} mat inde? | \gll \textbf{ko} ma=tï inda-e | \gls one 3SG.OBJ=take walk-IPFV | \glt `Who is carrying it around?’,,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,{Content {questions {(wh- {questions)\label{sec:13.1.2,,,"As mentioned in \sectref{sec:11.1}, there is no so-called wh-movement in Ulwa; all content questions are asked \isi{in-situ} -- that is, with the questioned element occurring in the same place where it would occur in an equivalent \isi{declarative} sentence. Thus, kwa {\textasciitilde} kuma ‘who?’ or angos ‘what?’ occur in the subject position when the questioned element is the subject of a clause, and they occur in the object position when the questioned element is an object. Likewise, kwanji {\textasciitilde} kumanji ‘whose?’ occurs immediately before the \isi{possessed} NP, just as would any \is{possessive pronoun} possessive pronominal marker. Thus, for example, in \REF{ex:syntax:14}, the ‘who(m)?’ element occurs in the position typically held by objects.",ex:syntax:14,\gsrc U man \textbf{ko} lïp sina? | \gll u ma=n \textbf{ko} lï-p si-na | \gls 2SG 3SG.OBJ=OBL one put-PFV push-IRR | \glt `Whom will you blame?’,,,,,,,,,,,,,,,,,,
Additional topics in syntax\label{sec:13,Questions\label{sec:13.1,{Content {questions {(wh- {questions)\label{sec:13.1.2,,,"In questions of countable quantity, the \isi{question word} anjika ‘how many?’ appears after the \isi{noun phrase} whose quantity is the topic of questioning. This could be either a subject or an object (or even an \isi{oblique} \isi{phrase}). The word anjika ‘how many?’ is thus syntactically identical to any modifying \isi{adjective} and -- in particular -- to \isi{numeral}s, which immediately follow the enumerated NP. Its use is exemplified in \REF{ex:syntax:15} and \REF{ex:syntax:16}.",ex:syntax:15,\gsrc Wambana \textbf{anjika} inim mo man? | \gll wambana \textbf{anjika} inim ma=u ma-n | \gls fish how.many water 3SG.OBJ=from go-IPFV | \glt `How many fish are swimming?’,ex:syntax:16,\gsrc U wambana \textbf{anjika} tïn? | \gll U wambana \textbf{anjika} tï-n | \gls 2SG fish how.many take-PFV | \glt `How many fish did you catch?’,,,,,,,,,,,,,,,,
