Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Typological overview % Main chapter title,Person forms and demonstratives,,,,"Vamale distinguishes subject (\gl{a}\slash\gl{S\textsubscript{A}}) and object (\gl{p}) person forms (\Cref{tab:intro_markers}). There are three numbers, singular, dual, and plural. The language distinguishes inclusive (\qu{us and you}) and exclusive (\qu{us but not you}) first person forms. Object pronouns are never independent as seen in (\ref{ex:intro_obj}), whereas the others may be attached to the verb or occur in a free form (\ref{ex:intro_both}).",ex:intro_obj,\gll e=xale go | \gls 1SG=see 2SG | \glt (for: I see you)},ex:intro_both,\gll e=xale-ko ka=yo | \gls 1SG=see-2SG.OBJ SBJ=1SG | \glt I see you.},,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Person forms and demonstratives,,,,"The demonstratives resemble in part the articles, which are also listed in \Cref{tab:intro_demonstratives}. Two demonstratives, na and its repeated form ha (meaning it is used if the information is repeated, often with insistence), cannot be used as predicates, nor do they mark number or proximity: they are deictic pronouns that take a nominal predicate. They are illustrated in (\ref{ex:na}) and (\ref{ex:ha}).",ex:na,\gll na yo | \gls DEM 1SG | \glt It's me.,ex:ha,"\gll li=xa-vuki vai ko-n thexhwaade, {\ob}ha{\cb} {\ob}li=kalen{\cb} | \gls DEF.PL=NMLZ-stem stone on-NSPEC T. DEM.REP DEF.PL=K | \glt The owners of Thexhwaade rock, are the Kalens (and no-one else).",,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Element order,,,,"Like many other Oceanic languages in the area, Vamale is predominantly VOS \REF{ex:vos}, though the pragmatically most important element (usually the subject) is frequently fronted \REF{ex:vos2}. Modifiers follow the modified, as in \REF{ex:vos1}.",ex:vos,\gll le=fwii i=jamwa-m ka=li=mani | \gls 3SG=wake.up DEF.SG=father-1SG.POSS SBJ=DEF.PL=bird | \glt The birds wake my father up.,ex:vos2,"\gll i=jamwa-m, go=fwi-a | \gls DEF.SG=father-2SG.POSS 2SG=wake.up-3SG | \glt Your father, you wake him up.",ex:vos1,\gll go=fwii i=jamwa-m a=meebam | \gls 2SG=wake.up DEF.SG=father-2SG.POSS REL=sleep | \glt You wake up your sleeping father.,,,,,,,,,,,,,,
Typological overview % Main chapter title,Argument coding,,,,"Vamale has several strategies for argument coding. Its differences from those of Vamale's closest relatives, are likely due to contact with surrounding languages. (Pro)nominal subjects are marked differently from objects. As with all Northern New Caledonian languages, subject noun phrases of all verb classes are marked with dedicated (pro-clitic) particle, in this case ka, e.g. (\ref{ex:active}), or a when following a consonant-final word (e.g. a=soom a=ya \qu{she=swims \gl{sbj}=she}). However, ka \qu{\gl{sbj}} is optional and unusual for intransitive subjects, while it is obligatory for transitive ones. This is a tripartite alignment system as illustrated in \Cref{fig:intro_alignment1}, and found in other Voh-Koné languages as well.",ex:active,\gll e=bune i=balô ka=yo | \gls 1SG=steal DEF.SG=ball SBJ=1SG | \glt I steal the ball.,,,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Argument coding,,,,"``Active verbs"" may be either transitive or intransitive. They index transitive subjects \gl{a} identically to agent-like intransitive subjects \gl{S\textsubscript{A}}, and distinguish them from objects \gl{p}, as in (\ref{ex:active}). Another group of verbs, ``stative verbs"", are always intransitive (\ref{ex:stative}), and mark the subject \gl{S\textsubscript{P}} similarly to undergoers in transitive verbs, but are distinct from them (see \Cref{tab:intro_markers} for the forms). %The distinction between \gl{S\textsubscript{P}} and \gl{p} forms is blurry depending on the speaker, and may in time disappear. The distinction is not found in western Voh-Koné where a strictly split-transitive system marks \gl{S\textsubscript{P}} like \gl{p} and like possessors as well, but instead the Vamale distinction mirrors the one found in Pije and Nemi spoken to the north of Vamale.",ex:active,\gll e=bune i=balô ka=yo | \gls 1SG=steal DEF.SG=ball SBJ=1SG | \glt I steal the ball.,ex:stative,\gll xawe-ong ka=yo | \gls young-1SG SBJ=1SG | \glt I am young.,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Argument coding,,,,"This means that additionally to split-transitivity, which is common in the area, Vamale features a split along \gl{a}, \gl{S\textsubscript{A}}\slash\gl{S\textsubscript{P}}\slash\gl{p}. Some constructions, however, show yet different patterns: de-verbal nominalizations exhibit ergative alignment for inanimate subjects and undergoers, see (\ref{ex:intro_erg}) and \Cref{fig:intro_alignment3}. This last strategy is most likely related to possessive constructions, and uses similar morphemes (ka and ka(-n), respectively). %It may have been calqued from a similar Cèmuhî construction, Vamale's neighbour to the south.",ex:intro_erg,\gll i=hun-coopwi ka i=vai | \gls DEF.SG=NMLZ-bury LINK DEF.SG=stone | \glt the burying of the stone,,,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Argument coding,,,,"Ditransitive constructions distinguish human recipients from non-human ones; nya-si- \qu{put-hand} is used for humans and nya-ko for non-humans and humans in informal contexts alike. The markers can be discontinuous, as seen in \REF{ex:intro_nyasi_gift}. The constituent order is relatively free and subject to pragmatic preferences (compare (\ref{ex:intro_nyasi_demand}) and (\ref{ex:intro_nyasi_gift})).",ex:intro_nyasi_gift,\gll a=nya li=saleka-n si li=apuli | \gls 3SG=give DEF.PL=property-3SG.POSS BEN DEF.PL=person | \glt He gives his things away to the people.,ex:intro_nyasi_demand,\gll e=ila-ke nyasi-m i=vai ka=yo | \gls 1SG=make.request-TR BEN-2SG.POSS DEF.SG=stone SBJ=1SG | \glt I (politely) ask you for the stone (lit. I request the stone from you).,ex:intro_nyasi_gift,\gll a=nya li=saleka-n si li=apuli | \gls 3SG=give DEF.PL=property-3SG.POSS BEN DEF.PL=person | \glt He gives his things away to the people.,,,,,,,,,,,,,,
Typological overview % Main chapter title,Word classes,,,,"Verbs can be sub-classified into free and dependent verbs, stative (i.e. state-like) and active (activity-like) ones. Nouns distinguish classifiers and different sub-classes nouns depending on their possessive morphology and ability to head a phrase. There are a number of subordinators, tense/aspect/mood markers, different kinds of pronouns etc. Typologically interesting aspects include the lack of a dedicated numeral class, whose function is instead covered by stative verbs, e.g. thaloo-lu \qu{two-3\gl{du}} \qu{there are two, they are two}. There are no adjectives either, as is common in the area, where predicative adjectival functions are covered by stative verbs, and attributive ones by relative clauses, as seen in (\ref{ex:intro_pred}) and (\ref{ex:intro_att}).",ex:intro_pred,\gll vun-eo(ng) | \gls blue-1SG | \glt I am blue.,ex:intro_att,\gll a=thêên a i=thamo (a=) en maa-n | \gls 3SG=run SBJ DEF.SG=woman REL= fine face-3SG.POSS | \glt The beautiful (lit. `fine-faced') woman is running.,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Word classes,,,,"The negator cipa, the assertive marker tha, and epistemic mood markers such as the irrealis conditional cama \qu{if ever} can precede both verbal and nominal (i.e. equational) clauses, see (\ref{ex:intro_clause}).",ex:intro_clause,\gll tha cipa=le=hân | \gls ASS NEG=3PL=go | \glt They did not leave.,,,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Verbs and verb phrases,,,,"Free verbs may take person-indexing proclitics (in the case of active verbs) or suffixes (for stative verbs), but usually omit them if in the imperative or prohibitive mood. The latter is marked by a particle cipii (\ref{ex:intro_cipii}), related to the predicate negator cipa (\ref{ex:intro_cipa}).",ex:intro_cipii,\gll cipii (go)=see! | \gls PROH 2SG=cry | \glt Don't (you) cry!,ex:intro_cipa,\gll cipa=go=xaleke? | \gls NEG=2SG=see | \glt Don't you see?,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Verbs and verb phrases,,,,"A set of particles precede the predicate to mark aspect and mood, as in \REF{ex:intro_bwa}. They can be combined, with sometimes idiosyncratic new meanings, and are sensitive to the verb's semantic nature (``aktionsart"").",ex:intro_bwa,"\gll e=bwa=yahan | \gls 1SG=IPFV=leave | \glt I will leave, I am just leaving.",,,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Verbs and verb phrases,,,,"Verbs do not inflect for tense; indeed there are no dedicated tense markers, though the imperfective marker bwa and the irrealis bo are used to suggest future actions (as in ex. \ref{ex:intro_bwa}), progressive koon implies (relative) present tense and the perfectives pa and ja refer to the past.",ex:intro_bwa,"\gll e=bwa=yahan | \gls 1SG=IPFV=leave | \glt I will leave, I am just leaving.",,,,,,,,,,,,,,,,,,
Typological overview % Main chapter title,Derivation,,,,"Many verbs are nominalized simply by putting an article before them, and some nouns can be verbalized by adding the transitive suffix -ke. Indeed, entire verb phrases with arguments (but not tense or aspect markers) may be nominalized with an article. Other derivational affixes are the locative nominalizer ape- (ape-tabo \qu{place-sit; chair}), the manner nominalizer hun- (hun-mata \qu{manner-sing; singing style}), the instrumental e- and the agentive xa-. While e- is ancient, others can be transparently reconstructed as former preposed nouns: ape-n \qu{trace}, xa- from xayu \qu{man, male}. See (\ref{ex:intro_erg}) for two examples of nominalizers.",ex:intro_erg,\gll i=hun-coopwi ka i=vai | \gls DEF.SG=NMLZ-bury LINK DEF.SG=stone | \glt the burying of the stone,,,,,,,,,,,,,,,,,,
