Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Noun phrases,,,,,"%The examples in (\ref{ex:alignment}) show that the subject marking on active verbs, which include ta \qu{go up} and all transitive verbs such as xaleke \qu{to see}, displays nominative/accusative alignment, as do the free pronouns.",ex:alignment,"\gll go, e=xale-ko | \gls 2SG 1SG=see-2SG | \glt You, I see you.",,,,,,,,,,,,,,,,,,
Noun phrases,,,,,"This is typical of canonic Oceanic languages \parencite[495]{ross_morphosyntactic_2004}. Free pronouns can be flagged, like nouns, for the roles of transitive subject and intransitive subject, both obligatorily with ka \qu{\gl{sbj}}, while nouns can omit ka in intransitive scenarios, see (\ref{ex:opt_ka}). Personal pronouns can be flagged as oblique, but they cannot be used as undergoer arguments, contrary to nouns and demonstrative pronouns, e.g. ena and nienaen. Flagging is discussed in \sectref{sec:Casmark}.",ex:opt_ka,"\gll cama vi hapi a=moo a=sibu ta-me \textbf{ka} i=jati nya-xahut hai cama hu-pe ca=hmape-thoatit a= xada | \gls SUBR say COMP 3SG=stay 3SG=swell go.up-DIR.CP SBJ DEF.SG=sea towards-down.there or if come.down-DIR.CP INDF.SG=flesh-sky REL= up.there | \glt If one said (=let's imagine) that the sea down there should swell and rise, or that some cloud up there should come down [and shatter us, we shall still do custom]...",,,,,,,,,,,,,,,,,,
Noun phrases,,,,,"In unmarked scenarios, \gl{p} and \gl{s} are marked the same way, meaning that both undergoer and intransitive subject noun phrases follow the verb without flagging, as shown in (\ref{ex:flagNP1}, \ref{ex:flagNP2}). Transitive subject noun phrases (\gl{a}), by contrast, are obligatorily marked by ka \qu{\gl{sbj}} (\ref{ex:flagNP3}). This yields a tripartite alignment for nominal flagging, see \Cref{fig:alignment3}. The particle ka, however, may also occur optionally with \gl{S\textsubscript{A}} and \gl{S\textsubscript{P}} (hence the gloss \qu{\gl{sbj}}). Note that this optional focusing use is not described for other languages in the area, suggesting it might be a relatively recent development.",ex:flagNP1,\gll [a=han [i=xhaohmu]] | \gls 3SG=walk DEF.SG=elder | \glt [The elder] walks.,ex:flagNP2,Not found,ex:flagNP3,\gll a=xaleke i=xhaohmu ka=ya | \gls 3SG=see DEF.SG=old SBJ=3SG | \glt He sees the elder.,,,,,,,,,,,,,,
Noun phrases,Case marking,Agentive marker ka ,,,"This ka is a subject marker (\ref{ex:sbj marker}).\footnote{The Pije cognate to the agentive marker is lu.} Its allomorph a is conditioned by a final consonant on the preceding word. It is obligatory before nouns and pronouns that agree with the verb in an \textbf{A} function, probably because unmarked transitive subjects can occur at the very end of long VOS sentences, and directly after an object noun phrase:",ex:sbj marker,\gll {\ob}e=xaleke i={\ob}jili i=bwaakala{\cb\cb} ka yo | \gls [1SG=see DEF.SG=[build_with_wood DEF.SG=canoe]] SBJ 1SG | \glt I see the building of the canoe.,,,,,,,,,,,,,,,,,,
Noun phrases,Case marking,Agentive marker ka ,,,"\noindent A clitic ka is optional for S\textsubscript{A/P}, probably in an extension of the first scenario. In principle, Vamale participant flagging is a tripartite flagging system, since it disambiguates A, which must take ka, from S, which may take ka, from O, which may not take ka (see \Cref{fig:alignment3}). %In nominalizations, this changes: while ka is obligatory for A, and optional for both S and O (provided A is not explicit) (\ref{ex:nmlz ka}).",ex:nmlz ka,Not found,,,,,,,,,,,,,,,,,,
Noun phrases,Case marking,Agentive marker ka ,,,"Contrary to A arguments, which have to be marked with ka unless fronted and thus not part of the clause anymore (e.g. yo, e=xale-a \qu{me, I see them}, see \sectref{sec:fronting}), S arguments do not have to be marked with ka (\ref{ex:optional_ka}).",ex:optional_ka,\gll a=hup-wa (ka) i=jati | \gls 3SG=go.down-REP (SBJ) DEF.SG=sea | \glt The tide goes down again.,,,,,,,,,,,,,,,,,,
Noun phrases,Case marking,Agentive marker ka ,,,"In nominalizations as well, ka \qu{\gl{sbj}} obligatorily occurs to mark A (\ref{ex:nmlz-ka1}, \ref{a ka yo}). P may take a different ka \qu{\gl{link}} when it is the only participant present in the construction (\ref{ex:nmlz-ka2}). If several participants co-occur, this option disappears, as the clause would otherwise become confusing. As this ka only marks S and P, I gloss it subsequently as absolutive (see \sectref{kan}).",ex:nmlz-ka1,\gll i=hun-saxhuti i=jaxhut nyanya-n-eong \textbf{ka} caacaa-n-eong | \gls DEF.SG=NMLZ-narrate DEF.SG=story mother-POSS-1SG.POSS SBJ father-POSS-1SG.POSS | \glt my father's way of telling my mother's story,ex:nmlz-ka2,\gll i=hun-vii (ka) i=jaxhut | \gls DEF.SG=NMLZ-say LINK DEF.SG=story | \glt the way to say the story,,,,,,,,,,,,,,,,
Noun phrases,Case marking,Agentive marker ka ,,,"%Stuff with -n in \ref{ex:no n} has to with specificity. -n is generic, absence of -n means a specific (but not necessarily definite) NP i, eca, ca, li=X.",ex:no n,Not found,,,,,,,,,,,,,,,,,,
Noun phrases,Case marking,Agentive marker ka ,,,The construction in (\ref{ex:coorka2}) is a more colloquial way of asking for the agent of an action and skips the usual pronoun kai \qu{who?}.,ex:coorka2,"\gll na a=nya ka? | \gls DEM 3SG=put SBJ | \glt This, who put it there?",,,,,,,,,,,,,,,,,,
Noun phrases,Case marking,Oblique markers,Benefactive nya,,"Most nya forms are verbs and head a phrase themselves (\ref{ex:nyaV}). However, nya may also act as an oblique marker and introduce a noun phrase. Since no non-contiguous serial verb construction (s)VoVo is otherwise attested in the language, (\ref{ex:nyakai}) is analyzed as a verb phrase vwa ena \qu{do this} and the animate beneficiary marker nya, which introduces the pronoun kai \qu{who}. Nya is also used as a spatial preposition meaning \qu{towards} (\sectref{ssec:prox_Adv}).",ex:nyaV,\gll nya-a-me! | \gls send-move.same.level-DIR.CP | \glt Give it to me!,ex:nyakai,\gll go=vwa ena nya kai? | \gls 2SG=do DEM.DIST give who | \glt For whom do you do that?,,,,,,,,,,,,,,,,
