Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Simple clauses,Word order,,,,"Word order in Vamale does not change across clause types. Vamale is head-first and usually VOS, though fronted, bi-clausal constructions are common: S, VO. The verb always precedes the object, and the traditionally non-marked order expects the subject after the noun. Oblique arguments tend to follow objects (\ref{ex:obj_then_obl}), but pragmatic choices can invert the unmarked order (\ref{ex:obl_then_obj}). In general, the earlier a constituent is introduced, the more marked it is. %The subject is often fronted, but may then still occur after the verb, indicating that a fronted subject is not a constituent of the clause.\footnote{Prosodically, too, the fronted subject has an own contour, which yields two intonation units: the fronted subject, and the clause.} Fronting can be used to focus on any constituent, a resumptive morpheme remains in the matrix clause.",ex:obj_then_obl,\gll e=holeke [sikaa]\textsuperscript{obj} [nyasi i=apuli a= xhwata]\textsuperscript{obl} | \gls 1SG=thank.for cigarette BEN DEF.SG=man REL= bald | \glt I thank the bald man for the cigarette.,ex:obl_then_obj,\gll e=holeke nyasi-m li=fati a= go=vi | \gls 1SG=thank.for BEN-2SG.POSS DEF.PL=word REL= 2SG=say | \glt I thank you for the words.,,,,,,,,,,,,,,,,
Simple clauses,Word order,,,,"The basic word order VOS is generally more common with older speakers, while younger generations often front the subject. Stative verbs, especially with inanimate arguments such as in (\ref{ex:xhong}), seem to be exempt from the fronting mentioned above, regardless of the speaker demographic. With animate arguments, fronting is especially common, especially when the agent is stressed. Strategies to make the subject less salient to the listener include using the VOS order, as well as not mentioning the subject, and fronting the object, as in (\ref{ex:fronted_obj}).",ex:xhong,\gll sinu i=xho-ng | \gls ill DEF.SG=leg-1SG.POSS | \glt My leg hurts.,ex:fronted_obj,"\gll go, e=xale-ko | \gls 2SG 1SG=see-2SG | \glt You, I see you.",,,,,,,,,,,,,,,,
Simple clauses,Word order,,,,"%Stative verbs use different morphemes to mark their subjects, and those suffixes are not identical (although very similar) to object-marking suffixes found on transitive verbs, as in (\ref{ex:1sg_sbj}). Inanimate participants are neither marked with object suffixes nor stative subject suffixes, but otherwise behave like animate ones, i.e. inanimate noun phrases are flagged as subjects and obliques. Both non-specific objects (irrespective of animacy) and inanimate non-specific stative subjects are marked with -n \qu{\gl{nspec}} on the verb. This distributional similarity between inanimate objects and stative subjects, as well as the formal similarity of the -\gl{S\textsubscript{P}} and -\gl{p} suffixes raises questions concerning an animate/inanimate split.",ex:1sg_sbj,Not found,,,,,,,,,,,,,,,,,,
Simple clauses,Clause types,Declarative clauses,Discourse marker ka,,Putting ka at the end of a sentence is a question to the listener: do you follow? This ka (\ref{ex:coorka1}) is probably related to ka \qu{\gl{cnj}}.,ex:coorka1,"\gll jaa nyu ka | \gls many fish DISC | \glt way too many fish, like",,,,,,,,,,,,,,,,,,
Simple clauses,Clause types,Declarative clauses,Discourse marker go,,"One of the most common morphemes found on a clausal level is go \qu{well, now, and then}. It cannot be used to coordinate noun phrases nor verb phrases, and occurs before coordinators, assertive tha, and other left-most boundaries of clauses (\ref{ex:go}). It is a frequent filler, stretched out to prolong the thinking time of the speaker (gooooo... \qu{weeell}). Its meaning does not carry information about the relationship of the surrounding clauses: while in many cases, the clause following go \qu{and then, furthermore} does semantically follow the previous ones (\ref{ex:go2}), go \qu{now, on the other hand} can also mark a change of subject.",ex:go,"\gll go tha le=vwa goo i=coutume a= tha le=vwa | \gls DISC ASS 3PL=do enough DEF.SG=custom REL= ASS 3PL=do | \glt Well, they kept the ceremonies that they did, moderate.",ex:go2,"\gll go ka e=ilake hapi gavwe wago | \gls DISC CNJ 1SG=ask COMP 2PL brave | \glt Well, and I ask you to be brave.",,,,,,,,,,,,,,,,
Simple clauses,Clause types,Declarative clauses,Discourse marker bwa,,"Similarly to go, bwa is frequently used at the beginning of a clause. It contributes an attenuating meaning to the clause: \qu{just, first, quickly} (\ref{ex:bwa_disc}), but is also used like go to keep the speaker role (\ref{ex:bwa_disc2}).",ex:bwa_disc,"\gll bwa the-balan=wan-ea ka i=yata-n Manu ka | \gls DISC THEPUNCT-REAL=change-3SG.OBJ CNJ DEF.SG=name-3SG.POSS M. DISC | \glt First thing that was done, he was quickly and suddenly replaced by the one called Manu, you know.",ex:bwa_disc2,"\gll ha-go bwaa, tha bwa devoilé Wawa mwa ka Jon xaleke | \gls EXCM-2SG DISC ASS IPFV unmasked W. DEICT SBJ J. see | \glt Man, well, that's when Wawa was unmasked by John, see.",,,,,,,,,,,,,,,,
Simple clauses,Clause types,Verbless clauses,,,"Vamale has no copula, and thus juxtaposes two nouns do form an equative construction, where the first is the topic, and the second the comment. The example given in (\ref{ex:nyaiung}) is in Usa Vamale.",ex:nyaiung,"\gll cahma yo ven papa-n ven apuli-ca {ko} {vin} {apuli} {cahni} {nyae}-{ung} | \gls TOP 1SG DEF.SG father-POSS DEF.SG person-PROX because DEF.SG person here child-1SG.POSS | \glt [My sister married a man from Poindimié] and me, [I married] the father of the man here, for the man here is my son.",,,,,,,,,,,,,,,,,,
Simple clauses,Clause types,Verbless clauses,,,The nominal predicate can also be marked with a third person proclitic a (\ref{ex:xavee1}) and be followed by a subject NP flagged with ka \qu{\gl{sbj}} (\ref{ex:xavee}).,ex:xavee1,"\gll jacob tha=a=juu xa-vee ma hmwaana | \gls J. ASS=3SG=really AGT.NMLZ-fuck when like.this | \glt Jacob, he's there like a fool when it's like this (if there is no bed for him).",ex:xavee,Not found,,,,,,,,,,,,,,,,
Simple clauses,Clause types,Interrogative clauses,Content questions,,"Content questions replace the missing information with a question word, though examples where the missing information is at the end, and just left out, are also attested. The question words are listed in \Cref{tab:ques}. The pronoun kai \qu{who}, maybe from ka i \qu{and the}, does not have cognates in neighboring languages.\footnote{Voh-Koné \parencite[125]{rivierre_bwatoo_2006} as well as Cèmuhî \parencite[215]{rivierre_langue_1980} use de.} The noun da \qu{what}, used to be considered a impolite, threat-like form, because of its homophony with da \qu{spear} (\ref{ex:da2}). hmwaeke \qu{how?} is preferred, as in (\ref{ex:ko_hmwaeke}). The adverb hmwa-eke \qu{how} is related to the verbs hmwa-ena/hmwa-ehni \qu{thus}, the noun hmwa-goon \qu{half} (probably composed of hmwa- and goo-n \qu{body, sum}), as well as the adverb hmwa-ka-n \qu{like X}. nyeet \qu{when} is an adverb (\ref{ex:nyeet}).",ex:da2,"\gll i=bol gase=vwa ko i=da? | \gls DEF.SG=ball 1PL.INCL=do OBL DEF.SG=what | \glt The (cricket) ball, what did we make them with?",ex:ko_hmwaeke,\gll sahnaang-eo ma le=vwa ko hmwaeke | \gls not.understand-1SG SUBR 3PL=do because be.how | \glt I'm not sure why they do this (lit. I'm not sure that they do it because of what).,ex:nyeet,\gll go=ta-mwa-me nyeet? | \gls 2SG=go.up-REP-DIR.CP when | \glt When did/will you come back?,,,,,,,,,,,,,,
Simple clauses,Clause types,Interrogative clauses,Content questions,,The stative verbs heeve\qu{where (mobile)} (\ref{ex:heeve}) and ve\qu{where (immobile)} (\ref{ex:ve}) can be combined with nya \qu{towards} and eca \qu{\gl{indf}.\gl{pl}} to form adverbs.,ex:heeve,\gll go=han heeve? | \gls 2SG=go where | \glt Where are you going?,ex:ve,\gll go=ha-me moo ve? | \gls 2SG=go-DIR.CP stay where | \glt Where are you coming from?,,,,,,,,,,,,,,,,
