Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verbs,,,,,"Verbs are the biggest word class in Vamale after nouns. They make up over a third of the recorded lexicon (1314/3627), with nouns numbering 1844 (counting proper nouns and common deverbal nominalizations). In Vamale, apart from predication, verbs may modify nouns (covered in \sectref{sec:ModNoun}) and verbs alike (\sectref{ssec:CompV}, \sectref{sec:SVC}, and \sectref{ssec:MannerV}), though adverbs exist as well (\sectref{sec:Adv}). Intransitive verbs can form clauses on their own. Verbs can be divided into three main classes, according to their subject-indexing morphology. Active verbs, which bear subject-indexing on their left (see \sectref{sec:ActV}), mark transitive subjects like agent-like intransitive subjects, compare examples (\ref{ex:itr}) and (\ref{ex:an}) (\Cref{fig:alignment}). Stative verbs, described in \sectref{sec:StatV}, take suffixes for subject-indexing (\ref{ex:stat}) and use morphemes distinct from undergoer-indexing suffixes, shown in \Cref{tab:markers2}. Verbs usually index the subject, except in imperative constructions, in serial verb constructions if they are not the first verb, and, for stative verbs, if the subject is inanimate. The argument markers can be omitted for pragmatic reasons, most prominently in lists of things happening, or when it is otherwise clear to whom something happens, as in (\ref{ex:same-subject}).",ex:itr,\gll le=soom | \gls 3PL=swim | \glt They swim.,ex:an,\gll le=caihna li=apuli | \gls 3PL=know DEF.PL=person | \glt They know the people.,ex:stat,\gll sinu-le | \gls suffer-3PL | \glt They suffer.,ex:same-subject,Not found,,,,,,,,,,,,
Verbs,,,,,%\ea \ref{ex:v},ex:v,Not found,,,,,,,,,,,,,,,,,,
Verbs,Impersonal verbs,,,,"Impersonal verbs, a term used by \textcite[70]{rivierre_langue_1980} for Cèmuhî, do not take argument indices and cannot occur in the imperative mood, but like other verbs they can form complete clauses by themselves and can either occur with an argument or without it. One subset of impersonal verbs, the affirmative existential vwa and the negative existential cika, can only take a noun phrase as an argument, but these are not the subject, as evidenced by their inability to take ka \qu{\gl{sbj}}. This excludes pronouns. Since Vamale does not have a word for \qu{to have}, having or not having something is expressed with possessive constructions, as in (\ref{ex:vwa_have}): e.g. \qu{there is for me}, calqued into local French: Il y a une femme pour toi? \qu{Is there a wife for you?} meaning \qu{Do you have a wife?} Cika \qu{\gl{neg}.\gl{exist}} only takes inanimate and non-specific animate arguments, while cia- is open to arguments of any animacy, and generic inanimates. Vwa \qu{\gl{exist}} may exceptionally take free pronouns and specific animate arguments in marked scenarios (persons will usually be localized with la \qu{be here} and demonstratives).",ex:vwa_have,Not found,,,,,,,,,,,,,,,,,,
Verbs,Impersonal verbs,,,,"Another subset of impersonal verbs takes a complement clause as their sole argument (\ref{ex:impV1}), but can also stand alone (\ref{ex:impV2}). They form a small, closed class, partly derived from nouns. Goon ma \qu{allowed, possible to}, vwasoon ma \qu{impossible to},\footnote{Maybe from vwa-s(it)oon \qu{\gl{exist}-taboo}.} siteke ma \qu{forbidden to} work like this (see \Cref{fig:VwaTree}).",ex:impV1,Not found,ex:impV2,Not found,,,,,,,,,,,,,,,,
Verbs,Impersonal verbs,,,,"Uta \qu{rain}, mapeke \qu{be day}, bwen \qu{night} and other members of the lexical field of weather phenomena, sea tide, etc. exist as article-bearing nouns as well, do not take arguments, but can form clauses and take certain adverbs. This third group is called verbs on the basis of constructions where the members cannot behave like typical nouns (\ref{ex:uta}), and following analyses of cognates in other languages, where the forms can be derived to take arguments: bwen-i-ɛg \qu{It becomes night around me} \parencite[302]{rivierre_langue_1980}. This argument-taking is not attested in Vamale (anymore), but oblique constructions still exist.",ex:uta,Not found,,,,,,,,,,,,,,,,,,
Verbs,Stative verbs,Dependent stative verbs,,,"Animate subjects are indexed on stative verbs with personal suffixes (-eo \qu{1\gl{sg}}, -go \qu{2\gl{sg}} etc.) when they are not present as a noun phrase (\ref{ex:Vn1}). Inanimate subjects take -n \qu{\gl{ana}} in these cases (\ref{ex:Vn2}). %If the subject is expressed as an NP in the same clause, the stative verb does not carry a suffix for animate NPs (\ref{ex:VnbareAnim}), and definite inanimate NPs (\ref{ex:VnbareInanim}).",ex:Vn1,\gll sate-o | \gls different-1SG | \glt I am different.,ex:Vn2,\gll sate-n (koo-n) | \gls different-ANA (OBL-ANA) | \glt It is different (from it).,ex:VnbareAnim,\gll xhopwe i=apuli-aen | \gls grow DEF.SG=man-DEM | \glt This man is bigger/taller/ more important.},ex:VnbareInanim,Not found,,,,,,,,,,,,
Verbs,Stative verbs,Dependent stative verbs,,,"Generic subjects are always marked with -n \qu{\gl{nspec}} (\ref{ex:Vn}). These rules begin to be less rigidly enforced in Voh-Koné languages in general \parencite[51]{rivierre_bwatoo_2006}, and -n now often appears before noun phrases regardless of their animacy and specificity (\ref{ex:xhopwen i-X}). This may have contributed to the development of noun phrase internal modifiying verbs (see \sectref{sec:adj}).",ex:Vn,Not found,ex:xhopwen i-X,"\gll xhopwe(n) i=goon | \gls big DEF.SG=body | \glt the big body (height, corpulence)",,,,,,,,,,,,,,,,
Verbs,Stative verbs,Dependent stative verbs,,,"For xhopwe-n \qu{big}, there is a meaning distinction along an animacy axis: without -n, it expresses either a development \qu{big} \rightarrow \qu{get bigger}, through time in comparison with an earlier state (\qu{grow}), or synchronically in comparison with others (\qu{be bigger than}, see example \ref{ex:VnAnim}). A table summarizes the forms (\Cref{tab:V-n}). xhopwe- means \qu{to be bigger} for animate subjects (\ref{ex:VnAnim}) and \qu{to be big} for inanimates (\ref{ex:xhopwen i-X}, \ref{ex:xhopwen}). %, if it is clear from the context that it is a momentary observation. %xhopwe- means \qu{to grow, to be bigger} for all subjects (\ref{ex:VnbareInanim}, \ref{ex:xhopwen can}).",ex:VnAnim,Not found,ex:VnAnim,Not found,ex:xhopwen i-X,"\gll xhopwe(n) i=goon | \gls big DEF.SG=body | \glt the big body (height, corpulence)",ex:xhopwen,\gll i=apuli a= xhopwe-n | \gls DEF.SG=man REL= big-ANA | \glt the fat/old/important man},ex:VnbareInanim,Not found,ex:xhopwen can,Not found,,,,,,,,
Verbs,Stative verbs,Dependent stative verbs,,,"%xhopwen in (\ref{ex:xhopwen i-X}) means \qu{its growth, its size}, and is derived from \qu{to grow}. Compare hun-xhopwen an, literally \qu{his/her way of being/becoming big} means \qu{his/her corpulence}. % %todo{??? What is exactly derived from what here...?}",ex:xhopwen i-X,"\gll xhopwe(n) i=goon | \gls big DEF.SG=body | \glt the big body (height, corpulence)",,,,,,,,,,,,,,,,,,
Verbs,Stative verbs,Dependent stative verbs,,,"A construction frequently seen with animate subjects is shown in (\ref{ex:xhopwen}). The unmarked use of xhopwe, as explained above, is as a predicate with comparative meaning (\ref{ex:VnbareAnim}). In a relative clause, xhopwe is ungrammatical without a resumptive subject-indexing suffix (\ref{ex:Vno}), e.g. -a, or an anaphoric suffix -n (\ref{ex:xhopwen can}). In example (\ref{ex:xhopwen}), however, the meaning of xhopwen is not comparative. This construction seems to be a strategy to avoid the incremental\slash comparative meaning of certain stative verbs, and may be related to the de\hyp grammaticalization of -n mentioned for xhopwen in \Cref{tab:V-n}.",ex:xhopwen,\gll i=apuli a= xhopwe-n | \gls DEF.SG=man REL= big-ANA | \glt the fat/old/important man},ex:VnbareAnim,\gll xhopwe i=apuli-aen | \gls grow DEF.SG=man-DEM | \glt This man is bigger/taller/ more important.},ex:Vno,\gll i=apuli a= xhopwe | \gls DEF.SG=man REL= big | \glt (for: the man who is big)},ex:xhopwen can,Not found,ex:xhopwen,\gll i=apuli a= xhopwe-n | \gls DEF.SG=man REL= big-ANA | \glt the fat/old/important man},,,,,,,,,,
