Chapter,Section,Subsection,Subsubsection,Subsubsubsection,Knowledge Point,Label 1,Content 1,Label 2,Content 2,Label 3,Content 3,Label 4,Content 4,Label 5,Content 5,Label 6,Content 6,Label 7,Content 7,Label 8,Content 8,Label 9,Content 9,Label 10,Content 10
Verbs\label{ch:verbs,Types of verbs,,,,"Quechua verb stems are usually classed as (di-)transitive (\phono{qu-} ‘give’, \phono{riku-} ‘see’), intransitive (\phono{puñu-} ‘sleep’), or copulative (\phono{ka-} ‘be’). A fourth class can be set apart: onomatopoetic verbs (\phono{chuqchuqya-} ‘nurse, make the sound of a calf nursing’). Special cases include the deictic verb \phono{hina-}, the dummy verb \phono{na-}, and the combining verbs \phono{\pb{-naya-}} ‘give desire’ (\sectref{ssec:senspsy}) and \phono{-na-} ‘do what, matter, and happen’ (\sectref{ssec:todona}). \sectref{sec:transitiveverbs}--\ref{sec:onomatopoeicverbs} cover transitive, intransitive, equational, and onomatopoetic verbs, in turn.",sec:onomatopoeicverbs,Not found,,,,,,,,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Transitive verbs\label{sec:transitiveverbs,,,Transitive verbs\index[sub]{verbs!transitive} are standardly defined for Quechuan languages as those that can take regular-noun direct objects case-marked accusative (\phono{llama-\pb{ta}} \phono{maqa-rqa} ‘They hit the llama’)~(\ref{Glo4:WakKasha}--\ref{Glo4:Vakatall}).,Glo4:WakKasha,\gsrc Wak Kashapatapiñam maqarura \textbf{César Mullidata}. | \gll wak Kashapata-pi-ña-m maqa-ru-ra César Mullida-ta | \gls DEM.D Kashapata-LOC-DISC-EVD beat-URGT-PST César Mullida-ACC | \glt They beat \textbf{César Mullida} there in Kashapata.,Glo4:Vakatall,"\gsrc ¡\textbf{Vakata} \textbf{lliwta} qaquruy! Rikurushaq hanaypim. | \gll vaka-ta lliw-ta qaqu-ru-y ri-ku-ru-shaq hanay-pi-m | \gls cow-ACC all-ACC toss.out-URGT-IMP go-REFL-URGT-1.FUT up.hill-LOC-EVD | \glt Toss out \textbf{the cows}, \textbf{all of them}! I’m going to go up hill.",,,,,,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Transitive verbs\label{sec:transitiveverbs,,,"In addition to regular transitives, verbs of motion (\phono{lluqsi-} ‘leave’)~(\ref{Glo4:Yakupis}) and impersonal (“weather”) verbs (\phono{riti-} ‘snow’)~(\ref{Glo4:Llaqtayki}),~(\ref{Glo4:Tukuy}) may appear in clauses with regular nouns case-marked \phono{-ta}. In these instances, however, \phono{-ta} does not indicate accusative case.\footnote{An anonymous reviewer points out that the verbs in~(\ref{Glo4:Llaqtayki}) and~(\ref{Glo4:Tukuy}) could be interpreted as transitive (telic) verbs with accusative arguments. \phono{para-}, for example, is interpretable as ‘rain on’ and \phono{pukuta-} as ‘cloud over’, in which case \phono{-ta} in \phono{llaqta-yki-ta} and\phono{-kta} in \phono{llaqta-kta} would have to be interpreted as genuine accusatives.}",Glo4:Yakupis,\gsrc Yakupis tukuy pampa\textbf{ta} rikullaq. | \gll yaku-pis tukuy pampa-ta ri-ku-lla-q | \gls water-ADD all ground-ACC go-REFL-RSTR-AG | \glt The water used to run all \textbf{over} the ground.,Glo4:Llaqtayki,\gsrc ¿Llaqtayki\textbf{ta} paranchu? | \gll llaqta-yki-ta para-n-chu | \gls town-2-ACC rain-3-Q | \glt Does it rain \textbf{on} your town?,Glo4:Tukuy,\gsrc Tukuy puntraw pukutalunqa llaqta\textbf{kta}. | \gll tukuy puntraw pukuta-lu-nqa llaqta-kta | \gls all day cloud-URGT-3.FUT town-ACC | \glt It’s going to cloud over \textbf{on} the town all day.,Glo4:Llaqtayki,\gsrc ¿Llaqtayki\textbf{ta} paranchu? | \gll llaqta-yki-ta para-n-chu | \gls town-2-ACC rain-3-Q | \glt Does it rain \textbf{on} your town?,Glo4:Tukuy,\gsrc Tukuy puntraw pukutalunqa llaqta\textbf{kta}. | \gll tukuy puntraw pukuta-lu-nqa llaqta-kta | \gls all day cloud-URGT-3.FUT town-ACC | \glt It’s going to cloud over \textbf{on} the town all day.,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Intransitive verbs\label{subsec:intransitiveverbs,,,"Intransitive verbs\index[sub]{verbs!intransitive} are those, like \phono{puñu-} ‘sleep’~(\ref{Glo4:Kamapamnuqa}) and \phono{wiña-} ‘grow’~(\ref{Glo4:Chaypaqa}), that cannot occur in clauses including a regular noun case-marked accusative (\phono{*puñu-ni} \phono{kama-ta} target meaning: ‘I sleep the bed’). Also included among the intransitives are the impersonal weather verbs, like \phono{qasa-} ‘freeze’, which do not take subjects (\phono{qasa-ya-n} ‘it’s freezing’).\footnote{The weather verbs admit only their corresponding weather nouns for subjects. \phono{Para para-ya-n}. ‘The rain is raining.’}",Glo4:Kamapamnuqa,\gsrc Kamapam ñuqa \textbf{puñu}kuya: ishkayni:. | \gll kama-pa-m ñuqa puñu-ku-ya-: ishkay-ni-: | \gls bed-LOC-EVD I sleepREFL-PROG-1 two-EUPH-1 | \glt We were both \textbf{sleep}ing in bed.,Glo4:Chaypaqa,"\gsrc Chaypaqa \textbf{wiña}raptinqa, ¿ayka puntrawnintataq riganchik? | \gll chay-pa-qa wiña-ra-pti-n-qa ayka puntraw-ni-n-ta-taq riga-nchik | \gls DEM.D-LOC-TOP grow-UNINT-SUBDS-3-TOP how.many day-EUPH-3-ACC-SEQ irrigate-1PL | \glt When it \textbf{grow}s, at how many days do we water it?",,,,,,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Intransitive verbs\label{subsec:intransitiveverbs,,,"Verbs of motion (\phono{hamu-} ‘come’, \phono{lluqsi-} ‘exit’) form a subclass of intransitive verbs. These often have adverbial complements marked with the directional suffixes \phono{-ta} (accusative), \phono{-man} (allative, dative), \phono{-paq} (ablative) and \phono{-kama} (limitative)~(\ref{Glo4:madrugaw}),~(\ref{Glo4:Hinashpachay}), and they may occur in clauses that include a nominalization with the agentive suffix \phono{-q} indicating the purpose of movement~(\ref{Glo4:Llaman}),~(\ref{Glo4:Kabraykiwan}).",Glo4:madrugaw,"\gsrc Chay huk madrugaw \textbf{trinta i unu di abrilta} \textbf{lluqsi}run waway. | \gll chay huk madrugaw trinta i unu di abril-ta lluqsi-ru-n wawa-y | \gls DEM.D one morning thirty and one of April-ACC go.out-URGT-3 baby-1 | \glt On that morning, \textbf{the thirty-first of April}, my son \textbf{left} the house [and was kidnapped].",Glo4:Hinashpachay,"\gsrc Hinashpa chay\textbf{paq} wichay\textbf{man} \textbf{pasa}chisa chay Amador kaq\textbf{man}ñataq. | \gll hinashpa chay-paq wichay-man pasa-chi-sa chay Amador ka-q-man-ña-taq | \gls then DEM.D-ABL up.hill-ALL pass-CAUS-NPST DEM.D Amador be-AG-ALL-DISC-SEQ | \glt Then, \textbf{from} there they made them \textbf{march} [\textbf{to}] up high \textbf{to} Don Amador’s place.",Glo4:Llaman,"\gsrc Llaman \textbf{qutuq} \textbf{ri}sa, mayuta pawayashpash saqakarusa. | \gll llama-n qutu-q ri-sa mayu-ta pawa-ya-shpa-sh saqa-ka-ru-sa | \gls llama-3 gather-AG go-NPST river-ACC jump-PROG-SUBIS-EVR go.down-PASSACC-URGT-NPST | \glt She \textbf{went to gather} her llamas and when she jumped the river, she fell.",Glo4:Kabraykiwan,"\gsrc Kabraykiwan \textbf{qatishiq} hamusa ninkimiki. | \gll kabra-yki-wan qati-shi-q hamu-sa ni-nki-mi-ki | \gls goat-2-INSTR follow-ACMP-AG come-NPST say-2-EVD-IKI | \glt He came \textbf{to help bring} your goats, you said.",,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Copulative/equational verbs\label{ssec:copu,,,"\SYQ{} counts a single copulative verb\index[sub]{verbs!copulative}, \phono{ka-}. Like the English verb be, \phono{ka-} has both copulative (‘I am a llama’)~(\ref{Glo4:fwirti}),~(\ref{Glo4:salvasyunniy}) and existential (‘There are llamas’)~(\ref{Glo4:turu}),~(\ref{Glo4:Rantiqpis}) interpretations.",Glo4:fwirti,"\gsrc Ñuqa-nchik fwirti \textbf{kanchik}, patachita, matrkata, trakranchik lluqsiqta mikushpam. | \gll ñuqa-nchik fwirti ka-nchik patachi-ta matrka-ta trakra-nchik lluqsi-q-ta miku-shpa-m | \gls I-1PL strong be-1PL wheat.soup-ACC ground.cereal.meal-ACC field-1PL come.out-AG-ACC eat-SUBIS-EVD | \glt We \textbf{are} strong because we eat what comes out of our fields -- wheat soup and machka.",Glo4:salvasyunniy,\gsrc Qammi salvasyunniy \textbf{kanki}. | \gll qam-mi salvasyun-ni-y ka-nki | \gls you-EVD salvation-EUPH-1 be-2 | \glt You \textbf{are} my salvation.,Glo4:turu,\gsrc \textbf{Kan}ña piña turu. | \gll ka-n-ña piña turu | \gls be-3-DISC mad bull | \glt \textbf{There are} mean bulls.,Glo4:Rantiqpis,\gsrc Rantiqpis \textbf{kan}taqmi. | \gll ranti-q-pis ka-n-taq-mi | \gls buy-AG-ADD be-3-SEQ-EVD | \glt \textbf{There are} also buyers.,,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Copulative/equational verbs\label{ssec:copu,,,"Combined with the progressive, \phono{ya-}, it may but need not have a stative interpretation as well (equivalent to the Spanish \spanish{estar})~(\ref{Glo4:maypahinañatr}),~(\ref{Glo4:sumaqsumaq}).",Glo4:maypahinañatr,"\gsrc ¿Cañete, maypahinañatr ka\textbf{ya}nchik? Karru, mutu, ¡Asu machu! | \gll Cañete, may-pa-hina-ña-tr ka-ya-nchik karru mutu | \gls Cañete where-LOC-COMP-DISC-EVC be-PROG-1PL bus motorcycle | \glt Cañete, like we \textbf{are} where already? Cars, motorcycles -- My Lord!",Glo4:sumaqsumaq,\gsrc Qam sumaq sumaq warmim ka\textbf{ya}nki. | \gll qam sumaq sumaq warmi-m ka-ya-nki | \gls you pretty pretty woman-EVD be-PROG-2 | \glt You \textbf{are} a very pretty woman.,,,,,,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Copulative/equational verbs\label{ssec:copu,,,"\phono{ka-} is irregular: the third person singular present tense form, \phono{ka-n}, never appears in equational statements, but only in existential statements~(\ref{Glo4:WiraWira}),~(\ref{Glo4:Llutan}).\footnote{The verbal system includes just two irregularities, the second being that \phono{haku} ‘let’s go’ is never conjugated.}",Glo4:WiraWira,"\gsrc Wira wira\textbf{m} matraypi puñushpa, allin pastuta mikushpam. | \gll wira wira-m matray-pi puñu-shpa allin pastu-ta miku-shpa-m | \gls fat fat-EVD cave-LOC sleep-SUBIS good pasture.grass-ACC eat-SUBIS-EVD | \glt Sleeping in a cave and eating good pasture, my cow \textbf{is} really fat.",Glo4:Llutan,"\gsrc Llutan\textbf{shi}ki. | \gll llutan-shi-ki | \gls deformed-EVR-IKI | \glt They \textbf{are} deformed, they say.",,,,,,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Copulative/equational verbs\label{ssec:copu,,,"In these cases, \phono{ka-\pb{ya}-n} may be employed instead~(\ref{Glo4:Watunqa}),~(\ref{Glo4:Alpakachu}).",Glo4:Watunqa,\gsrc Watunqa fiyu fiyu wiqam ka\textbf{ya}n. | \gll watu-n-qa fiyu fiyu wiqa-m ka-ya-n | \gls rope-3-TOP ugly ugly twisted-EVD be-PROG-3 | \glt Her rope \textbf{is} really horrid twisted wool.,Glo4:Alpakachu,\gsrc ¿Alpakachu wak \textbf{kaya}n? | \gll alpaka-chu wak ka-ya-n | \gls alpaca-Q DEM.D be-PROG-3 | \glt \textbf{Is that} alpaca [wool]?,,,,,,,,,,,,,,,,
Verbs\label{ch:verbs,Types of verbs,Onomatopoetic verbs\label{sec:onomatopoeicverbs,,,"Pattern 1 involves the repetition of a single syllable twice or three times, generally with \phono{-ya} or, more rarely, \phono{-ku} or \phono{-ya-ku}, i.e., (S\tss{1})S\tss{1}S\tss{1} (\phono{-ya})(\phono{-ku}).\\ \phono{qurqurya-} ‘snore’ and \phono{luqluqluqya-} ‘boil’ are two good examples. Further examples are given in Table~\ref{TabOnoi}.",TabOnoi,Not found,,,,,,,,,,,,,,,,,,
